California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Anchovy, northern 0",0,0,0,0,95,,0,0,0,0,0,0,95
"Bonito, Pacific 99",0,0,0,212,0,,0,0,0,0,0,0,311
"Cabezon 2,525","1,424",0,0,"3,706","1,884",,"1,895","4,251","2,548","3,387","3,924",704,"26,248"
"Fish, unspecified 3",0,0,0,0,0,,0,0,0,0,0,0,3
"Flounder, arrowtooth 0",0,0,0,0,0,,0,12,2,0,0,0,14
"Flounder, starry 0",0,0,0,0,2,,1,29,7,3,1,0,43
"Flounder, unspecified 0",0,0,0,0,0,,0,1,0,0,0,0,1
"Greenling, kelp 233",144,0,0,221,206,,167,424,226,111,145,30,"1,907"
"Greenling, rock 0",0,0,0,0,0,,3,3,0,6,0,0,11
Grenadier 396,208,50,38,0,421,,227,283,89,78,957,298,"3,045"
"Hagfish, Pacific 47,977","29,404","35,281","20,099","24,444","20,615",,"21,902","53,141","45,064","39,402","37,775","15,400","390,504"
"Halibut, California 1,154","1,316","1,106",862,672,"1,747",,"2,594","5,932","3,379","4,018","3,522",19,"26,320"
"Lingcod 2,261","2,161",0,0,"2,178","3,028",,"2,221","3,169","1,527","2,120","2,097",694,"21,456"
"Lizardfish, California 0",0,0,0,0,8,,0,0,0,0,0,0,8
"Mackerel, jack 0",0,0,0,80,0,,0,0,0,0,0,0,80
"Mackerel, Pacific 0",0,0,0,3,35,,0,0,0,0,0,8,46
"Mackerel, unspecified 0",0,0,0,12,0,,0,0,0,0,0,0,12
Opah 0,0,0,0,0,0,,0,0,"1,307","1,293",272,0,"2,872"
"Prickleback, monkeyface 0",3,0,0,0,9,,7,2,8,0,0,0,28
(eel),,,,,,,,,,,,,
"Ray, bat 0",0,0,0,0,0,,0,0,0,20,0,0,20
"Rockfish, aurora 0",3,3,3,4,3,,19,7,12,6,6,10,75
"Rockfish, black 32",13,0,0,12,17,13,,16,1,18,11,0,133
"Rockfish, black-and- 1,682","1,063",0,0,"2,552","1,837",,"2,146","3,909","2,055","2,163","2,319",662,"20,387"
yellow,,,,,,,,,,,,,
"Rockfish, blackgill 653",659,"2,044",316,0,"3,123",,847,20,"1,763","1,796",9,6,"11,236"
"Rockfish, blue 309",801,0,0,35,599,,435,953,495,587,401,159,"4,775"
"Rockfish, bocaccio 723",302,65,0,240,540,,197,274,199,270,199,39,"3,046"
"Rockfish, brown 2,998","1,189",0,0,"2,896","4,204",,"2,838","3,171","1,377","3,666","1,951",224,"24,515"
"Rockfish, canary 387",184,0,0,198,524,,148,310,48,113,217,59,"2,189"
"Rockfish, chilipepper 0",93,0,0,0,0,,3,0,0,0,0,0,96
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, China",8,13,0,0,5,14,5,12,26,14,31,16,145
"Rockfish, copper",242,199,0,0,268,588,252,573,206,250,248,154,"2,979"
"Rockfish, gopher","3,917","2,770",0,0,"2,809","5,798","3,824","5,299","6,013","3,362","4,370","2,211","40,373"
"Rockfish, grass",636,194,0,0,"1,030",735,755,"2,173","1,624","2,385","2,625",173,"12,330"
"Rockfish, greenblotched",0,2,0,0,0,0,0,0,0,0,0,0,2
"Rockfish, greenspotted",0,1,0,0,0,0,0,4,7,0,11,0,23
"Rockfish, group bolina",0,0,0,0,0,46,0,75,0,0,15,0,136
"Rockfish, group gopher",0,0,0,0,0,0,0,87,0,0,0,0,87
"Rockfish, group red",3,0,0,0,0,4,0,0,0,0,0,0,8
"Rockfish, kelp",95,90,0,0,74,207,87,220,137,21,85,35,"1,050"
"Rockfish, olive",33,27,0,0,12,26,16,204,21,1,2,38,380
"Rockfish, quillback",0,0,0,0,0,0,0,0,2,0,0,0,2
"Rockfish, rosy",0,0,0,0,2,0,6,12,1,0,1,4,25
"Rockfish, speckled",94,58,0,0,0,0,5,0,0,0,3,0,160
"Rockfish, starry",21,12,0,0,17,57,37,42,43,45,58,18,349
"Rockfish, treefish",519,261,0,0,267,777,458,762,518,495,413,180,"4,651"
"Rockfish, vermilion","3,893","2,008",392,0,"2,828","3,883","2,377","2,782","2,118","1,481","2,118",856,"24,735"
"Rockfish, widow",7,8,8,0,2,0,0,0,0,14,0,0,38
"Rockfish, yellowtail",27,28,23,0,3,103,230,92,144,60,90,15,814
Sablefish,"10,948","10,928","15,702","13,543","26,524","49,334","30,614","41,104","32,063","39,529","28,584","18,591","317,465"
Salmon,0,0,0,0,"2,681","2,691",273,0,0,0,0,0,"5,646"
"Salmon, Chinook",0,0,0,0,"210,657","121,271","6,552",707,0,0,0,0,"339,187"
"Salmon, Roe (Chinook,",0,0,0,0,0,316,0,0,0,0,0,0,316
Coho),,,,,,,,,,,,,
"Sardine, Pacific",0,0,0,0,0,405,0,0,0,0,0,0,405
"Seabass, white",51,0,0,0,0,29,262,70,203,"1,207",289,28,"2,139"
"Shark, leopard",7,0,0,0,0,0,0,0,0,0,0,0,7
"Shark, Pacific angel",12,15,0,0,0,14,13,17,50,27,13,0,161
"Shark, sevengill",0,32,0,0,0,89,0,0,0,0,28,0,149
"Shark, shortfin mako",0,0,0,0,0,0,0,0,513,0,"1,480",0,"1,993"
"Shark, soupfin",0,72,0,0,23,22,0,26,43,313,116,0,614
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shark, spiny dogfish 0",,0,0,0,0,0,70,19,0,0,0,0,89
"Shark, thresher 0",,0,0,0,0,0,0,0,132,347,"2,011",0,"2,490"
"Shark, unspecified 0",,20,0,0,50,0,10,10,2,0,0,12,104
"Sheephead, California 213",,41,0,0,58,317,8,10,0,25,37,37,746
"Skate, California 0",,0,28,0,0,0,0,0,0,0,0,0,28
"Skate, longnose 18",,8,0,0,0,0,0,0,0,0,0,1,27
"Skate, unspecified 0",,5,0,0,60,0,0,0,0,0,0,0,65
"Sole, Dover 12",,0,0,1,0,0,0,0,0,0,4,0,17
"Sole, petrale 0",,0,0,0,0,13,131,25,6,9,0,0,183
"Sole, rex 0",,0,0,0,0,3,0,0,0,0,0,0,3
"Sole, rock 5",,0,0,0,2,7,0,3,0,0,3,2,22
"Sole, sand 0",,0,0,0,0,13,39,0,0,0,0,3,55
"Stickleback, threespine 0",,0,0,304,0,0,0,0,0,0,0,0,304
"Surfperch, barred 933",,574,665,918,0,0,0,10,0,140,542,551,"4,333"
"Surfperch, calico 1",,0,0,0,0,0,0,0,0,0,0,0,1
"Surfperch, unspecified 0",,0,0,0,0,0,0,0,0,12,0,0,12
Swordfish 0,,0,0,0,0,0,0,0,88,910,"2,835",0,"3,833"
"Thornyhead, longspine 262",,142,269,51,83,364,73,162,136,210,390,139,"2,281"
"Thornyhead, shortspine 1,412",,"1,874","5,226",737,437,"3,281",345,"1,166",753,994,"1,860",941,"19,025"
"Tuna, albacore 0",,0,0,0,0,0,0,"3,355",0,"2,466",0,0,"5,821"
"Tuna, bluefin 0",,0,0,0,0,0,0,0,0,901,0,0,901
"Tuna, skipjack 0",,0,0,0,0,0,0,0,0,122,0,0,122
Turbot 0,,0,0,0,0,21,68,17,0,3,0,0,109
"Whitefish, ocean 23",,5,0,0,3,28,38,78,42,60,80,24,379
"",,,,,,,,,,,,,
California Waters – Crustaceans,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, brown rock 0",,0,"1,691","3,507","2,170","2,358","1,810",0,969,"1,991",0,0,"14,496"
"Crab, Dungeness 22,805",,"22,556","42,878","24,327",0,0,0,0,0,0,0,"10,312","122,878"
"Crab, red rock 407",,"1,370","3,569","3,316",467,778,"3,287","4,787","2,231","1,075","2,532","1,940","25,759"
"Crab, rock unspecified 0",,0,"1,360",94,0,0,0,0,0,0,0,0,"1,454"
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, spider 88",,54,53,588,683,425,465,576,218,47,0,17,"3,213"
"Crab, spider/sheep 0",,30,0,0,0,0,0,0,0,0,0,0,30
claws,,,,,,,,,,,,,
"Crab, tanner 32",,24,0,0,0,0,0,0,0,0,0,0,56
"Crab, yellow rock 0",,139,107,752,978,"1,246",537,665,717,565,508,747,"6,961"
"Crustacean, 0",,0,0,0,0,0,32,0,0,0,0,0,32
unspecified,,,,,,,,,,,,,
"Lobster, California 2,692",,0,2,0,0,0,0,0,0,0,0,100,"2,794"
spiny,,,,,,,,,,,,,
"Prawn, ridgeback 0",,0,0,0,0,0,0,0,0,"2,928","1,532",0,"4,460"
"Prawn, spot 3,161",,92,924,236,0,0,0,568,632,"1,136","1,931","1,216","9,894"
"Shrimp, ocean (pink) 0",,0,0,0,0,0,0,"71,572",0,0,0,0,"71,572"
California Waters – Mollusks,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Octopus, unspecified 47",,0,0,0,0,0,0,0,0,0,10,20,77
"Squid, market 0",,0,0,0,0,"79,005",0,12,0,0,0,0,"79,017"
"Whelk, Kellet's 0",,0,0,69,0,0,514,309,216,139,427,0,"1,674"
"California Waters Total: 114,057",,"82,619","111,445","69,759","289,656","313,163","88,855","213,513","109,981","122,337","109,085","56,692","1,681,161"
"",,,,,,,,,,,,,
Other Waters – Finfish,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Tuna, albacore 0",,0,0,0,0,0,0,"2,133",0,"11,824",0,0,"13,957"
Other Waters Total: 0,,0,0,0,0,0,0,"2,133",0,"11,824",0,0,"13,957"
"Grand Total: 114,057",,"82,619","111,445","69,759","289,656","313,163","88,855","215,646","109,981","134,161","109,085","56,692","1,695,118"
