"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Carp.....................................,0,0,0,0,0,0,0,20,0,0,0,0,20
"Mudsucker, longjaw..............",0,0,0,0,0,0,0,0,0,0,29,0,29
"Shad, threadfin.....................","6,557",536,292,160,958,30  18,,772,"4,065","7,327","11,898  11,286",,"43,899"
Crustaceans,,,,,,,,,,,,,
"Crayfish, unspecified............","3,440","2,241","1,865","1,897","4,552","5,451  6,347",,"24,277","26,697","6,433","1,316  1,694",,"86,210"
"Shrimp, bay..........................","1,192",918,0,0,0,0  687,,980,"1,534","1,548","1,535  1,115",,"9,509"
Waters Area Total:,"11,189","3,695","2,157","2,057","5,510","5,481  7,052",,"26,049","32,296","15,308","14,778  14,095",,"139,667"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Carp.....................................,0,0,0,0,0,0,0,194,0,0,0,0,194
"Goby, yellowfin.....................",0,0,0,0,0,0,0,0,0,175,110,0,285
Hitch.....................................,0,0,0,0,0,0,0,20,0,0,0,0,20
"Shad, threadfin.....................",0,0,0,0,40,415  240,,205,"3,460","6,140","1,390",0,"11,890"
Crustaceans,,,,,,,,,,,,,
"Crayfish, unspecified............",0,0,0,0,0,0,0,"6,229","7,570",0,0,0,"13,799"
Waters Area Total:,0,0,0,0,40,415  240,,"6,648","11,030","6,315","1,500",0,"26,188"
Grand Total,"11,189","3,695","2,157","2,057","5,550","5,896  7,292",,"32,697","43,326","21,623","16,278  14,095",,"165,855"
"",,,,,,,,,,,Total Records:  992,,
"",,,,,,*******************,,,,,,,
"",,,,,,End of Report,,,,,,,
