Species,January,February,March,April,,May,June,,July,August September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,
"Shad, threadfin...........................",595,30,35,0,,885,"2,210",,"2,785","4,250  6,075",,"10,984","11,795","3,320","42,964"
Crustaceans,,,,,,,,,,,,,,,
"Crayfish, red swamp..................",0,0,0,0,,0,0,,0,0  450,,75,0,0,525
"Crayfish, unspecified..................","1,104","1,028",903,"1,198",,"6,864","8,213",,"10,241","48,600  61,720",,"11,808","5,443","4,218","161,340"
Waters Area Total:,"1,699","1,058",938,"1,198",,"7,749","10,423",,"13,026","52,850  68,245",,"22,867","17,238","7,538","204,829"
Grand Total:,"1,699","1,058",938,"1,198",,"7,749","10,423",,"13,026","52,850  68,245",,"22,867","17,238","7,538","204,829"
"",,,,,,*******************,,,,,,,,,
"",,,,,,End of Report,,,,Total Records:,661,,,,
