Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin................................",0,0,110,668,"337  1,117",,"1,544","3,035  5,386",,"5,042","4,601","1,473","23,313"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp........................",0,0,0,0,0  0,,0,260  0,,0,0,0,260
"Crayfish, unspecified.......................","1,057",658,"1,682","2,794","3,751  4,464",,"5,321","21,622  17,732",,"5,289","4,108","1,435","69,913"
Waters Area Total:,"1,057",658,"1,792","3,462","4,088  5,581",,"6,865","24,917  23,118",,"10,331","8,709","2,908","93,486"
Grand Total:,"1,057",658,"1,792","3,462","4,088  5,581",,"6,865","24,917  23,118",,"10,331","8,709","2,908","93,486"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,444,,,
"",,,,,End of Report,,,,,,,,
