Species,January,February,March,April,May June,,July,August,September,October,November,December,Landings
alifornia Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin..............................",280,0,0,682,767  14,,260,"1,885","2,675","5,300","1,905",49,"13,817"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp....................",0,0,0,0,0  0,,0,666,750,440,0,0,"1,856"
"Crayfish, unspecified..................","4,573","2,863","2,332","1,952","3,476  5,931",,"5,711","20,363","16,291","6,666",795,"1,027","71,980"
Waters Area Total:,"4,853","2,863","2,332","2,634","4,243  5,945",,"5,971","22,914","19,716","12,406","2,700","1,076","87,653"
Grand Total:,"4,853","2,863","2,332","2,634","4,243  5,945",,"5,971","22,914","19,716","12,406","2,700","1,076","87,653"
"",,,,,*******************,,,,,,,,
"",,,,,,,,,Total Records:,368,,,
"",,,,,End of Report,,,,,,,,
