"",,,,,,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,,May,June,,,July,August,,,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Goby, yellowfin",0,,0,0,,0,,0,0,,,0,,0,,10,76,37,0,123
"Shad, threadfin",185,,0,0,,460,,445,161,,,465,,140,,"5,835","7,380","5,905","1,005","21,981"
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,
"Crayfish, red swamp",0,,0,0,,0,,0,0,,,0,,100,,"1,127",0,0,0,"1,227"
"Crayfish, signal",0,,0,0,,0,,0,0,,,"4,082","6,199",,,0,0,0,0,"10,281"
"Crayfish, unspecified",130,,475,337,,991,,"1,997","13,366",,,"10,522","11,922",,,"33,812","12,320","3,051","2,565","91,488"
Water Area Total:,315,,475,337,,"1,451",,"2,442","13,527",,,"15,069","18,361",,,"40,784","19,776","8,993","3,570","125,100"
Other Waters,,,,,,,,,,,,,,,,,,,,
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,
"Crayfish, unspecified",0,,0,0,,0,,0,0,,,0,,580,,0,0,0,0,580
Water Area Total:,0,,0,0,,0,,0,0,,,0,,580,,0,0,0,0,580
Grand Total:,315,,475,337,,"1,451",,"2,442","13,527",,,"15,069","18,941",,,"40,784","19,776","8,993","3,570","125,680"
"",,,,,,,,*******************,,,,Total Records:,,383,,,,,,
"",,,,,,,,End of Report,,,,,,,,,,,,
