"",,,,Date:,02/19/2020,,,,,,,
California Waters - Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shad, threadfin 0",0,0,"1,660",955,360,725,"1,721","2,768","3,404","2,453",132,"14,178"
"",,,,,,,,,,,,
California Waters – Crustaceans,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crayfish, red swamp 0",0,0,0,0,0,0,50,180,0,0,0,230
"Crayfish, signal 0",0,0,0,0,150,"1,907","2,916","1,214","10,060","1,886","1,006","19,139"
"Crayfish, unspecified 952",677,907,477,"1,303","4,911",0,0,0,"4,250",0,0,"13,477"
California Waters Total 952,677,907,"2,137","2,258","5,421","2,632","4,687","4,162","17,714","4,339","1,138","47,024"
"",,,,,,,,,,,,
Other Waters – Crustaceans,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crayfish, red swamp 0",0,0,0,0,0,198,0,0,0,0,0,198
"Crayfish, signal 0",0,0,0,0,0,"16,198","7,456","1,980","3,200",760,0,"29,594"
"Crayfish, unspecified 0",0,0,0,0,0,"1,855","1,232",0,0,0,0,"3,087"
"Crustacean, unspecified 0",0,0,0,0,0,557,0,0,0,0,0,557
Water Area Total: 0,0,0,0,0,0,"18,808","8,688","1,980","3,200",760,0,"33,436"
Grand Total: 952,677,907,"2,137","2,258","5,421","21,440","13,375","6,142","20,914","5,099","1,138","80,460"
