"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern................","2,250",0,0,0,0,0,"1,125",0,0,0,0,0,"3,375"
"Barracuda, California............",0,0,0,60,"1,458","1,653",214,"1,630",5,39,0,4,"5,063"
"Bass, giant sea....................",79,49,0,85,13,0,92,8,0,117,0,61,505
"Bonito, Pacific......................",0,0,0,0,132,23,21,0,9,0,0,0,185
Cabezon...............................,8,88,149,890,664,632,161,15,96,0,0,0,"2,702"
"Croaker, white......................",0,0,0,0,0,0,0,0,"1,710",0,0,0,"1,710"
Dolphin (fish)........................,0,0,0,0,0,0,23,87,140,45,0,0,295
"Eel, California moray............",0,0,0,0,0,13,0,0,0,0,0,0,13
Escolar.................................,0,84,0,330,0,0,0,0,0,0,62,16,492
"Flounder, unspecified...........",0,1,0,0,0,0,0,0,0,0,0,0,1
"Guitarfish, shovelnose..........",0,0,0,0,0,0,0,32,0,0,0,0,32
"Halibut, California.................","6,073","12,466","10,815","5,972","8,300","2,794","2,072",454,137,125,220,755,"50,183"
Lingcod................................,0,0,0,0,0,48,7,0,41,0,0,0,96
Louvar..................................,30,0,0,0,0,0,46,147,"1,637",378,618,29,"2,885"
"Mackerel, Pacific..................",381,"1,429",72,483,750,204,525,530,"1,565",0,0,282,"6,221"
"Mackerel, jack......................",0,0,0,0,154,4,0,0,0,70,0,0,228
"Needlefish, California...........",0,0,0,0,0,0,0,2,0,0,0,0,2
Opah....................................,"10,453",180,0,0,795,253,192,"1,361","2,176","11,355","22,916","22,322","72,003"
Queenfish.............................,0,0,0,0,0,8,0,0,0,0,0,0,8
"Rockfish, China....................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, aurora...................",0,0,19,0,0,0,0,0,0,0,0,0,19
"Rockfish, black.....................",0,0,81,0,0,0,0,0,0,0,0,0,81
"Rockfish, blackgill................",13,0,14,0,0,4,0,7,0,0,0,"1,382","1,420"
"Rockfish, bocaccio...............",0,0,89,83,73,309,155,128,248,15,0,0,"1,101"
"Rockfish, bronzespotted.......",0,0,0,0,14,0,0,30,0,0,0,0,44
"Rockfish, brown....................",18,0,0,14,56,0,0,0,0,0,0,4,92
"Rockfish, chilipepper............",0,0,272,0,0,63,53,0,17,0,0,0,405
"Rockfish, copper..................",0,0,2,0,2,0,0,21,3,14,0,0,42
"Rockfish, flag.......................",0,0,0,9,10,0,6,0,0,0,0,0,25
"Rockfish, greenblotched.......",0,0,0,10,0,19,8,9,6,0,0,0,52
"Rockfish, greenspotted.........",0,0,43,7,39,0,26,2,0,0,0,0,117
"Rockfish, greenstriped..........",0,0,11,0,12,0,2,0,0,0,0,0,25
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, group nearshore...",0,0,7,12,0,16,6,5,9,26,0,0,81
"Rockfish, group red..............",0,0,121,0,18,39,86,0,232,0,0,0,496
"Rockfish, group rosefish.......",0,0,12,0,0,0,0,0,0,0,0,0,12
"Rockfish, group shelf............",0,0,351,6,118,129,87,135,122,16,0,0,964
"Rockfish, group slope...........",0,0,0,0,0,0,0,50,0,0,0,0,50
"Rockfish, kelp.......................",0,0,0,10,0,0,0,0,0,0,0,0,10
"Rockfish, olive......................",0,0,0,0,13,0,0,0,0,0,0,0,13
"Rockfish, pinkrose................",0,0,0,0,3,0,0,0,0,0,0,0,3
"Rockfish, redbanded............",0,0,0,0,0,0,0,0,47,0,0,0,47
"Rockfish, rosethorn..............",0,0,0,0,0,0,0,0,3,0,0,0,3
"Rockfish, speckled...............",0,0,0,0,0,0,0,0,22,0,0,0,22
"Rockfish, splitnose...............",0,0,4,0,0,0,0,0,0,0,0,0,4
"Rockfish, starry....................",0,0,0,7,0,0,0,20,0,0,0,0,27
"Rockfish, treefish.................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, unspecified...........",19,84,157,2,71,41,216,233,0,0,0,0,822
"Rockfish, vermilion...............",0,0,259,210,140,260,307,207,133,79,0,0,"1,595"
"Rockfish, widow...................",0,0,0,5,0,0,0,0,0,0,0,0,5
Sablefish..............................,0,"1,302","6,210","8,650","5,423","11,415","6,488",969,"11,971","21,691","12,276","1,893","88,289"
"Sanddab, Pacific..................",0,0,20,0,12,0,0,0,0,0,0,0,32
Sanddab...............................,36,0,0,0,0,0,0,0,0,0,0,0,36
"Sardine, Pacific....................",0,0,0,0,450,0,0,0,0,0,0,0,450
"Scorpionfish, California........",647,480,"1,148",612,"1,175",437,87,11,241,"1,397","2,159","2,071","10,464"
"Seabass, white.....................",43,126,271,52,488,"3,131","1,515",550,21,54,0,84,"6,336"
"Shark, bigeye thresher.........",251,0,0,0,0,0,0,0,0,0,0,0,251
"Shark, brown smoothhound..",0,0,0,0,0,0,0,0,0,0,0,18,18
"Shark, leopard......................",310,49,102,58,57,13,44,23,0,15,50,36,756
"Shark, pelagic thresher........",0,0,0,0,0,0,113,125,440,155,109,0,942
"Shark, shortfin mako............","1,564",659,0,297,915,"1,922","5,197","8,022","4,802","2,696","7,553","5,824","39,451"
"Shark, soupfin......................",442,43,99,156,"2,991","3,906","3,640","1,991",110,0,0,418,"13,796"
"Shark, thresher.....................","38,517",264,0,20,"40,721",348,967,"1,943","20,719","4,616","12,239","49,622","169,976"
"Sheephead, California..........","5,465","3,912","4,506","2,710","6,216","3,405","2,709","1,763",947,"2,422",800,0,"34,853"
"Skate, unspecified................",71,52,19,0,0,0,0,0,0,0,0,0,142
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sole, petrale.........................",0,0,0,0,13,0,0,9,0,0,0,3,25
"Sole, sand............................",2,11,3,11,3,6,9,11,0,0,0,0,56
"Sole, unspecified..................",1,65,2,0,16,0,48,0,0,0,0,0,132
"Surfperch, black...................",248,88,31,93,0,165,40,146,126,219,19,0,"1,175"
Swordfish.............................,"24,041","40,452",0,"13,203","2,551","1,069","6,579","5,567","14,855","40,899","80,210","34,048","263,474"
"Thornyhead, longspine.........",0,865,"1,803",5,3,21,0,0,0,24,18,0,"2,739"
"Thornyhead, shortspine........",0,47,"1,677","3,811","3,035","3,292","2,655","1,280","1,259","3,729","3,434",531,"24,750"
Thornyheads........................,0,25,364,477,791,0,41,63,81,298,"1,173",445,"3,758"
"Tomcod, Pacific...................",0,0,0,0,0,0,107,0,0,0,0,0,107
"Tuna, albacore.....................","1,281",0,0,"3,469",0,"13,405","240,718","15,696","32,445","44,508","74,855","2,348","428,723"
"Tuna, bigeye........................",0,"1,335",0,"1,508",935,0,0,0,0,0,0,0,"3,778"
"Tuna, bluefin........................","1,618",549,0,0,0,232,"3,025","20,182","1,608",37,"3,905",144,"31,300"
"Tuna, skipjack......................",0,0,0,0,0,0,223,0,536,398,378,0,"1,535"
"Tuna, yellowfin.....................",289,0,0,"1,644",0,0,"1,013","29,133","1,848","2,674","2,742",139,"39,482"
"Whitefish, ocean..................",170,191,8,43,116,252,85,0,0,0,0,2,867
Yellowtail..............................,0,0,340,0,487,"1,708","6,720","4,304",453,600,122,2,"14,737"
Crustaceans,,,,,,,,,,,,,
