Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Barracuda, California.........................",0,0,0,27,792,4,"2,019","1,149",18,0,0,0,"4,009"
"Bass, giant sea.................................",170,194,255,46,0,32,239,174,0,0,0,132,"1,242"
"Bonito, Pacific...................................",418,0,0,0,257,82,9,98,416,254,309,0,"1,842"
Cabezon............................................,0,4,53,27,62,122,197,177,0,0,0,0,642
Dolphin (fish)................................,0,0,0,0,0,0,27,344,275,0,0,0,646
"Eel, California moray.........................",0,0,0,0,0,0,0,0,0,341,0,0,341
"Fish, unspecified...............................",0,0,0,0,0,0,0,0,0,0,0,47,47
Hagfishes..........................................,0,0,0,0,0,0,0,0,0,0,474,0,474
"Halibut, California..............................","1,894","1,827","6,380","1,927","2,093","3,772","4,428",991,35,51,180,465,"24,043"
Lingcod.............................................,0,0,11,77,91,391,359,346,93,152,0,0,"1,520"
Louvar...............................................,192,0,50,0,0,0,0,75,175,84,0,0,576
"Mackerel, Pacific...............................",41,0,0,75,0,0,13,147,174,0,0,0,450
Opah.................................................,"8,037",359,0,0,0,92,0,"1,881","2,789","1,047","7,205","11,736","33,146"
"Pomfret, Pacific.................................",0,0,0,0,0,0,0,0,0,0,0,387,387
"Rockfish, Mexican.............................",0,0,0,0,0,0,0,0,0,0,108,0,108
"Rockfish, aurora................................",19,8,4,0,2,9,21,0,5,0,0,8,75
"Rockfish, bank..................................",0,0,6,1,0,0,0,0,0,0,0,0,7
"Rockfish, black-and-yellow................",0,0,2,0,0,0,0,0,0,0,0,0,2
"Rockfish, blackgill..............................","4,753","5,440","2,643","1,047","1,997","3,919","3,927","4,839","4,197","3,362","1,618","1,432","39,174"
"Rockfish, bocaccio............................",0,0,103,240,107,47,76,27,18,78,92,9,796
"Rockfish, brown.................................",0,0,8,0,0,0,112,0,0,0,0,0,120
"Rockfish, chilipepper.........................",0,0,0,0,0,0,0,5,0,0,3,0,8
"Rockfish, copper (whitebelly)........",0,0,0,0,0,0,0,0,0,0,0,2,2
"Rockfish, copper...............................",0,0,0,0,72,0,3,0,0,0,0,0,74
"Rockfish, flag....................................",0,0,39,4,13,5,8,7,3,0,0,10,88
"Rockfish, gopher...............................",0,0,12,2,10,0,5,6,0,7,0,0,41
"Rockfish, grass.................................",0,0,9,0,7,5,24,0,0,0,0,0,45
"Rockfish, greenblotched....................",0,0,10,8,21,1,8,16,11,0,0,0,75
"Rockfish, greenspotted......................",0,0,42,45,1,1,0,0,0,0,7,4,100
"Rockfish, group nearshore................",0,0,2,1,89,28,0,119,50,0,3,3,294
"Rockfish, group red...........................",0,0,997,395,441,141,41,84,0,0,20,0,"2,119"
"Rockfish, group shelf.........................",0,0,806,189,668,472,419,444,295,0,533,118,"3,942"
"Rockfish, group slope........................",204,60,672,494,169,334,251,61,20,36,5,41,"2,347"
"Rockfish, group small........................",0,0,0,0,0,0,0,0,6,0,0,0,6
"Rockfish, honeycomb........................",0,0,0,9,0,0,0,1,0,0,0,0,10
"Rockfish, kelp....................................",0,0,2,3,0,0,1,1,0,1,0,0,7
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, olive...................................",0,0,0,0,0,0,1,0,0,0,0,0,1
"Rockfish, redbanded.........................",4,0,0,2,0,0,0,1,0,0,0,0,7
"Rockfish, rosy...................................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Rockfish, speckled............................",0,0,0,7,0,0,0,0,0,0,16,0,23
"Rockfish, splitnose............................",8,1,8,0,0,0,19,0,0,0,64,0,100
"Rockfish, squarespot.........................",0,0,0,2,0,3,0,4,0,0,1,0,9
"Rockfish, starry.................................",0,0,11,1,0,2,60,0,0,0,0,0,74
"Rockfish, treefish...............................",0,0,1,0,0,50,249,47,52,0,0,0,399
"Rockfish, unspecified........................",0,168,0,16,175,34,25,0,0,0,34,14,466
"Rockfish, vermilion............................",0,0,"1,058",262,110,25,72,173,96,0,22,59,"1,877"
"Rockfish, widow................................",0,0,0,0,0,0,0,2,0,0,0,0,2
Sablefish...........................................,"2,748","2,480","5,132","3,634","6,514","2,962","3,654","4,900","7,905","1,758","2,168","4,282","48,137"
"Sardine, Pacific.................................","6,750","7,200","7,650","4,050","11,709","9,450","11,700","1,456","7,650","7,650","13,725","9,000","97,990"
Sargo................................................,0,0,0,0,0,2,0,0,0,0,0,0,2
"Scorpionfish, California.....................",0,0,52,55,83,64,346,112,189,1,4,0,906
"Seabass, white..................................",23,619,"1,901",71,251,"10,028","4,910",550,0,0,0,249,"18,601"
"Shark, bigeye thresher......................",94,0,0,0,0,0,0,135,822,"2,166","1,088",899,"5,204"
"Shark, blacktip..................................",0,0,0,0,0,87,0,0,0,0,0,0,87
"Shark, leopard...................................",18,122,163,99,9,0,66,254,0,57,0,140,928
"Shark, pelagic thresher.....................",0,0,0,0,0,0,"1,130",0,0,0,98,0,"1,228"
"Shark, shortfin mako.........................","3,236",87,0,0,362,"3,239","3,643","10,886","6,200","7,258","5,061","2,115","42,087"
"Shark, soupfin...................................",160,216,279,396,"2,450","4,980","3,932","1,391",110,"1,017",496,45,"15,472"
"Shark, spiny dogfish..........................",0,0,0,0,0,0,0,54,0,0,0,0,54
"Shark, thresher..................................","19,929","1,537",34,0,"4,259","4,809","2,873","1,974",699,"4,129","8,109","10,385","58,737"
"Sheephead, California.......................",0,322,"6,315","2,812","2,234","3,788","4,530","4,197","1,525",815,0,0,"26,539"
Swordfish..........................................,"6,164",373,0,0,0,"4,092","6,059","6,877","8,160","23,454","91,400","90,144","236,723"
"Thornyhead, longspine......................",40,0,0,0,3,0,0,0,0,0,0,17,60
"Thornyhead, shortspine.....................",852,13,16,0,8,13,38,23,"10,664",5,0,"1,859","13,491"
Thornyheads.....................................,0,0,0,0,842,0,0,0,0,0,0,0,842
"Tomcod, Pacific................................",0,0,221,0,0,0,0,0,0,0,0,0,221
"Tuna, albacore..................................",111,0,0,0,0,"35,010","4,138","13,804","13,798",704,"1,586","30,076","99,227"
