Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
"Anchovy, northern......................",0,0,0,,0,,0,,0,,93,,0,0,0,,0,0,93
"Barracuda, California.................",0,0,0,,0,,"1,826",,"2,776",,"2,274",,0,0,0,,0,"1,455","8,330"
"Bass, giant sea..........................",493,300,30,,17,,0,,98,,189,,2,114,0,,61,282,"1,585"
"Bonito, Pacific............................",0,0,0,,320,,692,,0,,98,,421,0,0,,0,0,"1,531"
Cabezon....................................,15,7,0,,0,,392,,137,,112,,118,138,7,,29,0,955
Dolphin (fish).........................,0,0,0,,0,,0,,0,,0,,0,128,0,,0,0,128
"Eel, California moray..................",0,0,0,,0,,0,,0,,0,,0,41,0,,0,0,41
Escolar.......................................,61,0,0,,0,,0,,0,,0,,0,0,0,,0,0,61
"Flounder, starry..........................",0,0,0,,0,,0,,0,,0,,0,3,0,,0,0,3
"Guitarfish, shovelnose...............",0,0,38,,0,,0,,0,,0,,0,0,0,,0,0,38
Hagfishes...................................,"2,067",0,0,,0,,0,,0,,0,,0,"1,496",947,,0,0,"4,510"
"Halibut, California.......................","3,962","2,527","2,908",,"1,605",,"1,239",,644,,721,,301,294,69,,"1,008","3,112","18,390"
Jacksmelt...................................,0,0,0,,0,,0,,0,,68,,0,0,0,,0,0,68
Lingcod......................................,0,0,0,,222,,482,,258,,126,,85,10,22,,5,0,"1,212"
Louvar........................................,0,0,0,,0,,0,,0,,0,,33,15,437,,11,20,516
"Mackerel, Pacific........................",3,44,0,,0,,0,,66,,37,,450,138,25,,0,0,763
"Mackerel, jack............................",0,0,0,,0,,0,,8,,0,,0,0,0,,0,0,8
Oilfish.........................................,44,0,0,,0,,0,,0,,0,,0,0,0,,0,0,44
Opah..........................................,"16,835",0,0,,0,,0,,0,,0,,"1,767","3,756","33,653",,"12,197","11,092","79,300"
Opaleye.....................................,0,0,0,,0,,0,,3,,0,,0,0,0,,0,0,3
"Ray, bat.....................................",0,0,0,,0,,318,,249,,0,,0,0,0,,0,0,567
"Rockfish, aurora.........................",4,0,67,,54,,29,,0,,0,,4,0,5,,0,0,163
"Rockfish, bank...........................",947,0,0,,0,,0,,0,,0,,0,0,0,,0,2,949
"Rockfish, blackgill......................",52,114,558,,311,,"1,269",,"1,674",,"1,793",,705,334,579,,80,190,"7,659"
"Rockfish, bocaccio.....................",119,101,0,,0,,336,,256,,255,,128,158,73,,18,7,"1,450"
"Rockfish, bronzespotted.............",0,0,0,,0,,0,,0,,0,,10,0,0,,0,0,10
"Rockfish, brown.........................",6,0,0,,0,,0,,0,,0,,2,0,0,,0,0,8
"Rockfish, chilipepper..................",0,1,0,,0,,0,,35,,0,,16,1,0,,0,0,53
"Rockfish, copper........................",2,0,0,,0,,0,,0,,0,,10,0,0,,0,0,12
"Rockfish, darkblotched...............",0,0,0,,0,,0,,109,,0,,0,0,0,,0,0,109
"Rockfish, flag.............................",6,5,0,,0,,2,,0,,0,,0,1,0,,0,1,15
"Rockfish, gopher........................",15,3,0,,0,,16,,4,,0,,0,0,0,,0,0,38
"Rockfish, grass..........................",0,0,0,,0,,6,,2,,0,,0,1,0,,0,0,9
"Rockfish, greenspotted..............",25,3,0,,0,,0,,0,,0,,0,0,0,,0,0,28
"Rockfish, group deep nearshore",34,5,0,,0,,70,,55,,18,,41,38,0,,8,6,274
"Rockfish, group nearshore.........",0,0,0,,0,,4,,0,,0,,0,0,0,,0,0,4
Species,January,February,March,,April,,May,,June,,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,
"Rockfish, group red....................",74,0,0,,0,,189,,86,,155,,60,275,76,296,0,"1,211"
"Rockfish, group shelf.................",588,322,12,,0,,407,,962,,499,,640,478,3,115,76,"4,103"
"Rockfish, group slope................",126,0,0,,0,,0,,0,,0,,0,0,0,0,0,126
"Rockfish, kelp............................",0,0,0,,0,,0,,2,,0,,0,0,0,0,0,2
"Rockfish, olive............................",4,0,0,,0,,0,,0,,0,,0,0,0,0,0,4
"Rockfish, starry..........................",0,2,0,,0,,0,,0,,0,,0,0,0,0,7,9
"Rockfish, treefish.......................",79,6,0,,0,,312,,5,,0,,26,10,0,0,0,438
"Rockfish, unspecified.................",0,0,0,,0,,2,,107,,140,,178,41,207,90,307,"1,071"
"Rockfish, vermilion.....................",99,304,0,,0,,113,,213,,103,,67,90,10,35,553,"1,587"
"Rockfish, widow.........................",0,0,0,,0,,0,,0,,0,,1,0,0,0,0,1
Sablefish....................................,634,894,"2,103",,"4,374",,"7,965",,"16,251",,"4,418",,"1,018","2,468","3,144","2,559","1,628","47,456"
Sanddab....................................,0,0,0,,0,,0,,0,,0,,260,0,0,0,3,263
"Sardine, Pacific..........................",0,94,0,,0,,0,,0,,0,,0,0,0,0,0,94
"Scorpionfish, California..............",22,26,0,,0,,50,,6,,4,,2,33,2,5,0,149
"Seabass, white..........................","1,135",565,573,,112,,216,,"2,251",,"8,792",,"1,748","1,131",0,0,504,"17,027"
"Shark, Pacific angel...................",0,0,0,,16,,33,,0,,34,,0,0,0,0,0,83
"Shark, bigeye thresher...............",366,0,0,,0,,0,,0,,0,,469,"1,563","2,839",134,0,"5,371"
"Shark, blue.................................",0,0,"20,340",,0,,0,,0,,0,,0,0,0,0,0,"20,340"
"Shark, leopard............................",973,260,251,,199,,185,,50,,10,,0,0,0,0,121,"2,048"
"Shark, pelagic thresher..............",0,0,0,,0,,0,,0,,0,,0,0,62,0,0,62
"Shark, shortfin mako..................","3,700",112,"1,997",,0,,163,,"1,236",,889,,"4,786","9,567","6,856","3,133","2,385","34,824"
"Shark, soupfin............................",208,"1,047",414,,151,,80,,551,,0,,0,93,97,0,231,"2,871"
"Shark, spiny dogfish...................",0,0,0,,0,,0,,0,,0,,0,0,0,0,8,8
"Shark, thresher..........................","13,248",509,"2,574",,"1,735",,"6,663",,"1,185",,91,,"3,226","5,194","17,991","25,497","22,016","99,928"
"Shark, unspecified.....................",0,0,"1,828",,0,,0,,0,,0,,0,0,0,0,0,"1,828"
