Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................","5,288","17,050",0,0,"4,050",0,0,0,0,0,0,0,,"26,388"
"Barracuda, California...................",0,0,0,0,0,4,60,15,3,0,0,0,,82
"Bass, giant sea.............................",158,78,76,0,0,274,141,0,77,0,75,67,,946
Blacksmith......................................,3,12,0,0,0,0,0,0,0,0,0,0,,15
"Bonito, Pacific...............................",13,0,0,18,495,89,7,769,7,44,2,0,,"1,444"
Cabezon..........................................,75,33,0,0,10,16,0,6,0,0,55,14,,208
Dolphin (fish).................................,0,411,869,0,0,180,721,613,"1,220",290,"1,709",0,,"6,013"
"Eel, California moray....................",47,0,0,0,0,2,11,0,0,102,115,0,,277
"Eel, spotted cusk-........................",12,0,0,0,0,0,0,0,0,0,0,0,,12
"Eel, wolf (wolf-eel)........................",0,0,0,0,26,32,0,15,26,0,0,0,,99
Escolar............................................,0,352,464,0,0,0,0,0,0,61,0,68,,945
"Fish, unspecified..........................",0,429,0,0,82,253,200,0,0,0,0,0,,964
Flyingfish........................................,0,0,0,0,2,0,0,0,0,0,0,0,,2
Grenadier........................................,0,0,0,0,0,0,0,0,0,237,107,151,,495
"Guitarfish, shovelnose................",204,12,23,34,16,0,0,0,0,208,0,0,,497
Hagfishes.......................................,"9,946","2,379",930,"12,459","14,251","8,483","7,855","10,236","7,035","3,114","9,065","2,407",,"88,160"
Halfmoon.........................................,8,16,0,0,0,0,3,0,0,0,0,0,,27
"Halibut, California.........................","2,204","1,853","2,393",473,233,"1,070",764,579,721,138,485,322,,"11,235"
Jacksmelt........................................,0,4,0,0,0,0,0,0,0,0,0,0,,4
Lingcod............................................,0,0,0,0,39,0,121,56,74,111,37,22,,460
"Lizardfish, California....................",0,0,0,75,0,0,0,0,0,0,0,0,,75
Louvar..............................................,153,0,0,0,483,434,0,0,0,0,0,0,,"1,070"
"Mackerel, Pacific..........................",103,240,53,14,0,21,373,0,31,0,0,0,,835
"Mackerel, jack................................",15,9,0,0,0,0,0,0,0,0,0,0,,24
"Mackerel, unspecified.................",52,0,111,152,0,19,0,73,0,0,0,0,,407
"Marlin, striped................................",0,0,0,0,0,0,0,110,0,140,0,0,,250
Oilfish..............................................,0,0,0,0,0,370,0,0,0,0,0,0,,370
Opah................................................,"3,646","14,905","12,947","1,722","1,047","8,492",0,0,250,"1,475",375,"1,551",,"46,410"
Opaleye...........................................,0,0,0,0,17,2,1,3,0,0,0,0,,23
"Pomfret, Pacific.............................",0,0,"1,394",0,0,0,0,0,0,0,0,0,,"1,394"
"Ratfish, spotted............................",0,0,0,0,0,0,0,0,12,0,0,0,,12
"Ray, bat...........................................","1,816",0,697,731,"1,199","1,241",0,0,0,188,14,0,,"5,886"
"Rockfish, Mexican........................",0,0,0,0,0,0,6,0,0,0,0,6,,12
"Rockfish, aurora............................",0,0,0,0,0,0,0,0,0,1,0,0,,1
"Rockfish, bank...............................",44,19,0,0,0,20,110,150,93,185,38,8,,665
"Rockfish, black..............................",0,0,0,7,0,0,0,0,0,0,0,0,,7
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, blackgill........................",212,387,161,"1,395",30,77,47,"1,621","1,646",131,"1,467",704,"7,877"
"Rockfish, blue................................",0,2,0,281,0,1,1,0,0,0,0,0,285
"Rockfish, bocaccio......................",408,154,0,0,36,150,998,"1,080","1,054",784,471,135,"5,270"
"Rockfish, brown............................",30,1,0,0,0,3,0,0,0,29,0,1,64
"Rockfish, chilipepper...................",6,0,0,18,1,1,25,5,10,4,41,4,115
"Rockfish, copper...........................",66,55,0,0,73,68,84,87,18,53,9,14,527
"Rockfish, flag.................................",45,58,0,0,94,92,37,42,20,4,15,16,422
"Rockfish, gopher...........................",45,13,0,0,12,9,15,2,0,1,0,0,97
"Rockfish, grass.............................",7,0,0,0,2,3,7,0,0,0,3,0,21
"Rockfish, greenblotched.............",0,0,0,0,0,0,0,4,7,0,0,0,11
"Rockfish, greenspotted...............",112,48,0,0,48,80,95,56,26,13,30,37,545
"Rockfish, greenstriped................",10,0,0,0,6,5,12,0,10,7,14,22,86
"Rockfish, group deep nearshor",0,0,0,0,0,0,0,0,0,14,10,0,24
"Rockfish, group nearshore.........",0,0,0,0,2,0,0,0,0,0,0,0,2
"Rockfish, group red......................",95,0,32,0,0,313,642,97,55,534,0,0,"1,768"
"Rockfish, group shelf..................",12,1,0,0,31,87,16,0,30,5,0,0,182
"Rockfish, honeycomb..................",1,0,0,0,5,2,0,1,0,1,0,0,11
"Rockfish, kelp................................",6,1,0,0,0,0,7,1,0,0,0,0,16
"Rockfish, olive...............................",1,3,0,0,0,0,0,0,0,0,2,0,6
"Rockfish, rosy...............................",3,0,0,0,1,0,0,0,0,1,0,0,5
"Rockfish, speckled.......................",126,85,0,0,4,101,27,25,107,0,109,42,625
"Rockfish, splitnose......................",0,0,0,202,7,3,0,0,0,0,1,0,213
"Rockfish, squarespot..................",1,3,0,0,0,0,0,0,0,0,0,1,5
"Rockfish, starry.............................",212,34,0,0,12,33,155,98,130,279,136,101,"1,189"
"Rockfish, treefish.........................",38,1,0,0,29,0,0,0,0,18,0,1,88
"Rockfish, unspecified..................",170,0,0,0,0,0,0,113,0,0,0,0,283
"Rockfish, vermilion.......................","1,346","1,105",0,0,"1,499",962,"3,112","3,551","3,536","2,442",792,432,"18,775"
"Rockfish, widow............................",4,0,0,0,0,2,0,0,2,0,0,0,7
Sablefish.........................................,"22,811","9,844","14,683","7,945","7,574","15,603","20,435","6,832","13,863","13,936","21,342","13,031","167,897"
"Sanddab, speckled......................",0,0,0,0,0,0,0,11,0,0,0,0,11
Sanddab..........................................,23,0,25,15,49,49,48,152,80,91,106,84,720
"Sardine, Pacific.............................",0,0,0,"3,622",0,0,0,0,0,0,0,0,"3,622"
Sargo...............................................,0,0,0,0,0,0,22,0,0,0,0,0,22
"Scorpionfish, California...............",6,10,0,0,12,2,4,0,4,26,19,0,83
"Seabass, white.............................",264,0,0,0,0,"8,413","3,501",270,174,0,26,254,"12,901"
"Shark, Pacific angel.....................",45,14,204,45,0,0,92,0,0,0,0,48,448
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
