Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,600,"21,227","22,344",0,0,0,0,0,0,,"44,171"
"Barracuda, California...................",0,0,0,0,0,151,837,71,0,0,0,0,,"1,059"
"Bass, barred sand........................",0,3,0,0,0,0,0,0,0,0,0,0,,3
"Bass, giant sea.............................",0,0,162,151,16,25,192,0,0,0,0,0,,545
Blacksmith......................................,0,3,0,0,0,0,0,0,0,0,0,0,,3
"Bonito, Pacific...............................",51,0,0,0,37,185,177,217,0,13,136,0,,815
Butterfish (Pacific pompano).....,1,0,0,0,12,0,0,0,0,0,0,0,,13
Cabezon..........................................,0,0,0,0,0,2,0,73,62,0,17,0,,154
"Croaker, unspecifed.....................",5,0,0,0,0,0,0,0,0,0,0,0,,5
"Croaker, white................................",16,0,0,0,0,8,0,0,0,0,0,0,,24
Dolphin (fish).................................,0,0,0,0,0,0,45,"1,161",9,354,0,0,,"1,569"
"Eel, California moray....................",0,0,0,0,0,0,0,9,0,0,0,0,,9
"Eel, wolf (wolf-eel)........................",0,0,0,0,0,0,31,0,0,0,0,0,,31
Escolar............................................,0,0,0,0,26,0,0,0,0,0,67,0,,93
"Flounder, starry.............................",0,0,0,0,0,0,28,7,0,0,0,0,,35
"Flounder, unspecified..................",0,2,6,3,0,6,0,2,0,0,0,0,,18
Flyingfish........................................,0,0,0,0,0,0,2,0,0,20,0,0,,22
Grenadier........................................,3,168,288,195,258,213,358,251,90,64,181,30,,"2,099"
"Guitarfish, shovelnose................",0,0,0,0,0,0,0,0,11,85,0,0,,96
Hagfishes.......................................,"3,631","4,632","4,659",0,"3,637",0,"1,041",0,0,0,0,"1,601",,"19,201"
Halfmoon.........................................,0,2,0,0,0,0,0,13,0,0,2,0,,16
"Halibut, California.........................",180,221,"7,909","7,109","2,216","4,476","5,071","1,283",232,184,293,106,,"29,281"
"Halibut, unspecified.....................",4,6,0,0,0,0,0,0,0,0,0,0,,10
Lingcod............................................,35,0,0,0,7,0,30,52,0,34,19,22,,198
Louvar..............................................,21,0,0,0,0,0,0,0,0,0,0,0,,21
"Mackerel, Pacific..........................",145,0,23,73,97,52,53,70,750,0,148,227,,"1,637"
"Mackerel, jack................................",0,0,0,0,0,4,17,0,0,0,0,0,,21
"Mackerel, unspecified.................",3,11,37,36,471,306,268,88,48,32,29,149,,"1,477"
"Midshipman, plainfin....................",0,0,0,0,5,30,0,0,40,0,0,0,,75
Opah................................................,"5,013",131,75,0,866,0,0,0,0,"9,776","7,380","4,145",,"27,386"
Opaleye...........................................,0,0,0,0,0,1,0,9,0,2,0,0,,12
"Ratfish, spotted............................",0,0,0,0,0,0,0,5,0,0,0,0,,5
"Ray, bat...........................................",0,0,0,0,0,0,0,0,605,150,0,0,,755
"Rockfish, Mexican........................",0,0,0,0,0,36,0,205,495,520,311,181,,"1,748"
"Rockfish, aurora............................",0,0,0,0,8,25,14,6,6,0,0,0,,59
"Rockfish, bank...............................",0,0,8,0,0,0,3,0,0,0,0,3,,13
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, blackgill........................",249,421,692,922,"1,201",803,"1,555",447,228,495,991,171,"8,174"
"Rockfish, blue................................",0,7,0,0,0,0,0,5,0,0,0,1,14
"Rockfish, bocaccio......................",55,66,0,0,0,45,44,191,2,47,36,7,491
"Rockfish, brown............................",0,0,0,0,0,0,4,2,0,9,0,0,15
"Rockfish, chilipepper...................",1,0,0,0,0,0,16,0,10,2,0,5,33
"Rockfish, copper...........................",101,81,0,0,16,66,45,36,28,30,50,58,510
"Rockfish, flag.................................",12,0,0,0,0,12,16,34,1,1,20,20,115
"Rockfish, gopher...........................",2,49,0,0,3,4,4,26,1,6,11,1,108
"Rockfish, grass.............................",0,0,0,0,0,4,0,5,0,11,0,2,21
"Rockfish, greenspotted...............",12,23,0,0,10,54,41,17,20,2,34,25,238
"Rockfish, greenstriped................",0,2,0,0,0,3,4,0,2,0,3,6,20
"Rockfish, group deep nearshor",0,0,0,0,0,0,0,3,0,26,84,0,112
"Rockfish, group nearshore.........",0,0,0,0,0,0,0,0,0,0,0,17,17
"Rockfish, group shelf..................",18,6,0,0,482,110,144,288,0,106,57,101,"1,311"
"Rockfish, group slope.................",0,0,0,0,20,48,63,29,0,0,0,0,160
"Rockfish, honeycomb..................",7,0,0,0,0,0,0,1,0,0,0,0,8
"Rockfish, kelp................................",0,0,0,0,1,1,0,5,1,0,1,0,9
"Rockfish, olive...............................",1,11,0,0,0,3,2,1,0,0,0,0,18
"Rockfish, pink................................",0,0,0,0,0,0,0,37,97,179,54,162,530
"Rockfish, rosethorn......................",0,0,0,0,2,4,0,0,0,0,0,0,6
"Rockfish, rosy...............................",39,15,0,0,0,2,18,0,0,0,0,2,76
"Rockfish, speckled.......................",118,13,0,0,0,5,16,28,17,36,25,70,328
"Rockfish, splitnose......................",7,1,47,7,10,4,34,21,5,2,1,2,141
"Rockfish, squarespot..................",17,17,0,0,22,1,3,14,0,1,11,18,104
"Rockfish, starry.............................",100,43,0,0,16,10,41,25,2,3,21,9,268
"Rockfish, treefish.........................",11,25,0,0,0,0,0,0,0,9,0,6,51
"Rockfish, vermilion.......................",375,126,0,0,200,747,608,967,406,348,529,888,"5,194"
Sablefish.........................................,"5,462","11,390","12,151","4,847","14,524","16,495","12,720","11,561","11,313","14,067","17,460","6,784","138,773"
"Sanddab, Pacific..........................",0,0,0,0,3,0,0,0,0,0,0,0,3
Sanddab..........................................,19,32,279,119,236,90,94,82,15,0,121,219,"1,304"
"Sardine, Pacific.............................",0,0,0,600,"1,200",0,0,0,0,0,0,0,"1,800"
"Scorpionfish, California...............",6,4,0,0,5,3,1,2,4,0,5,10,39
"Seabass, white.............................",45,"2,843","1,312",112,31,"2,894","4,602",154,79,0,44,0,"12,116"
"Shark, Pacific angel.....................",65,14,225,34,32,61,81,15,197,507,0,0,"1,231"
"Shark, bigeye thresher................",0,0,0,0,125,725,0,0,194,212,0,111,"1,367"
