California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Anchovy, northern 0",0,0,"4,624","9,150","30,022",,"34,475","1,950",0,0,0,0,"80,221"
"Barracuda, California 0",0,0,32,0,131,,85,0,0,0,0,0,248
"Bass, giant sea 393",327,156,470,273,15,,43,0,0,0,4,105,"1,786"
Blacksmith 0,2,0,0,0,0,,0,0,2,0,0,0,4
"Bonito, Pacific 83",0,0,587,637,233,,127,136,0,0,71,199,"2,073"
Cabezon 55,19,0,0,189,193,,0,3,0,0,0,117,575
Dolphin (fish) 0,0,0,0,349,0,,0,351,0,0,0,0,700
"Eel, California moray 7",0,0,0,0,0,,5,0,0,0,0,0,12
Escolar 0,0,0,0,536,0,,55,"1,138",0,96,36,"1,387","3,248"
"Flounder, arrowtooth 0",0,0,0,0,0,,13,0,0,0,0,0,13
"Flounder, unspecified 0",0,0,0,9,14,,0,0,0,0,0,0,23
Flyingfish 0,0,0,0,0,0,,0,"1,281",112,0,0,0,"1,393"
Grenadier 653,490,510,455,423,740,,529,136,330,252,296,103,"4,917"
Grouper 10,0,0,0,0,0,,0,0,0,0,0,0,10
"Guitarfish, shovelnose 400",0,0,90,0,0,,0,0,0,0,0,0,490
"Hagfish, Pacific 5,854",628,"2,724","1,725",0,200,,0,0,0,"2,672","12,035","9,766","35,604"
"Hagfish, unspecified 0",0,0,0,0,0,,100,0,0,0,0,0,100
Halfmoon 0,0,0,0,0,1,,1,0,0,0,0,0,2
"Halibut, California 5,672","2,969","2,918","6,232","6,516","4,666",,"1,589","2,045",394,29,133,"1,815","34,977"
"Halibut, unspecified 0",0,0,0,0,21,,146,0,0,0,0,0,167
Jacksmelt 0,0,0,0,2,0,,0,0,0,0,0,0,2
Lingcod 64,38,0,0,7,8,16,,42,20,21,27,0,244
Louvar 0,0,0,0,0,0,,0,0,0,0,0,59,59
"Mackerel, jack 0",1,0,96,44,33,,33,74,0,83,0,0,363
"Mackerel, Pacific 151",146,268,712,954,149,,384,626,575,267,69,293,"4,593"
"Mackerel, unspecified 313",551,198,258,96,404,,49,10,0,0,0,0,"1,879"
"Opah 2,318",0,"5,777",0,"8,682",0,,0,"4,149",238,"1,019",270,"6,725","29,178"
Opaleye 0,0,0,0,0,1,,0,0,0,0,0,0,1
Pomfret 0,0,0,0,308,0,,0,774,0,0,0,571,"1,653"
"Ratfish, spotted 0",0,0,0,0,45,,0,0,0,0,0,0,45
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Ray, bat",100,0,0,3,0,95,230,0,0,0,0,0,428
"Rockfish, aurora",0,0,0,4,0,11,0,0,0,0,0,2,17
"Rockfish, bank",12,9,0,0,0,0,0,0,0,0,0,0,21
"Rockfish, blackgill",0,67,14,44,570,"1,050","1,132","1,562",475,32,392,464,"5,802"
"Rockfish, blue",2,0,0,0,0,0,2,19,0,0,0,0,23
"Rockfish, bocaccio",43,35,0,0,12,22,26,77,25,60,44,57,400
"Rockfish, brown",19,0,0,0,0,1,3,71,0,2,0,38,134
"Rockfish, chilipepper",70,16,0,0,0,0,0,0,0,1,0,0,87
"Rockfish, copper",101,24,0,0,5,36,58,184,15,17,85,81,605
"Rockfish, flag",21,17,0,0,2,8,0,2,14,0,0,0,64
"Rockfish, gopher",2,2,0,0,9,17,8,23,14,2,2,1,79
"Rockfish, grass",0,0,0,0,0,0,0,8,0,3,0,0,11
"Rockfish, greenspotted",0,0,0,0,2,2,0,0,0,0,0,0,4
"Rockfish, greenstriped",3,4,0,0,0,0,0,0,0,0,0,0,7
"Rockfish, group deep",28,15,0,0,28,0,0,0,16,21,19,0,127
nearshore,,,,,,,,,,,,,
"Rockfish, group gopher",0,0,0,0,0,0,1,3,0,0,0,0,4
"Rockfish, group red",0,0,0,0,0,0,0,0,0,15,0,0,15
"Rockfish, group shelf",135,512,0,0,"1,018",511,630,783,825,984,758,290,"6,447"
"Rockfish, group slope",0,0,0,2,27,80,5,117,15,293,7,35,579
"Rockfish, honeycomb",6,7,0,0,16,32,21,52,38,0,0,3,175
"Rockfish, kelp",0,1,0,0,3,4,4,8,4,0,1,3,26
"Rockfish, Mexican",74,55,0,0,0,0,0,0,0,0,0,0,129
"Rockfish, olive",8,0,0,0,0,0,0,0,0,0,0,0,8
"Rockfish, pink",239,75,0,0,0,0,0,0,0,0,0,0,314
"Rockfish, rosethorn",14,3,0,0,0,0,0,0,0,0,0,0,17
"Rockfish, rosy",0,0,0,0,0,0,0,0,3,0,62,0,65
"Rockfish, speckled",19,14,0,0,19,0,0,0,0,0,0,0,52
"Rockfish, splitnose",0,0,0,0,12,17,7,11,3,0,1,3,53
"Rockfish, squarespot",13,13,0,0,12,14,0,2,15,0,0,2,72
"Rockfish, starry",3,10,0,0,18,14,7,25,32,2,0,6,116
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, treefish",0,0,0,0,0,0,0,0,0,2,0,0,2
"Rockfish, vermilion",819,422,0,0,382,842,689,"1,326",279,955,898,597,"7,208"
"Rockfish, yellowtail",0,0,0,0,0,0,0,0,0,0,2,0,2
Sablefish,"14,842","7,949","4,794","10,218","14,019","13,025","6,503","10,539","12,741","7,354","14,503","6,001","122,488"
Sanddab,234,1,566,371,254,250,0,0,0,0,0,2,"1,678"
"Sanddab, Pacific",0,0,1,0,1,46,0,0,5,434,0,166,652
"Sardine, Pacific","10,150","68,476","49,146","133,600","110,446","190,144","212,154","243,904","297,084","246,193","122,380","57,580","1,741,257"
Sargo,0,0,0,0,0,0,1,0,0,0,0,0,1
"Scorpionfish, California",13,30,0,0,15,21,6,5,14,2,5,10,120
"Sculpin, staghorn",5,0,0,0,0,0,0,0,0,2,0,3,10
"Seabass, white",180,173,97,163,57,"2,749","11,832",867,166,0,11,128,"16,422"
"Shark, bigeye thresher",0,0,0,0,0,0,0,128,251,0,0,111,490
"Shark, blue",0,0,0,0,0,0,0,0,0,0,0,124,124
"Shark, brown",0,0,0,0,0,10,5,0,0,0,0,0,15
smoothhound,,,,,,,,,,,,,
"Shark, horn",0,0,0,0,0,15,0,0,0,0,0,0,15
"Shark, leopard",517,30,35,100,86,34,22,46,0,0,22,213,"1,105"
"Shark, Pacific angel",230,0,0,797,195,245,65,74,0,0,0,0,"1,606"
"Shark, pelagic thresher","3,403",444,0,0,0,0,0,0,0,365,112,"2,239","6,563"
"Shark, shortfin mako","1,044",0,0,17,130,454,513,442,333,"1,252","2,179","1,102","7,466"
"Shark, soupfin",108,94,150,272,60,222,233,27,0,0,98,132,"1,396"
"Shark, spiny dogfish",0,0,0,48,38,237,116,0,11,21,0,0,471
"Shark, swell",250,0,0,52,0,55,56,0,0,0,0,0,413
