Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern........................",0,0,0,3080,6450,0,0,0,0,0,0,0,9530
"Barracuda, California...................",0,0,0,0,0,3,7,9,10,0,0,0,29
"Bass, barred sand........................",0,0,0,0,0,0,0,0,5,0,0,0,5
"Bass, giant sea.............................",0,212,117,0,20,210,121,0,0,0,0,0,680
"Bonito, Pacific...............................",40,23,0,21,65,1093,62,43,0,17,0,0,1364
Butterfish (Pacific pompano).....,0,0,0,0,0,0,0,0,0,0,0,4,4
Cabezon..........................................,2,72,0,0,11,10,60,0,15,4,4,4,182
"Croaker, white................................",0,0,0,0,0,0,47,0,0,0,0,0,47
Dolphin (fish).................................,0,0,0,0,0,0,0,46,0,0,0,0,46
"Eel, California moray....................",4,5,0,0,104,0,10,55,0,0,0,125,303
Escolar............................................,0,40,0,0,0,0,0,0,27,51,80,28,226
"Fish, unspecified..........................",0,0,0,0,0,0,0,0,0,4,0,0,4
Grenadier........................................,724,305,626,487,221,295,239,303,287,197,50,173,3905
"Guitarfish, shovelnose................",15,0,0,0,0,0,0,0,0,0,0,0,15
Hagfishes.......................................,8401,1630,0,3104,5008,2655,2919,0,0,0,0,0,23717
Halfmoon.........................................,2,6,0,0,25,23,3,14,0,0,0,2,75
"Halibut, California.........................",374,223,0,1845,3235,2947,1731,5183,459,591,92,589,17268
Lingcod............................................,65,29,0,0,23,96,8,39,28,22,12,68,389
Louvar..............................................,37,0,0,0,339,59,0,96,0,0,0,77,608
"Mackerel, Pacific..........................",0,142,81,0,113,90,165,33,173,61,110,25,993
"Mackerel, jack................................",0,6,75,0,0,0,0,0,0,0,0,12,93
"Mackerel, unspecified.................",0,0,0,0,0,4,0,0,0,96,39,76,215
Opah................................................,1157,240,0,1068,3742,2711,0,1440,210,400,5998,2440,19406
Opaleye...........................................,4,1,0,0,2,8,0,0,0,0,0,0,15
"Ray, bat...........................................",531,733,0,0,0,0,0,0,0,0,0,15,1279
"Rockfish, China.............................",161,0,0,0,0,0,0,0,0,0,0,0,161
"Rockfish, Mexican........................",2,0,0,0,25,0,0,0,0,0,8,12,47
"Rockfish, aurora............................",0,0,0,0,0,0,2,0,0,0,0,0,2
"Rockfish, bank...............................",465,415,0,0,169,32,23,6,22,0,0,0,1132
"Rockfish, blackgill........................",438,698,275,1569,2183,3027,2701,622,1131,84,5,0,12732
"Rockfish, blue................................",8,3,0,0,0,0,0,0,0,0,0,4,15
"Rockfish, bocaccio......................",545,672,0,0,636,509,116,88,33,134,17,119,2869
"Rockfish, bronzespotted.............",0,0,0,0,0,0,0,0,0,46,17,0,63
"Rockfish, brown............................",0,0,0,0,0,0,0,0,0,4,2,3,9
"Rockfish, chilipepper...................",9,22,0,0,0,20,14,0,0,18,4,0,87
"Rockfish, copper...........................",26,230,0,0,121,20,15,34,18,53,19,216,751
"Rockfish, flag.................................",4,9,0,0,20,14,11,10,0,9,9,19,105
"Rockfish, gopher...........................",11,180,0,0,3,20,2,0,14,0,8,13,251
"Rockfish, grass.............................",63,0,0,0,0,0,20,1,3,0,0,4,91
"Rockfish, greenblotched.............",0,0,0,0,0,0,19,0,0,0,0,5,24
"Rockfish, greenspotted...............",44,176,0,0,206,186,43,61,44,91,36,5,892
"Rockfish, greenstriped................",20,48,0,0,0,4,11,0,2,18,16,12,131
"Rockfish, group deep nearshor",0,23,0,0,0,0,0,0,0,0,0,0,23
"Rockfish, group nearshore.........",0,0,0,0,0,0,5,0,0,0,0,0,5
"Rockfish, group shelf..................",18,145,0,0,0,169,0,143,0,0,48,5,528
"Rockfish, honeycomb..................",0,0,0,0,1,0,0,0,1,0,0,0,2
"Rockfish, kelp................................",5,0,0,0,1,0,0,0,0,0,3,2,11
"Rockfish, olive...............................",11,35,0,0,0,0,0,3,0,0,0,14,63
"Rockfish, rosethorn......................",0,0,0,0,0,0,1,2,0,0,0,0,3
"Rockfish, rosy...............................",0,14,0,0,0,0,0,0,0,0,5,21,40
"Rockfish, speckled.......................",56,169,0,0,32,9,9,11,8,11,11,17,333
"Rockfish, splitnose......................",0,2,0,0,0,0,0,0,0,0,0,0,2
"Rockfish, squarespot..................",1,4,0,0,3,2,4,3,5,0,1,28,50
"Rockfish, starry.............................",246,321,0,4,11,49,19,15,3,16,10,93,787
"Rockfish, treefish.........................",13,115,0,0,0,0,0,4,4,0,3,74,213
"Rockfish, unspecified..................",0,0,0,0,18,0,0,0,0,0,0,0,18
"Rockfish, vermilion.......................",968,1182,0,0,2137,1204,816,737,280,726,243,332,8624
Sablefish.........................................,17825,10351,7221,7199,14511,15512,11546,12266,7044,12297,5148,17515,138434
Sanddab..........................................,71,93,162,46,41,68,69,209,156,81,81,89,1166
Sargo...............................................,0,0,0,0,0,0,10,0,6,0,0,0,16
"Scorpionfish, California...............",4,63,0,0,7,13,1,0,10,33,0,2,133
"Seabass, white.............................",884,910,571,118,255,10367,8249,86,0,0,0,23,21464
"Shark, Pacific angel.....................",0,0,0,0,48,234,263,796,53,0,0,0,1393
"Shark, bigeye thresher................",325,0,0,0,123,0,0,295,273,81,195,0,1292
"Shark, brown smoothhound.......",46,83,0,0,0,0,0,0,0,0,0,0,129
"Shark, leopard...............................",71,418,909,14,32,0,0,123,17,51,26,94,1755
"Shark, pelagic thresher...............",0,0,0,0,0,0,0,0,0,60,80,0,140
"Shark, shortfin mako....................",905,55,0,197,3222,1863,574,1353,91,530,137,381,9307
"Shark, smooth hammerhead.......",0,0,0,0,393,0,0,0,0,0,0,0,393
"Shark, soupfin...............................",1159,429,185,280,0,0,0,142,0,264,0,122,2581
"Shark, spiny dogfish....................",0,210,0,0,0,0,0,0,0,0,0,0,210
"Shark, thresher..............................",2067,1402,273,0,7573,1493,995,1962,354,489,2007,6521,25136
"Shark, unspecified.......................",0,0,0,0,0,0,0,0,0,0,0,139,139
"Sheephead, California.................",2839,6666,0,0,3798,3458,1905,4021,3569,859,712,4201,32027
"Skate, longnose............................",77,0,0,0,0,0,0,0,0,0,0,0,77
"Sole, petrale...................................",14,0,0,0,0,0,0,0,0,0,0,0,14
"Sole, unspecified..........................",0,0,0,0,711,0,0,8,8,0,0,0,728
"Surfperch, black............................",27,42,0,0,0,0,16,0,67,0,12,20,184
Swordfish........................................,24490,4141,0,107,1377,7576,12290,8015,11794,14175,9412,58122,151500
"Thornyhead, longspine...............",144,335,282,150,211,526,435,381,258,569,389,1266,4946
"Thornyhead, shortspine..............",1012,1653,1414,1152,1608,2685,1609,1735,1156,1462,1341,3389,20215
Thornyheads..................................,0,3,4,0,1,0,0,0,0,0,0,0,8
Triggerfish......................................,0,0,0,0,31,0,4,25,2,3,0,0,65
"Tuna, bluefin..................................",279,86,0,1964,6844,9782,8480,12717,6649,1851,9296,4126,62073
"Tuna, skipjack...............................",0,0,0,0,0,0,0,260,0,0,0,0,260
"Tuna, unspecified.........................",0,0,0,0,0,0,0,0,0,0,0,289,289
"Tuna, yellowfin..............................",0,0,0,97,495,465,1402,1009,1315,4062,270,258,9373
"Whitefish, ocean...........................",1175,2158,0,0,396,192,75,85,25,11,17,1336,5472
Yellowtail........................................,2095,493,1525,7326,3885,3163,4495,833,102,373,176,297,24764
"Crab, armed box............................",19,0,0,0,0,0,0,0,0,0,0,0,19
"Crab, box.........................................",103,880,2783,2445,905,1660,453,1459,343,0,0,920,11951
"Crab, brown rock...........................",1052,696,1252,1473,1849,1844,2105,1004,974,398,531,325,13502
"Crab, king........................................",239,118,342,131,82,114,6,239,269,21,0,26,1587
"Crab, red rock................................",770,410,1214,218,159,202,263,884,1244,73,195,121,5752
"Crab, rock unspecified................",81,822,166,32,20,0,0,565,546,665,911,292,4099
"Crab, spider....................................",3771,3512,1993,3129,4950,3366,2805,1180,520,1372,830,612,28040
"Crab, spider/sheep claws..........",0,0,0,0,0,0,0,0,0,0,0,1,1
"Crab, yellow rock..........................",2607,4094,2928,2549,3422,3916,4403,1764,2168,1150,2042,1933,32974
"Lobster, California spiny.............",14717,8448,3095,0,0,0,0,0,0,78375,33280,22146,160061
"Prawn, ridgeback..........................",0,0,0,0,3344,0,0,0,0,0,0,0,3344
"Prawn, spot....................................",0,3837,6637,6296,14619,18968,17328,18170,13039,8791,0,0,107684
"Shrimp, ghost.................................",6,20,12,36,1085,176,1226,63,22,5,38,0,2690
"Sea cucumber, warty...................",13,0,1,39,0,746,193,442,0,0,0,0,1434
Sea stars........................................,0,10,0,0,40,15,10,0,6,12,0,0,93
"Sea urchin, purple........................",69,139,149,79,148,44,97,92,102,280,98,109,1406
"Sea urchin, red..............................",18883,25539,19148,21897,32226,25834,18395,11971,4411,4074,5431,15784,203593
"Limpet, keyhole.............................",0,0,1,1,0,545,0,0,0,0,0,0,547
"Octopus, unspecified..................",9,156,1053,439,717,290,277,144,3,16,30,20,3153
"Snail, top.........................................",12,120,80,16,56,16,4,0,0,4,16,32,356
"Whelk, Kellet's...............................",2331,1844,952,1,0,0,5275,5061,1234,1568,2690,3200,24156
Waters Area Total:,114659,88367,55526,68608,134105,130598,114460,98358,60610,136705,82242,148343,1232581
"Bonito, Pacific...............................",0,0,0,0,70,0,0,0,0,0,0,0,70
Dolphin (fish).................................,933,3508,6242,2971,1199,2908,416,505,836,1385,1395,3094,25392
Escolar............................................,1333,1044,615,2541,729,946,365,568,854,1506,609,2054,13164
"Fish, unspecified..........................",0,0,0,0,0,0,0,0,667,787,208,651,2313
Oilfish..............................................,0,0,0,66,125,0,0,0,0,0,0,0,191
Opah................................................,28496,69183,64018,45248,30855,34168,5159,11144,17065,16658,8476,31152,361622
"Pomfret, Pacific.............................",1234,3773,3037,2881,707,3160,586,896,0,0,0,0,16274
"Shark, shortfin mako....................",0,0,0,0,0,666,0,0,248,0,0,150,1064
"Shark, thresher..............................",0,0,0,0,0,0,0,0,0,0,0,3438,3438
Swordfish........................................,117,347,506,868,1931,6434,2118,2678,2481,382,0,14107,31969
"Tuna, albacore..............................",0,0,615,0,0,38,0,0,0,0,0,0,653
