"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern................",0,0,0,0,0,41,762,"2,067","10,192","4,704",0,0,"17,767"
"Barracuda, California............",156,0,0,0,0,0,0,14,58,43,0,0,271
"Bass, giant sea....................",0,0,308,0,0,0,0,0,0,0,0,0,308
Butterfish (Pacific pompano),0,1,18,77,0,206,0,24,38,0,0,0,365
Cabezon...............................,435,369,14,0,314,253,614,366,392,0,0,0,"2,756"
"Corbina, California................",0,0,0,0,0,14,99,0,0,0,0,0,113
"Corvina, shortfin...................",0,0,10,0,0,0,0,0,0,0,0,0,10
"Croaker, unspecifed.............",0,0,0,0,0,29,0,0,0,150,0,0,179
"Croaker, white......................","4,765","4,319","8,860","3,349","1,400","2,249","6,962","4,722","2,522",458,786,"4,955","45,344"
Dolphin (fish)........................,0,0,0,855,274,0,148,0,0,0,0,0,"1,277"
"Eel, monkeyface..................",0,0,0,0,20,0,0,0,0,35,54,0,108
Escolar.................................,0,0,0,0,135,0,316,0,0,0,0,0,451
"Fish, unspecified..................",0,0,0,0,141,0,0,0,0,0,273,0,414
"Flounder, starry....................","1,689","5,506","9,126","1,951",485,"2,289","2,958","1,770","1,339","4,327","5,418","4,833","41,691"
"Flounder, unspecified...........",811,"2,617","2,251",0,0,415,257,16,12,80,0,0,"6,459"
"Goby, yellowfin.....................",0,10,21,0,0,0,7,35,10,0,0,0,82
"Greenling, kelp.....................",35,97,28,0,16,25,219,186,0,40,0,0,646
Grenadiers...........................,0,904,"1,089",0,0,185,"2,154",244,42,"1,660",0,0,"6,278"
"Halibut, California.................","22,640","37,152","61,028","8,307","5,289","13,809","30,424","20,229","14,338","17,976","15,682","17,010","263,883"
"Halibut, unspecified..............",0,0,0,48,33,0,0,0,0,0,0,0,81
Herring roe on kelp...............,0,"21,363","32,357",0,0,0,0,0,0,0,0,0,"53,720"
"Herring, Roe.........................","5,050,311",0,0,0,0,0,0,0,0,0,0,"204,687","5,254,998"
Jacksmelt.............................,0,0,0,0,0,0,0,0,23,11,114,0,148
Kelpfishes............................,0,0,0,0,5,0,0,0,0,0,0,0,5
Lingcod................................,1,0,16,38,"1,831",933,"4,012","6,719","4,565","3,724",180,31,"22,050"
"Mackerel, Pacific..................",377,7,0,0,4,0,274,0,230,0,341,0,"1,232"
"Mackerel, bullet....................",0,0,0,0,0,0,0,0,0,101,0,0,101
"Mackerel, unspecified...........",0,0,0,0,0,0,0,0,0,110,0,0,110
"Mudsucker, longjaw..............",1,0,0,0,0,0,0,0,0,0,0,0,1
Opah....................................,0,0,0,"1,391",387,0,"2,051",0,0,0,0,0,"3,829"
"Ray, unspecified...................",0,0,0,0,0,0,0,0,0,0,39,0,39
"Rockfish, China....................",21,139,16,0,95,79,97,287,176,303,82,0,"1,293"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, bank.....................","1,460","9,032",390,"2,495","3,588",43,0,166,277,"8,749","3,006","2,148","31,354"
"Rockfish, black-and-yellow...",47,133,0,0,30,60,395,445,185,51,0,0,"1,347"
"Rockfish, black.....................",687,485,"1,370",0,375,963,"1,367","1,548","1,896","4,229",381,7,"13,308"
"Rockfish, blackgill................",341,167,26,115,103,0,81,376,"3,648","1,948",291,208,"7,303"
"Rockfish, blue......................",129,414,42,0,76,155,251,588,"1,212",201,268,0,"3,337"
"Rockfish, bocaccio...............",834,775,760,"1,268","2,345","1,183","2,324","1,309",640,906,0,35,"12,379"
"Rockfish, brown....................",50,2,46,0,264,79,391,425,"1,130",661,"1,052",0,"4,101"
"Rockfish, canary...................",117,362,82,83,376,210,272,570,"1,001",303,56,0,"3,433"
"Rockfish, chilipepper............","16,454","18,609","12,940","20,459","54,462","15,268","36,084","16,823","9,378","52,495","23,997","11,846","288,814"
"Rockfish, copper..................",210,"1,060",0,0,32,124,534,928,"1,384","1,249",559,16,"6,096"
"Rockfish, cowcod.................",0,0,0,0,0,0,56,0,0,0,0,0,56
"Rockfish, darkblotched.........",29,9,18,0,0,0,0,0,0,0,0,0,55
"Rockfish, flag.......................",0,0,0,0,0,0,0,0,12,0,0,0,12
"Rockfish, gopher..................",80,85,12,0,446,372,568,472,500,730,326,0,"3,590"
"Rockfish, grass....................",10,5,43,0,0,9,297,224,219,25,32,0,863
"Rockfish, greenspotted.........",34,0,0,0,64,0,46,10,113,255,0,0,522
"Rockfish, group black/blue...",5,0,0,0,0,0,0,0,0,798,0,0,803
"Rockfish, group bocaccio/ch",0,0,26,0,0,0,0,0,0,0,0,0,26
"Rockfish, group bolina..........",462,976,118,0,743,528,"3,918","5,982","7,402","7,893","1,439",49,"29,511"
"Rockfish, group gopher........",0,74,0,0,0,8,165,94,121,171,93,0,726
"Rockfish, group nearshore...",43,3,0,0,0,0,0,0,0,0,87,0,133
"Rockfish, group red..............",0,313,23,0,359,0,338,"1,724","3,949",0,0,148,"6,854"
"Rockfish, group rosefish.......",504,"1,189","5,044","6,473","2,577","2,829","1,576","1,194",232,"4,159","2,911",382,"29,070"
"Rockfish, group shelf............",87,401,96,345,0,0,46,115,332,15,1,0,"1,438"
"Rockfish, group slope...........",642,0,"3,448",481,152,76,0,0,"2,466",26,0,"1,017","8,308"
"Rockfish, group small...........",383,0,0,80,108,"1,060","1,698",433,"1,650",459,0,120,"5,990"
"Rockfish, kelp.......................",0,0,0,0,0,0,0,5,1,0,0,0,6
"Rockfish, olive......................",14,24,0,0,5,6,22,10,19,34,5,0,139
"Rockfish, quillback...............",182,992,0,0,8,0,134,393,919,"3,286",765,0,"6,679"
"Rockfish, rosethorn..............",27,42,0,0,0,0,38,131,190,0,0,0,428
"Rockfish, rosy......................",137,0,0,0,0,0,0,0,0,0,0,0,137
"Rockfish, splitnose...............","3,105","4,205",0,0,0,0,0,0,0,"1,066",66,681,"9,123"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, starry....................",0,0,0,0,0,0,0,23,134,0,0,0,156
"Rockfish, treefish.................",0,0,0,0,0,0,0,0,0,30,0,0,30
"Rockfish, unspecified...........",324,938,463,49,240,0,143,207,"7,584","2,152",83,110,"12,293"
"Rockfish, vermilion...............","2,989","1,668","1,822",0,8,0,622,702,865,0,0,0,"8,676"
"Rockfish, widow...................","3,029","5,094",727,"1,854","3,018",817,"3,934","5,255","3,172","6,328","23,553",0,"56,781"
"Rockfish, yelloweye..............",0,5,0,0,0,0,2,83,92,57,0,0,239
"Rockfish, yellowtail...............",10,643,302,0,"1,767",76,124,326,422,74,1,0,"3,746"
Sablefish..............................,"3,787","8,150","14,525","11,232","14,050","14,178","23,352","64,158","101,277","35,572","7,917","1,960","300,158"
"Salmon, Roe (Chinook and C",0,0,0,0,0,0,0,5,74,52,0,"1,057","1,187"
"Salmon, chinook..................",0,0,0,0,"397,622","30,381","246,836","50,977","86,688","49,636",0,0,"862,139"
Salmon.................................,0,0,0,0,0,0,0,0,0,98,0,0,98
Sanddab...............................,"128,732","38,590","119,302","99,753","60,568","94,872","203,488","138,140","151,491","138,885","82,019","35,992","1,291,832"
