$,% &,,,"! &",,( $,,,),,(,,%&,,%&,,)& &,"!",*$ !,,,"+ ,","!",,$,"!",,',
California Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barracuda, California..........................",0,,,0,,0,,,0,,0,,0,,6,,11,23,0,,,,0,,,0,,,39
"Bonito, Pacific....................................",0,,,0,,0,,,0,,0,,0,,0,,0,36,0,,,,0,,,0,,,36
Cabezon............................................,0,,,14,,0,,,0,,27,,93,,219,,301,191,225,,,,0,,,26,,,"1,097"
"Croaker, white....................................",238,,,60,,15,,,5,,16,,0,,0,,82,140,36,,,,0,,,0,,,592
Dolphin (fish)......................................,0,,,0,,506,,,"2,091",,0,,0,,0,,0,906,531,,,,123,,,0,,,"4,157"
"Eel, monkeyface (prickleback)...........",0,,,0,,0,,,0,,0,,0,,0,,3,0,0,,,,0,,,34,,,37
Escolar...............................................,962,,,206,,591,,,"1,481",,0,,0,,0,,0,0,156,,,,0,,,0,,,"3,396"
"Fish, unspecified................................",0,,,0,,0,,,0,,0,,0,,0,,0,"1,187",0,,,,0,,,0,,,"1,187"
"Flounder, arrowtooth..........................",0,,,0,,0,,,0,,0,,0,,91,,0,42,4,,,,0,,,0,,,137
"Flounder, starry..................................","1,613",,,"2,582",,"1,020",,,565,,117,,212,,"2,101",,"2,111","1,983","2,128",,,,0,,,0,,,"14,431"
"Goby, yellowfin...................................",0,,,0,,0,,,0,,0,,0,,0,,0,0,9,,,,11,,,11,,,31
"Greenling, kelp...................................",0,,,0,,0,,,0,,13,,36,,50,,48,48,72,,,,0,,,0,,,267
Grenadier...........................................,18,,,0,,0,,,0,,0,,0,,0,,0,852,0,,,,0,,,0,,,870
"Halibut, California...............................","28,566",,,"21,557",,"13,112",,,"10,645",,"10,171",,"10,220",,"34,456",,"37,559","19,626","10,676",,,,"1,792",,,0,,,"198,380"
"Herring, Pacific - roe..........................","3,453,089",,,0,,0,,,0,,0,,0,,0,,0,0,0,,,,0,,,0,,,"3,453,089"
Jacksmelt...........................................,0,,,0,,0,,,4,,26,,0,,0,,0,0,0,,,,8,,,48,,,85
Lingcod..............................................,0,,,0,,0,,,0,,150,,828,,"1,837",,"1,914","1,121","1,089",,,,181,,,102,,,"7,223"
"Mackerel, unspecified........................",0,,,0,,0,,,0,,0,,11,,0,,0,0,0,,,,0,,,0,,,11
Oilfish.................................................,0,,,0,,0,,,0,,0,,0,,0,,0,970,562,,,,0,,,0,,,"1,532"
Opah..................................................,240,,,30,,142,,,505,,0,,0,,0,,0,"19,993",73,,,,460,,,0,,,"21,443"
"Pomfret, Pacific..................................",0,,,0,,0,,,0,,0,,0,,0,,0,149,0,,,,0,,,0,,,149
"Rockfish, China..................................",61,,,46,,0,,,0,,2,,100,,121,,96,76,77,,,,0,,,10,,,589
"Rockfish, Pacific ocean perch............",0,,,0,,0,,,0,,0,,0,,0,,15,0,0,,,,0,,,0,,,15
"Rockfish, aurora.................................",0,,,0,,0,,,0,,0,,0,,0,,0,117,30,,,,0,,,0,,,147
"Rockfish, black-and-yellow...............",36,,,64,,0,,,0,,3,,85,,73,,147,84,97,,,,0,,,30,,,619
"Rockfish, black...................................",134,,,149,,0,,,0,,138,,306,,387,,594,344,418,,,,127,,,189,,,"2,787"
"Rockfish, blackgill...............................",0,,,0,,0,,,47,,208,,222,,286,,658,386,469,,,,4,,,0,,,"2,280"
"Rockfish, blue....................................",139,,,243,,0,,,0,,26,,31,,140,,143,198,537,,,,121,,,189,,,"1,768"
"Rockfish, bocaccio............................",0,,,0,,0,,,0,,0,,"1,701",,155,,398,"1,031","1,335",,,,223,,,0,,,"4,842"
"Rockfish, brown.................................",758,,,259,,0,,,0,,209,,605,,"1,152",,841,443,696,,,,97,,,275,,,"5,334"
"Rockfish, canary................................",0,,,0,,0,,,0,,0,,1,,0,,6,38,34,,,,0,,,0,,,79
"Rockfish, chilipepper..........................",0,,,0,,0,,,0,,"1,304",,"20,323",,"27,983",,"15,416","6,759","17,935",,,,"2,605",,,615,,,"92,940"
"Rockfish, copper................................",40,,,37,,0,,,0,,6,,92,,104,,67,44,61,,,,0,,,9,,,459
"Rockfish, cowcod..............................",0,,,0,,0,,,0,,0,,0,,0,,0,1,14,,,,0,,,0,,,15
"Rockfish, gopher................................",434,,,317,,0,,,0,,83,,597,,847,,493,421,411,,,,0,,,152,,,"3,754"
"Rockfish, grass...................................",135,,,143,,0,,,0,,30,,145,,31,,79,70,227,,,,0,,,98,,,958
$,%,&,,"! &",,( $,,,),,(,,%&,,%&,,)& &,,"!",,*$ !,,,"+ ,","!",,$,"!",,',
California Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rockfish, greenblotched....................",,0,,0,,,0,,0,,0,,0,,0,,0,,0,,4,,,,0,,,0,,,4
"Rockfish, greenspotted......................",,0,,0,,,0,,0,,0,,2,,0,,9,,4,,0,,,,0,,,0,,,15
"Rockfish, greenstriped........................",,0,,0,,,0,,0,,2,,4,,0,,5,,44,,2,,,,0,,,0,,,57
"Rockfish, group shelf..........................",,0,,0,,,0,,0,,32,,0,,0,,0,,0,,0,,,,0,,,0,,,32
"Rockfish, group slope.........................",,0,,0,,,0,,0,,142,,0,,2,,158,,859,,80,,,,0,,,"3,522",,,"4,763"
"Rockfish, group small.........................",,0,,0,,,0,,0,,0,,0,,4,,0,,0,,3,,,,0,,,8,,,15
"Rockfish, olive....................................",,1,,0,,,0,,0,,6,,30,,99,,71,,56,,89,,,,36,,,50,,,438
"Rockfish, quillback.............................",,3,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,0,,,3
"Rockfish, redbanded..........................",,0,,2,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,0,,,2
"Rockfish, rosy.....................................",,48,,11,,,0,,0,,0,,41,,24,,8,,9,,0,,,,0,,,0,,,141
"Rockfish, splitnose.............................",,0,,0,,,0,,1,,43,,23,,1,,148,,126,,7,,,,0,,,393,,,742
