Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,0,0,0,10,0,0,0,0,10
"Barracuda, California...................",0,0,0,0,0,0,0,0,12,0,0,0,12
"Bonito, Pacific...............................",0,0,0,0,0,0,0,0,0,0,0,18,18
Cabezon..........................................,95,24,0,0,291,128,122,53,63,45,81,60,961
"Croaker, white................................",0,28,65,2,0,5,0,3,0,0,0,0,103
Dolphin (fish).................................,0,0,0,0,0,0,0,0,96,0,228,85,409
"Eel, monkeyface (prickleback)..",0,75,40,67,69,65,29,59,28,0,13,0,445
Escolar............................................,0,0,0,0,0,0,0,0,0,0,499,0,499
"Fish, unspecified..........................",0,0,0,0,49,0,0,0,330,12,25,0,416
"Flounder, arrowtooth....................",2,0,43,13,18,12,747,0,109,1,0,0,945
"Flounder, starry.............................","1,318",866,"1,545",373,217,515,"1,058","1,630",464,437,0,0,"8,423"
"Goby, yellowfin.............................",0,0,12,0,0,0,0,0,0,0,0,0,12
"Greenling, kelp..............................",79,16,0,0,94,101,223,85,176,130,245,92,"1,241"
"Halibut, California.........................","20,562","9,711","20,641","6,037","11,043","23,387","58,480","33,905","6,085","5,475",510,14,"195,849"
"Herring, Pacific - roe on kelp....","61,748","16,737",0,0,0,0,0,0,0,0,0,0,"78,485"
"Herring, Pacific - roe...................","2,543,781","2,049,301","7,098",0,0,0,0,0,0,16,0,0,"4,600,196"
"Herring, Pacific..............................",162,300,0,0,0,0,0,0,0,0,0,0,462
Jacksmelt........................................,14,0,0,0,0,0,5,0,0,0,0,0,19
Lingcod............................................,27,11,195,"1,432","1,937","1,043","2,289","1,809","3,156","2,693","1,161",28,"15,781"
Louvar..............................................,0,0,0,0,0,0,0,0,0,282,0,0,282
"Midshipman, plainfin....................",0,0,0,0,0,29,0,0,0,0,0,0,29
"Mudsucker, longjaw.....................",20,0,0,0,0,0,0,0,0,2,3,6,31
Oilfish..............................................,0,0,0,0,0,0,0,0,0,0,516,390,906
Opah................................................,0,0,0,0,0,0,0,0,0,0,"22,124",412,"22,536"
"Pomfret, Pacific.............................",0,0,0,0,0,0,0,0,0,0,523,0,523
"Rockfish, China.............................",15,5,0,0,4,68,204,69,31,86,10,0,492
"Rockfish, Pacific ocean perch..",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, aurora............................",0,0,7,19,29,2,28,7,43,19,34,0,188
"Rockfish, bank...............................",0,53,0,0,0,0,0,0,0,0,0,0,53
"Rockfish, black-and-yellow.......",0,0,0,0,0,10,14,10,0,0,0,0,34
"Rockfish, black..............................",410,298,0,0,325,483,"1,051",788,577,428,679,392,"5,430"
"Rockfish, blackgill........................",0,0,0,15,22,0,6,214,10,35,20,0,322
"Rockfish, blue................................",58,91,0,0,69,73,167,296,180,314,269,129,"1,647"
"Rockfish, bocaccio......................",0,0,76,"1,929","1,584",203,282,206,"2,249",576,0,0,"7,105"
"Rockfish, brown............................",696,203,159,0,"1,002","1,080","1,568","1,361","1,666","1,049",895,756,"10,435"
"Rockfish, canary...........................",0,0,9,4,18,34,41,49,16,20,0,0,191
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, chilipepper...................",473,127,"3,263","14,399","16,556","22,056","21,865","7,365","26,378","19,525",0,0,"132,007"
"Rockfish, copper...........................",47,17,0,0,48,57,238,109,107,63,47,55,787
"Rockfish, cowcod.........................",0,0,0,1,9,19,28,33,36,141,0,0,267
"Rockfish, darkblotched...............",0,0,0,0,0,0,37,0,0,0,0,0,37
"Rockfish, gopher...........................",44,56,0,0,201,246,894,282,116,284,554,230,"2,907"
"Rockfish, grass.............................",0,0,0,0,0,2,42,15,18,2,45,0,124
"Rockfish, greenblotched.............",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, greenspotted...............",2,0,26,0,1,8,277,0,40,39,0,0,393
"Rockfish, greenstriped................",0,0,0,0,0,1,0,3,0,2,0,0,6
"Rockfish, group bolina................",6,0,0,0,0,0,0,28,0,0,0,0,34
"Rockfish, group canary/vermili.",3,0,0,0,0,0,0,0,0,0,0,0,3
"Rockfish, group shelf..................",0,0,4,3,0,0,0,0,0,0,0,0,7
"Rockfish, group slope.................",0,0,724,"1,946",287,0,839,269,0,0,0,0,"4,065"
"Rockfish, group small..................",0,0,0,38,0,0,0,0,0,0,0,0,38
"Rockfish, kelp................................",0,0,0,0,0,0,0,13,7,9,10,14,53
"Rockfish, olive...............................",23,32,0,0,28,74,87,107,205,100,96,40,791
"Rockfish, quillback.......................",0,2,0,0,0,1,3,0,1,0,0,0,8
"Rockfish, redbanded....................",0,1,0,0,0,0,0,2,0,1,0,0,4
"Rockfish, rosy...............................",0,0,0,0,3,0,34,64,27,43,0,0,172
"Rockfish, shortbelly.....................",0,0,0,0,0,0,0,0,0,20,0,0,20
"Rockfish, speckled.......................",0,0,0,0,0,0,0,0,0,4,0,0,4
"Rockfish, splitnose......................",50,55,452,379,22,2,80,140,185,0,130,0,"1,495"
"Rockfish, starry.............................",0,0,0,0,7,1,4,0,3,7,0,0,22
"Rockfish, stripetail.......................",0,0,0,0,0,0,0,0,0,8,0,0,8
"Rockfish, unspecified..................",0,0,0,0,31,0,0,0,281,0,0,0,312
"Rockfish, vermilion.......................",116,22,0,1,64,104,282,179,171,315,158,64,"1,476"
"Rockfish, widow............................",0,0,0,0,5,1,18,4,0,994,0,0,"1,022"
"Rockfish, yelloweye.....................",0,0,0,0,0,0,5,0,0,8,0,0,13
"Rockfish, yellowtail......................",3,6,0,0,243,895,220,76,26,"1,352",10,2,"2,833"
Sablefish.........................................,"1,627","1,259","2,087","5,254","10,182","12,014","23,168","49,202","18,849","34,343","6,588","10,299","174,872"
"Salmon, Chinook...........................",0,0,0,0,"529,853","366,021","75,877","67,846","33,695","18,082",0,0,"1,091,374"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,2,10,6,219,210,151,0,0,598
"Sanddab, Pacific..........................",0,0,0,0,0,0,0,0,0,"3,372",0,0,"3,372"
