Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Bonito, Pacific...............................",0,0,0,0,0,0,0,126,"63,374",0,0,0,,"63,500"
"Bullhead, brown.............................",0,0,2,0,30,0,13,11,115,612,269,130,,"1,182"
Cabezon..........................................,34,0,0,0,35,108,123,39,73,27,54,68,,561
"Croaker, white................................",0,0,74,0,0,53,0,0,0,8,10,15,,160
Dolphin (fish).................................,30,"1,211",766,0,0,0,165,60,189,0,"1,375",0,,"3,796"
"Eel, monkeyface (prickleback)..",19,0,37,9,0,20,31,0,0,0,5,0,,120
Escolar............................................,0,260,77,957,0,0,0,0,0,0,0,0,,"1,294"
"Fish, unspecified..........................",0,129,0,0,0,0,686,860,260,0,0,0,,"1,935"
"Flounder, arrowtooth....................",0,0,0,0,0,2,0,10,0,0,0,0,,12
"Flounder, starry.............................",497,884,"1,137",960,297,797,"3,016","2,683","2,586","1,714",687,0,,"15,258"
"Flounder, unspecified..................",0,0,0,0,0,2,0,0,0,0,7,0,,9
"Goby, bluebanded........................",1,0,0,0,0,0,0,0,0,0,0,0,,1
"Goby, yellowfin.............................",3,0,0,0,0,0,0,0,0,0,0,0,,3
"Greenling, kelp..............................",223,27,0,0,119,125,225,133,129,13,0,76,,"1,070"
"Greenling, rock..............................",0,0,0,0,0,0,0,14,103,82,199,77,,475
"Halibut, California.........................","2,322","8,048","6,417","13,555","18,891","25,802","73,715","35,426","21,873","7,150","3,746",0,,"216,946"
"Herring, Pacific - roe...................","4,699,843","1,806,575",0,0,0,0,0,0,0,0,0,0,,"6,506,418"
Jacksmelt........................................,0,0,0,0,0,90,0,0,0,5,0,7,,102
Lingcod............................................,91,0,5,46,952,"1,788","4,988","3,625","4,597","1,538","1,033",0,,"18,664"
"Mackerel, Pacific..........................",0,0,0,0,0,0,0,0,0,4,0,0,,4
"Mackerel, unspecified.................",0,0,0,0,0,0,0,2,0,0,0,0,,2
"Midshipman, plainfin....................",0,0,0,0,11,166,80,0,0,0,0,0,,256
"Mudsucker, longjaw.....................",4,0,0,0,0,0,0,0,0,0,20,0,,24
Oilfish..............................................,"1,131","1,007","1,016",0,0,0,474,147,340,0,"1,452","1,011",,"6,578"
Opah................................................,615,"1,070",862,778,0,0,"19,470","5,522","8,335",0,"23,327","8,113",,"68,092"
"Pomfret, Pacific.............................",0,40,49,0,0,0,"4,793",839,"2,630",0,"1,660",10,,"10,021"
"Ratfish, spotted............................",322,0,0,0,0,0,0,0,0,0,0,0,,322
"Rockfish, China.............................",3,0,0,0,4,5,26,20,6,20,108,0,,192
"Rockfish, aurora............................",10,38,26,0,0,0,29,0,65,35,0,0,,203
"Rockfish, bank...............................",437,0,0,2,2,0,0,0,3,67,0,0,,511
"Rockfish, black-and-yellow.......",0,0,0,0,7,1,16,10,16,13,0,0,,63
"Rockfish, black..............................",327,80,0,0,125,316,705,389,420,321,150,17,,"2,850"
"Rockfish, blackgill........................",213,84,380,205,263,0,363,312,"1,977",868,86,0,,"4,751"
"Rockfish, blue................................",216,77,0,0,55,94,415,394,520,510,215,189,,"2,684"
"Rockfish, bocaccio......................",342,0,6,32,25,7,183,664,641,562,0,0,,"2,462"
"Rockfish, brown............................","1,031",217,0,0,"1,385","1,785","2,419","1,752","2,518",930,879,156,,"13,075"
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Rockfish, canary...........................",21,0,10,4,12,9,17,37,41,58,0,0,,209
"Rockfish, chilipepper...................","52,410","3,192",192,857,"4,331","1,385","3,800","1,538","3,265","4,375",15,0,,"75,360"
"Rockfish, copper...........................",59,20,0,0,55,103,85,64,52,53,71,0,,561
"Rockfish, cowcod.........................",8,0,3,0,8,2,1,3,3,7,0,0,,35
"Rockfish, darkblotched...............",4,0,0,0,1,0,0,0,1,0,0,0,,6
"Rockfish, gopher...........................",282,0,0,0,449,503,921,750,519,357,794,86,,"4,660"
"Rockfish, grass.............................",0,0,0,0,34,0,36,9,100,29,0,0,,208
"Rockfish, greenblotched.............",0,0,2,0,0,0,0,0,0,0,0,0,,2
"Rockfish, greenspotted...............",30,3,2,25,26,8,4,4,4,67,0,0,,173
"Rockfish, greenstriped................",0,0,10,16,29,0,41,3,0,1,0,0,,100
"Rockfish, group bolina................",0,82,0,0,0,0,0,0,0,0,0,0,,82
"Rockfish, group red......................",0,0,0,0,0,0,0,0,22,0,0,0,,22
"Rockfish, group shelf..................",0,0,0,0,0,0,0,0,0,1,0,0,,1
"Rockfish, group slope.................","2,826",0,0,0,26,0,81,0,2,2,12,0,,"2,949"
"Rockfish, group small..................",0,0,0,0,0,17,0,0,0,0,0,0,,17
"Rockfish, kelp................................",0,0,0,0,10,2,14,11,19,7,8,0,,71
"Rockfish, olive...............................",50,28,0,0,9,39,198,79,110,37,25,6,,580
"Rockfish, quillback.......................",0,0,0,0,0,0,20,0,0,0,0,0,,20
"Rockfish, redbanded....................",1,1,0,0,1,0,0,0,0,1,0,0,,4
"Rockfish, rosy...............................",1,0,0,0,0,5,0,1,0,0,0,0,,7
"Rockfish, splitnose......................",684,"1,194",0,22,32,0,28,8,0,209,0,0,,"2,177"
"Rockfish, starry.............................",0,0,0,0,0,0,0,0,2,0,0,0,,2
"Rockfish, stripetail.......................",0,0,0,0,0,0,0,0,0,1,0,0,,1
"Rockfish, unspecified..................",0,0,0,0,0,25,0,0,0,0,0,0,,25
"Rockfish, vermilion.......................",148,22,0,0,64,103,364,257,507,197,183,13,,"1,859"
"Rockfish, widow............................",159,0,0,0,3,0,0,0,4,405,0,0,,571
"Rockfish, yellowtail......................",0,0,0,0,19,5,"1,019",59,52,744,37,62,,"1,996"
Sablefish.........................................,"12,948","4,868","19,337","30,387","109,243","1,813","33,517","11,110","27,064","17,062","12,546",0,,"279,896"
"Salmon, Chinook...........................",0,0,0,0,"122,363","65,584","35,443","167,165","99,761","37,030",0,0,,"527,345"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,16,39,485,577,377,0,0,,"1,492"
