Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,161,107,"432,654","1,591,542","1,418,624",7,0,0,,"3,443,095"
"Bonito, Pacific...............................",0,0,0,0,0,0,0,41,7,0,965,0,,"1,013"
"Bullhead, brown.............................",0,0,0,0,0,0,0,0,0,14,6,0,,20
Cabezon..........................................,5,0,0,0,69,46,33,11,117,57,87,19,,444
"Croaker, white................................",86,7,6,0,1,0,19,357,0,0,0,11,,487
Dolphin (fish).................................,0,0,332,0,0,0,0,0,0,0,0,0,,332
"Eel, wolf (wolf-eel)........................",0,0,0,0,0,10,0,22,7,0,0,0,,39
Eel.....................................................,0,0,0,0,0,1,2,0,0,0,0,10,,13
Escolar............................................,0,0,38,0,0,0,0,0,0,0,0,0,,38
"Fish, unspecified..........................",0,0,0,0,0,0,1,0,0,0,0,0,,1
"Flounder, arrowtooth....................",0,0,0,22,3,30,644,2,3,8,0,6,,718
"Flounder, starry.............................",762,914,"1,260",740,804,333,500,"1,823","1,922","1,069",612,0,,"10,739"
"Flounder, unspecified..................",0,0,182,0,0,0,0,0,15,0,3,0,,200
"Goby, yellowfin.............................",0,0,0,0,0,0,0,0,0,0,0,35,,35
"Greenling, kelp..............................",46,29,0,0,130,100,148,172,232,293,118,58,,"1,326"
Grenadier........................................,0,0,0,100,0,0,0,0,0,0,0,0,,100
"Halibut, California.........................","17,814","25,902","35,746","21,793","25,001","31,485","33,248","48,477","30,579","21,521","6,452",15,,"298,033"
"Halibut, unspecified.....................",0,0,0,0,0,0,0,17,0,0,0,0,,17
"Herring, Pacific - roe...................","35,892","38,526",0,0,0,0,0,0,0,0,0,0,,"74,418"
Jacksmelt........................................,50,1,140,0,0,0,0,0,0,0,18,65,,274
Lingcod............................................,138,167,53,247,"2,039","2,131","3,643","4,149","8,805","6,212","1,735",498,,"29,819"
"Mackerel, Pacific..........................",1,0,0,0,0,2,12,0,0,0,0,0,,15
"Mackerel, jack................................",0,0,0,0,0,0,16,0,0,0,0,0,,16
"Mackerel, unspecified.................",0,0,0,0,0,0,0,6,0,0,0,0,,6
"Midshipman, plainfin....................",0,0,0,0,0,88,42,0,2,0,0,0,,132
"Mudsucker, longjaw.....................",143,0,0,4,33,22,8,0,0,56,175,0,,441
Oilfish..............................................,0,0,273,0,0,0,0,0,0,0,0,0,,273
Opah................................................,0,0,397,0,0,0,0,0,0,0,0,0,,397
"Prickleback, monkeyface (eel)..",10,0,12,0,75,29,0,0,0,0,0,0,,126
"Ratfish, spotted............................",0,0,18,64,11,6,183,0,237,0,5,6,,530
"Ray, Pacific electric....................",0,0,0,0,0,0,100,2,99,10,53,4,,268
"Rockfish, China.............................",0,54,0,0,17,49,156,152,95,60,0,13,,596
"Rockfish, aurora............................",0,0,0,0,0,0,0,0,0,0,0,"1,159",,"1,159"
"Rockfish, bank...............................",0,0,0,"3,869",0,"2,812","3,113",0,309,0,43,0,,"10,146"
"Rockfish, black..............................",58,0,0,0,60,15,197,62,147,145,108,32,,824
"Rockfish, blackgill........................",0,0,0,0,723,140,510,310,"2,580",83,0,59,,"4,405"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, blue................................",93,212,0,0,4,359,284,437,485,244,393,285,"2,797"
"Rockfish, bocaccio......................",0,0,"27,702","1,726","3,880","19,898","13,702",260,"3,167","3,964","6,205","15,242","95,746"
"Rockfish, brown............................",221,324,0,0,"1,410","1,202","1,422","1,789","2,207","1,032",602,988,"11,197"
"Rockfish, calico............................",0,0,0,0,0,0,0,2,0,0,0,0,2
"Rockfish, canary...........................",0,7,68,287,331,226,387,443,714,483,283,175,"3,402"
"Rockfish, chilipepper...................",0,0,"1,614","1,367","2,695","15,262","12,304","5,176","27,042","5,540","10,602","51,780","133,382"
"Rockfish, copper...........................",16,101,0,0,42,63,169,84,91,36,20,20,642
"Rockfish, cowcod.........................",0,0,26,1,100,278,58,36,421,20,8,44,993
"Rockfish, darkblotched...............",0,0,0,1,1,0,2,0,0,0,0,1,5
"Rockfish, flag.................................",0,0,0,0,0,2,1,0,4,0,0,0,7
"Rockfish, gopher...........................",0,59,0,0,160,206,635,497,557,508,150,76,"2,847"
"Rockfish, greenspotted...............",0,0,6,54,4,0,45,48,153,28,58,171,567
"Rockfish, greenstriped................",0,0,33,0,18,29,142,64,269,67,67,166,855
"Rockfish, group bolina................",0,0,0,0,0,0,0,0,0,29,0,0,29
"Rockfish, group shelf..................",0,0,0,0,147,412,81,0,0,0,0,0,640
"Rockfish, group slope.................",0,0,0,0,0,35,41,69,0,0,0,0,145
"Rockfish, group small..................",0,0,0,0,0,0,0,0,0,0,230,0,230
"Rockfish, olive...............................",0,0,0,0,2,2,15,0,3,4,3,0,29
"Rockfish, quillback.......................",0,12,0,0,1,1,7,0,30,23,1,0,75
"Rockfish, redbanded....................",0,0,0,2,0,0,18,0,0,0,0,3,23
"Rockfish, rosy...............................",0,0,0,0,2,5,13,4,32,5,0,5,65
"Rockfish, shortbelly.....................",0,0,0,0,89,71,68,23,18,40,2,0,311
"Rockfish, splitnose......................",0,0,0,"4,032",0,788,"2,062",0,"1,022",0,0,"8,613","16,517"
"Rockfish, starry.............................",0,0,0,0,0,2,14,2,40,5,0,0,63
"Rockfish, stripetail.......................",0,0,0,0,4,0,48,0,0,8,3,1,64
"Rockfish, treefish.........................",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, unspecified..................",326,20,0,0,0,55,0,82,132,0,16,0,630
"Rockfish, vermilion.......................",27,51,0,0,240,116,273,765,539,263,215,89,"2,577"
"Rockfish, widow............................",0,0,36,0,6,284,64,571,135,1,215,159,"1,471"
"Rockfish, yelloweye.....................",0,0,1,0,0,0,0,0,0,0,0,0,1
"Rockfish, yellowtail......................",8,3,0,0,0,66,111,992,444,591,29,59,"2,302"
Sablefish.........................................,877,"1,236","2,971","32,548","10,717","32,046","53,614","95,521","45,889","18,045","4,820","9,420","307,702"
"Salmon, Chinook...........................",0,0,0,0,"6,732","1,897",0,"101,902","52,289","15,519",0,0,"178,340"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,0,0,187,270,86,0,0,542
"Sanddab, Pacific..........................",0,0,6,346,0,"1,252",120,0,47,"2,995",0,0,"4,766"
Sanddab..........................................,0,39,30,5,"6,351","11,431","9,809","13,187","4,591","6,550",9,25,"52,027"
