California Waters - Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern 0",0,0,"1,075","1,090",177,0,"50,243","66,614","1,226,326","412,969",0,"1,758,494"
"Bass, giant sea 0",0,17,0,0,0,0,0,0,0,0,0,17
"Bullhead, brown 0",0,0,0,0,0,26,28,7,20,8,5,94
Cabezon 13,0,0,0,14,18,37,27,34,16,53,6,218
"Croaker, white 15",21,40,13,18,0,68,542,63,60,0,0,838
Eel 0,0,0,0,0,0,1,4,0,0,0,0,5
"Eel, California moray 0",0,2,0,0,0,0,0,0,0,0,0,2
"Eel, wolf (wolf-eel) 0",0,0,0,29,10,0,7,0,10,0,0,56
"Fish, unspecified 0",0,0,0,0,1,0,0,0,0,0,0,1
"Flounder, arrowtooth 0",0,309,66,1,169,81,525,14,106,0,0,"1,271"
"Flounder, starry 435","1,420","1,337","1,794",591,"2,364","1,153","1,906","1,682","3,753","2,077","1,016","19,527"
"Goby, yellowfin 22",2,7,30,0,0,0,0,0,0,0,0,61
"Greenling, kelp 116",60,0,0,65,119,33,0,0,0,0,0,393
"Greenling, rock 0",0,0,0,10,0,86,45,128,130,127,4,530
Grenadier 0,0,0,0,13,0,0,0,0,0,0,0,13
"Guitarfish, shovelnose 0",0,0,0,0,0,15,0,0,0,3,0,18
"Halibut, California 12,128","20,361","25,808","29,782","35,812","55,253","51,895","63,928","35,701","29,142","16,080","4,359","380,250"
"Halibut, unspecified 0",0,0,0,0,0,0,103,0,91,0,0,194
"Herring, Pacific 0",0,0,0,0,1,0,0,0,0,0,0,1
"Jacks, unspecified 0",0,0,0,0,0,0,0,42,0,0,0,42
Jacksmelt 0,0,0,0,0,0,0,0,0,0,0,6,6
Lingcod 164,145,460,249,"2,786","5,041","3,083","6,634","4,848","3,510","1,400",134,"28,454"
"Mackerel, jack 0",0,3,0,0,0,2,36,0,0,0,0,41
"Mackerel, Pacific 0",0,0,0,0,139,20,0,0,0,0,0,159
"Mackerel, unspecified 0",0,225,0,3,0,0,18,0,0,0,0,246
"Midshipman, plainfin 0",0,1,55,2,23,23,1,0,0,4,0,109
Opah 0,0,0,0,0,0,0,0,0,0,222,0,222
"Perch-like, unspecified 0",0,0,0,0,0,0,0,0,0,0,7,7
"Prickleback, monkeyface 0",8,0,15,30,15,0,0,0,10,0,37,115
(eel),,,,,,,,,,,,
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Ratfish, spotted",0,0,"1,621",449,569,"1,768",694,3,0,0,18,0,"5,122"
"Ray, bat",0,0,0,0,0,30,0,0,0,0,0,0,30
"Ray, Pacific electric",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, bank",0,0,"2,526",0,0,"1,289",880,329,0,0,16,0,"5,040"
"Rockfish, black",14,52,0,0,62,105,104,170,62,98,32,2,699
"Rockfish, black-and-",0,0,0,0,0,0,0,0,8,0,0,0,8
yellow,,,,,,,,,,,,,
"Rockfish, blackgill",0,0,107,0,2,32,64,21,58,"1,636",0,2,"1,922"
"Rockfish, blue",277,120,0,0,193,"1,639",913,998,728,763,677,91,"6,398"
"Rockfish, bocaccio",0,0,"35,538","35,131","38,795","27,629","15,051","26,785","32,773","17,307","18,990",5,"248,004"
"Rockfish, brown",743,415,0,0,"1,195","1,456",884,"1,110",628,"1,066",477,156,"8,131"
"Rockfish, canary",72,94,53,52,467,"1,716",463,"2,672",401,269,261,25,"6,544"
"Rockfish, chilipepper",0,0,"16,325","13,989","33,088","19,975","14,680","17,424","9,833","13,356","18,878",0,"157,548"
"Rockfish, China",6,0,0,0,6,3,6,2,4,7,3,0,37
"Rockfish, copper",70,52,0,0,57,24,33,94,61,64,60,6,522
"Rockfish, cowcod",0,0,236,271,385,205,118,91,29,21,180,0,"1,536"
"Rockfish, darkblotched",0,0,0,0,0,2,13,0,0,0,2,0,17
"Rockfish, flag",0,0,0,0,0,0,1,0,0,0,0,2,3
"Rockfish, gopher",118,51,0,0,144,299,132,59,161,112,117,13,"1,206"
"Rockfish, greenspotted",0,0,0,24,123,57,3,83,0,0,32,2,324
"Rockfish, greenstriped",0,0,0,177,543,324,528,691,374,406,18,0,"3,061"
"Rockfish, group bolina",93,90,0,8,169,418,"1,112",615,541,287,406,70,"3,809"
"Rockfish, group",0,0,0,0,0,0,9,0,0,0,0,0,9
canary/vermilion,,,,,,,,,,,,,
"Rockfish, group deep",0,0,0,0,0,120,0,0,0,0,0,0,120
nearshore,,,,,,,,,,,,,
"Rockfish, group gopher",0,0,0,0,0,0,0,0,0,50,0,0,50
"Rockfish, group shelf",0,0,519,35,0,229,212,140,0,90,65,0,"1,290"
"Rockfish, group slope",0,0,15,0,0,0,0,0,0,0,0,0,15
"Rockfish, olive",0,0,0,0,49,229,117,225,230,167,245,0,"1,261"
"Rockfish, quillback",2,0,0,0,3,23,0,0,0,1,2,0,31
"Rockfish, redbanded",0,0,8,0,0,2,8,11,0,0,0,0,29
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, rosethorn",0,0,0,0,0,0,1,0,0,0,0,0,1
"Rockfish, rosy",2,0,0,0,8,6,0,5,24,23,11,4,83
"Rockfish, shortbelly",0,0,2,130,300,492,41,46,4,11,"5,596",0,"6,622"
"Rockfish, speckled",0,0,0,0,0,0,0,0,0,0,40,0,40
"Rockfish, splitnose",0,0,"11,974",6,23,912,"2,617","2,136",0,2,148,0,"17,818"
"Rockfish, starry",10,0,0,0,6,2,11,7,0,4,6,4,49
"Rockfish, stripetail",0,0,0,404,153,272,61,15,95,411,0,0,"1,411"
"Rockfish, unspecified",0,0,0,0,0,26,0,0,0,430,416,0,872
"Rockfish, vermilion",58,77,0,0,433,706,379,580,317,290,184,43,"3,066"
"Rockfish, widow",5,0,117,339,"2,176","1,156",129,197,81,138,"3,097",20,"7,454"
"Rockfish, yelloweye",0,0,1,0,1,0,1,0,0,0,0,0,3
"Rockfish, yellowtail",86,18,0,2,130,"1,062",96,376,221,234,"2,085",32,"4,343"
Sablefish,"4,776","4,161","11,518","18,064","17,827","7,707","34,945","44,887","40,748","64,649","13,151","3,917","266,348"
Salmon,0,0,0,0,0,51,0,0,154,0,0,0,205
"Salmon, Chinook",0,0,0,5,"168,541","360,955","180,702","241,783","57,860","9,977",0,0,"1,019,824"
"Salmon, Roe (Chinook,",0,0,0,0,0,4,8,118,269,103,0,0,502
Coho),,,,,,,,,,,,,
Sanddab,0,0,0,0,0,0,0,0,0,0,0,1,1
"Sanddab, Pacific",3,0,1,0,117,"5,895","2,912","14,695","8,338",786,599,0,"33,346"
"Sardine, Pacific",0,0,0,0,0,0,0,"7,146",0,0,0,0,"7,146"
"Sculpin, staghorn",5,2,12,0,25,4,0,0,0,0,0,0,48
"Seabass, white",177,152,74,33,671,13,145,"3,738","1,056","5,844",664,14,"12,580"
"Seaperch, striped",68,18,56,194,0,0,0,0,0,10,0,50,396
"Shad, American",0,0,16,0,2,27,3,4,0,0,38,0,90
"Shark, blue",0,0,0,0,0,0,0,0,7,0,6,0,13
"Shark, brown",0,0,0,0,0,0,0,0,58,0,25,0,83
smoothhound,,,,,,,,,,,,,
"Shark, leopard",215,491,0,246,131,0,889,8,3,90,82,10,"2,165"
"Shark, salmon",0,0,0,0,0,0,357,0,0,0,0,0,357
"Shark, shortfin mako",0,0,0,0,0,0,0,0,0,0,836,0,836
"Shark, soupfin",0,0,66,273,88,85,0,0,29,578,344,129,"1,591"
"Shark, spiny dogfish",0,0,"1,008",318,"2,275",358,0,0,0,0,"1,128",9,"5,096"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shark, thresher",0,0,0,0,0,0,0,0,0,0,"3,451",0,"3,451"
"Shark, unspecified",232,5,573,63,45,125,1,0,0,0,0,0,"1,044"
"Shark, white",0,0,0,0,0,0,0,0,0,50,0,0,50
"Skate, big",0,0,0,0,287,678,0,0,0,0,0,0,965
"Skate, California",0,0,0,0,0,178,5,22,0,0,0,0,205
"Skate, longnose",0,0,"1,336",774,"1,556","3,031","1,181","1,645","1,122",345,348,0,"11,338"
"Skate, unspecified",0,88,212,0,0,88,158,12,0,0,6,0,564
"Smelts, true",0,0,0,91,0,0,0,0,0,0,0,0,91
"Sole, curlfin",0,0,74,293,0,239,146,13,4,38,4,0,811
"Sole, Dover",0,0,292,203,27,22,"1,385",210,0,0,49,0,"2,188"
"Sole, English",46,3,154,187,921,"1,039",899,378,456,211,200,0,"4,494"
"Sole, petrale",99,3,"10,074","11,270","18,816","28,285","40,439","71,356","42,241","19,823","13,090",0,"255,496"
"Sole, rex",0,0,425,152,209,190,119,326,185,181,169,0,"1,956"
"Sole, rock",0,0,0,0,6,157,16,64,2,3,4,0,252
"Sole, sand",622,"1,451","1,130",693,"1,322","1,736","1,300","1,970","1,086","1,414",832,201,"13,759"
"Sole, slender",0,0,0,0,0,0,0,1,0,0,0,0,1
"Sole, unspecified",0,0,0,0,0,0,0,0,0,0,8,0,8
"Sunfish, ocean",0,0,0,0,0,0,0,0,0,0,76,0,76
"Surfperch, black",193,66,243,435,0,0,0,0,0,0,0,182,"1,119"
"Surfperch, pile",13,9,2,26,0,0,0,0,0,0,0,2,52
"Surfperch, rainbow",0,0,0,1,0,0,0,0,0,0,0,0,1
"Surfperch, rubberlip",18,2,39,124,0,0,0,0,0,0,0,5,188
"Surfperch, unspecified",0,0,2,0,0,2,1,1,0,0,0,0,6
Swordfish,0,0,0,0,0,0,0,0,0,0,"6,456",0,"6,456"
"Thornyhead, shortspine",0,0,0,0,0,1,15,1,0,15,0,0,32
"Tuna, albacore",0,0,0,0,0,0,0,"7,094","4,500","3,356",0,0,"14,950"
Turbot,78,82,264,0,0,133,0,1,0,0,0,0,558
Yellowtail,0,0,0,0,0,0,0,10,7,0,0,0,17
California Waters – Crustaceans,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, Dungeness 112,281","74,338","79,293","33,169",0,0,0,0,0,0,0,"3,476,198","3,775,279"
"Crab, rock unspecified 256",192,809,"1,237","3,494","5,587","1,070","1,901","2,054",672,0,0,"17,270"
"Prawn, spot 2,163","2,100","1,749","1,177",0,0,0,"4,250","3,183","3,493",938,324,"19,377"
California Waters – Echinoderms,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sea urchin, red 560",447,305,738,637,140,592,390,0,"1,374",847,476,"6,506"
California Waters – Mollusks,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Squid, market 0",0,0,0,0,"1,953","71,800","372,297",0,0,0,0,"446,050"
California Waters – Worms,,,,,,,,,,,,
