"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern................","1,034,393","907,399","195,987","2,151,977","786,323","171,363","494,929","1,735,852","672,658","275,677","102,221","89,642","8,618,421"
"Barracuda, California............",0,6,214,442,"1,429",752,"6,556","1,597",39,375,0,14,"11,424"
"Bass, giant sea....................",186,59,76,382,82,356,159,201,93,0,0,266,"1,859"
"Bonito, Pacific......................",0,0,0,0,0,11,37,9,0,0,0,0,57
Butterfish (Pacific pompano),154,698,"1,432",337,53,74,0,0,0,536,496,613,"4,392"
Cabezon...............................,837,"1,573","1,633","1,965","5,140","2,715","4,523","4,517","3,964",0,0,0,"26,867"
"Croaker, white......................","7,652","4,213","4,113",548,"7,417",356,17,0,0,"2,732","2,460","5,999","35,506"
Dolphin (fish)........................,0,0,0,0,0,0,0,0,0,39,0,0,39
"Eel, California moray............",0,0,0,0,49,0,0,0,0,0,0,5,53
"Eel, monkeyface..................",0,0,0,0,0,0,0,0,3,0,0,2,5
Eel........................................,0,0,0,0,2,3,3,0,0,0,0,0,7
"Fish, unspecified..................",0,9,1,0,0,12,3,0,0,0,0,0,25
"Flounder, unspecified...........",35,109,0,0,0,4,7,0,0,0,0,0,154
"Greenling, kelp.....................",0,0,0,0,0,0,10,0,0,0,0,0,10
"Guitarfish, shovelnose..........",826,317,"2,151","1,712","1,049",242,384,395,502,"1,279","1,833","2,015","12,704"
Halfmoon..............................,5,11,61,0,4,5,81,28,0,0,0,0,195
"Halibut, California.................","14,227","25,414","37,502","25,664","38,977","46,324","30,542","18,129","11,617","9,435","8,875","16,243","282,948"
"Halibut, unspecified..............",0,0,14,0,0,0,0,0,0,0,0,0,14
Lingcod................................,0,50,8,0,511,248,552,740,905,296,0,0,"3,309"
"Lizardfish, California.............",0,0,2,0,25,0,0,0,0,0,0,0,27
Louvar..................................,0,0,0,0,0,0,0,0,0,69,0,0,69
"Mackerel, Pacific..................",0,4,11,3,11,0,"4,257","155,435",0,0,0,0,"159,720"
"Mackerel, jack......................",0,0,0,102,0,0,20,0,0,0,0,0,122
"Mackerel, unspecified...........",0,0,0,0,0,0,0,50,0,0,0,0,50
"Midshipman, plainfin............",0,44,157,285,120,0,0,0,0,0,0,0,606
Opah....................................,0,0,0,0,0,0,0,165,0,482,155,0,802
Opaleye................................,0,0,0,0,0,0,5,0,0,0,2,0,7
"Ray, Pacific electric..............",0,0,0,0,0,0,0,0,180,0,0,0,180
"Ray, bat................................",0,0,0,0,0,0,0,15,0,0,0,0,15
"Ray, unspecified...................",0,0,0,0,6,10,0,0,0,0,0,0,16
"Rockfish, black-and-yellow...",0,0,0,0,2,15,9,64,0,50,21,40,200
"Rockfish, black.....................",0,0,0,0,0,0,7,0,0,0,0,0,7
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, blackgill................","7,959",0,"3,352",0,"3,785","1,494","1,040","2,145","2,713","2,819","2,179","3,608","31,094"
"Rockfish, blue......................",0,0,16,13,8,5,14,33,24,18,37,9,176
"Rockfish, bocaccio...............",0,0,33,81,665,174,386,106,234,18,0,0,"1,697"
"Rockfish, brown....................",0,53,0,30,2,0,1,156,0,0,4,0,246
"Rockfish, canary...................",0,0,0,0,113,0,0,0,0,0,0,0,113
"Rockfish, chameleon............",0,0,0,0,0,0,0,0,13,0,16,0,29
"Rockfish, chilipepper............",0,0,0,0,0,0,0,234,0,0,0,0,234
"Rockfish, copper..................",0,714,534,"1,035","1,184",116,28,859,624,"1,105",620,108,"6,927"
"Rockfish, gopher..................",575,583,582,633,96,211,487,261,516,434,390,74,"4,840"
"Rockfish, grass....................",595,"1,027","1,476","2,557","3,461","2,303","2,866","2,466","2,538","1,828","1,683",555,"23,355"
"Rockfish, group bolina..........",0,16,28,56,70,256,351,247,4,0,142,6,"1,175"
"Rockfish, group gopher........",0,0,0,0,102,103,120,22,96,0,0,0,443
"Rockfish, group nearshore...",0,0,86,0,"1,026",185,184,33,621,119,0,0,"2,254"
"Rockfish, group red..............",127,0,85,368,"1,002",333,493,305,430,0,0,0,"3,142"
"Rockfish, group rosefish.......",0,0,0,0,0,50,0,20,0,0,0,0,70
"Rockfish, group shelf............",0,0,0,0,755,61,414,92,495,0,0,0,"1,817"
"Rockfish, group small...........",0,0,0,23,0,0,0,0,0,0,0,0,23
"Rockfish, kelp.......................",0,8,0,3,120,16,24,131,23,8,2,0,335
"Rockfish, olive......................",0,0,0,3,15,40,42,24,41,16,0,0,180
"Rockfish, rosethorn..............",0,0,0,0,20,0,0,0,0,0,0,0,20
"Rockfish, rosy......................",0,0,0,0,0,0,0,20,0,0,0,0,20
"Rockfish, shortbelly..............",0,0,634,0,0,0,0,0,0,0,0,0,634
"Rockfish, splitnose...............",0,0,46,53,772,56,179,24,0,0,0,2,"1,132"
"Rockfish, starry....................",0,0,0,0,0,1,6,17,6,1,0,0,30
"Rockfish, treefish.................",30,19,143,215,68,40,47,53,96,124,168,0,"1,002"
"Rockfish, unspecified...........",185,95,"1,488",164,845,"1,602",570,943,384,86,22,128,"6,513"
"Rockfish, vermilion...............",0,0,70,19,111,107,79,170,88,24,0,0,667
"Rockfish, widow...................",0,0,0,0,0,0,1,0,0,0,0,0,1
Sablefish..............................,"4,096","3,775","6,788","2,610","3,488","5,056","6,028","6,731","6,496","3,195","2,164","2,775","53,201"
"Salmon, chinook..................",0,0,0,0,"1,381",0,364,0,0,0,0,0,"1,744"
"Sanddab, Pacific..................",0,0,0,0,52,0,0,0,0,0,0,0,52
Sanddab...............................,112,484,279,51,125,32,20,637,44,0,50,150,"1,984"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sardine, Pacific....................","1,269,927","1,821,506","285,899","675,320",0,"467,074","1,319,174","953,774","496,935","971,656","536,046","80,698","8,878,009"
"Scorpionfish, California........","1,382","2,394","2,826","1,395",337,64,25,167,766,644,317,872,"11,190"
"Seabass, white.....................","1,601","1,538","5,843","1,461","2,112","31,175","18,019","3,492","2,797","2,561",276,"1,150","72,026"
"Shark, Pacific angel.............","4,412","1,735","2,416","2,374","2,491","1,821","1,101","1,691",640,380,505,"2,908","22,472"
"Shark, brown smoothhound..",531,"1,311",485,153,32,73,153,28,10,898,637,612,"4,923"
"Shark, gray smoothhound....",0,0,117,0,0,0,0,0,0,0,0,0,117
"Shark, horn..........................",0,0,0,7,0,0,0,0,0,0,0,0,7
"Shark, leopard......................",463,412,359,664,744,655,633,460,150,86,106,242,"4,974"
"Shark, sevengill....................",0,0,22,3,0,0,0,15,27,8,0,0,75
"Shark, shortfin mako............",0,0,0,0,103,865,316,454,312,583,35,0,"2,668"
"Shark, sixgill.........................",0,0,0,0,0,7,0,0,0,0,0,0,7
"Shark, soupfin......................",804,587,414,806,"1,438","4,351","1,284","1,244",268,95,184,"1,102","12,577"
"Shark, thresher.....................",539,416,301,917,"4,534","11,947","5,107","9,996","4,179","4,568","15,582","2,829","60,913"
"Shark, unspecified................",7,34,65,31,21,18,80,13,0,0,0,17,285
"Shark, white.........................",0,0,0,0,23,63,0,0,0,0,0,0,86
