Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern......................","118,547","176,286","143,685","180,533","923,044","422,981","738,843","717,647","449,746",246,"3,346",0,"3,874,904"
"Barracuda, California.................",0,0,0,0,14,393,381,163,46,0,0,0,997
"Bass, giant sea..........................",83,144,179,287,79,456,"1,064",310,265,5,224,98,"3,194"
"Bonito, Pacific............................",47,0,0,0,"35,896",30,0,646,223,56,0,0,"36,898"
Butterfish (Pacific pompano).,583,818,"1,187",704,"1,263",165,0,0,10,766,183,159,"5,838"
Cabezon....................................,865,653,0,0,"1,197",737,687,438,262,427,359,129,"5,753"
"Croaker, white............................","6,995",397,231,"2,640","8,916",506,317,98,142,"1,227","1,291","2,796","25,556"
"Eel, California moray..................",0,0,"1,664",0,0,0,0,0,0,17,0,0,"1,681"
Eel.............................................,0,0,0,0,0,0,0,0,0,0,0,75,75
"Flounder, unspecified.................",0,0,0,0,0,5,4,0,0,0,0,0,9
"Goby, yellowfin..........................",596,0,0,0,0,0,0,0,266,0,0,0,862
"Greenling, kelp...........................",0,0,0,0,0,0,0,0,0,0,2,0,2
"Guitarfish, shovelnose...............","1,289",480,517,286,0,4,0,4,132,"1,246",48,641,"4,647"
Hagfishes...................................,"14,163","26,802","67,640",0,0,52,0,0,350,0,0,519,"109,526"
"Halibut, California.......................","8,882","9,036","15,598","9,242","18,696","21,382","20,929","20,259","12,719","7,439","6,905","4,693","155,779"
Jacksmelt...................................,0,0,0,0,0,0,0,0,0,73,48,0,121
"Kelpfish, giant............................",0,0,0,0,0,0,0,0,0,0,2,0,2
Lingcod......................................,0,0,0,0,306,451,109,78,93,96,356,6,"1,495"
"Lizardfish, California..................",42,0,16,107,50,0,0,0,0,0,0,0,215
Louvar........................................,44,0,0,0,0,0,0,0,0,80,12,99,235
"Mackerel, Pacific........................","1,321","7,248",152,248,"2,362",0,0,10,0,15,"8,005",734,"20,096"
"Mackerel, jack............................","3,126",0,0,0,"11,183",2,"4,055","3,259",0,0,"11,141","2,541","35,307"
"Mackerel, unspecified................",0,0,61,0,0,9,20,15,0,0,6,0,111
Oilfish.........................................,0,0,0,0,0,0,0,0,0,0,34,0,34
Opah..........................................,547,0,0,19,8,0,0,0,"1,789","1,765","1,281",706,"6,114"
Opaleye.....................................,0,0,0,0,0,0,2,9,0,0,0,0,11
"Pomfret, Pacific..........................",0,0,0,0,0,0,0,0,0,0,30,0,30
"Ray, Pacific electric...................",125,0,0,0,0,0,90,90,0,0,135,0,440
"Ray, bat.....................................",0,0,0,42,12,0,0,0,74,0,0,"5,294","5,422"
"Ray, unspecified........................",0,0,0,330,71,0,112,0,0,0,0,0,513
"Rockfish, Mexican......................",43,23,0,0,98,93,18,0,0,28,21,0,324
"Rockfish, aurora.........................",2,0,8,1,5,3,30,0,0,35,2,0,85
"Rockfish, bank...........................",51,14,0,0,0,9,10,2,15,7,5,5,118
"Rockfish, black-and-yellow.........",6,2,0,0,0,0,0,0,2,0,0,0,10
"Rockfish, blackgill......................",975,"1,109","1,344","1,126","1,045",756,"1,014","1,150",397,"1,385",671,429,"11,402"
"Rockfish, blue............................",28,2,0,4,1,0,15,34,27,16,0,44,169
Species,January,February,March,,April,,May,,June,,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,
"Rockfish, bocaccio.....................",461,220,0,,0,,50,,18,,390,,97,45,134,75,361,"1,853"
"Rockfish, bronzespotted.............",0,17,0,,0,,23,,7,,0,,0,0,0,6,0,53
"Rockfish, brown.........................",17,6,0,,0,,24,,6,,14,,302,97,51,14,0,530
"Rockfish, chilipepper..................",117,2,0,,0,,0,,21,,3,,0,1,1,53,43,241
"Rockfish, copper........................",280,8,0,,0,,23,,125,,51,,414,23,77,34,88,"1,122"
"Rockfish, flag.............................",9,54,0,,0,,50,,25,,31,,34,6,15,18,18,261
"Rockfish, gopher........................",11,0,0,,0,,3,,2,,14,,39,31,60,2,81,242
"Rockfish, grass..........................","1,297",685,0,,0,,"2,793",,525,,"1,541",,"2,016",351,"1,277","1,341",431,"12,255"
"Rockfish, greenblotched.............",69,138,0,,0,,240,,145,,18,,17,0,55,237,23,942
"Rockfish, greenspotted..............",4,9,0,,0,,187,,62,,146,,79,104,144,50,21,806
"Rockfish, greenstriped...............",1,0,0,,0,,0,,0,,0,,0,0,1,2,0,3
"Rockfish, group bolina................",0,0,0,,0,,0,,5,,0,,0,0,0,0,0,5
"Rockfish, group gopher..............",0,5,0,,0,,0,,1,,0,,0,0,0,0,0,6
"Rockfish, group red....................",26,0,0,,0,,0,,0,,21,,0,225,224,425,454,"1,376"
"Rockfish, group shelf.................",240,0,0,,0,,0,,0,,0,,0,0,0,0,0,240
"Rockfish, kelp............................",13,0,0,,0,,4,,0,,0,,32,27,1,26,30,133
"Rockfish, olive............................",81,1,0,,0,,0,,0,,9,,7,4,3,3,27,134
"Rockfish, redbanded..................",0,0,0,,0,,0,,0,,0,,0,0,0,0,2,2
"Rockfish, rosy............................",1,7,0,,0,,32,,12,,10,,24,11,45,33,35,209
"Rockfish, speckled.....................",0,0,0,,0,,0,,0,,15,,8,0,0,4,0,27
"Rockfish, splitnose.....................",9,33,0,,10,,36,,18,,7,,5,0,5,9,3,133
"Rockfish, starry..........................",35,45,0,,0,,462,,39,,65,,59,26,89,54,36,909
"Rockfish, stripetail......................",1,0,0,,0,,0,,2,,1,,0,0,2,0,0,5
"Rockfish, swordspine.................",1,0,0,,0,,0,,0,,2,,0,0,4,2,0,8
"Rockfish, treefish.......................",11,0,0,,0,,2,,20,,5,,0,6,0,1,2,48
"Rockfish, unspecified.................",4,0,0,,0,,0,,73,,0,,285,0,0,74,51,486
"Rockfish, vermilion.....................",306,358,0,,0,,138,,277,,405,,518,320,"1,357",182,"1,255","5,115"
"Rockfish, widow.........................",0,0,0,,0,,0,,0,,0,,31,0,0,0,6,37
"Rockfish, yellowtail.....................",0,0,0,,0,,0,,0,,0,,26,0,5,0,29,60
Sablefish....................................,"3,210","1,313","1,685",,"1,079",,"1,017",,"1,238",,"1,724",,"2,111","1,209","1,607","1,676","1,349","19,216"
"Salmon, Chinook........................",0,0,0,,0,,278,,0,,0,,0,14,0,0,0,292
Salmon......................................,0,0,0,,0,,12,,0,,0,,0,0,0,0,0,12
Sanddab....................................,10,10,299,,98,,179,,6,,1,,45,27,61,116,302,"1,154"
"Sardine, Pacific..........................","177,578","145,766","99,265",,"488,081",,"880,668",,"637,447",,"714,566",,"543,684","2,652,189","369,301","318,337","44,637","7,071,519"
"Scorpionfish, California..............",107,72,0,,0,,218,,111,,116,,52,82,49,119,256,"1,182"
"Seabass, white..........................","2,697","3,443",556,,435,,455,,"140,857",,"61,592",,"18,920","23,242","3,389","14,378","5,395","275,359"
Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
"Shad, threadfin...........................",0,0,2,,0,,0,,0,,0,,0,0,0,,0,0,2
"Shark, Pacific angel...................",498,550,984,,"1,639",,902,,642,,776,,"1,399",425,100,,107,255,"8,277"
"Shark, bigeye thresher...............",160,0,0,,0,,0,,0,,0,,40,0,0,,0,0,200
"Shark, brown smoothhound.......",106,214,107,,104,,43,,0,,10,,145,47,9,,27,110,921
"Shark, gray smoothhound..........",17,0,18,,0,,32,,0,,5,,0,7,0,,0,29,108
"Shark, horn................................",0,26,0,,0,,0,,0,,0,,61,0,0,,0,0,87
"Shark, leopard............................",62,347,519,,447,,355,,708,,536,,243,258,232,,519,114,"4,340"
"Shark, pelagic thresher..............",0,0,0,,0,,22,,0,,0,,0,0,0,,0,0,22
"Shark, salmon............................",0,0,0,,0,,0,,0,,0,,0,0,0,,0,81,81
"Shark, sevengill.........................",0,0,25,,0,,0,,22,,0,,0,23,0,,0,0,70
"Shark, shortfin mako..................",52,0,0,,0,,88,,"3,369",,"3,145",,454,"1,043","2,236",,"2,325",699,"13,410"
"Shark, sixgill...............................",0,0,36,,6,,15,,10,,0,,9,0,0,,0,0,76
"Shark, smooth hammerhead......",0,0,0,,0,,0,,0,,8,,0,0,0,,0,0,8
"Shark, soupfin............................",17,"1,155",448,,362,,569,,785,,440,,374,82,278,,202,601,"5,313"
"Shark, spiny dogfish...................",0,0,0,,0,,0,,4,,0,,5,0,0,,0,50,59
"Shark, thresher..........................","2,405",144,70,,70,,613,,"13,799",,"5,697",,"6,441","8,703","24,552",,"6,288","6,267","75,049"
"Shark, unspecified.....................",0,0,0,,0,,10,,0,,0,,68,102,26,,0,0,206
"Shark, white...............................",0,0,0,,0,,0,,0,,0,,268,0,300,,0,0,568
"Sheephead, California................","1,034",566,0,,0,,"1,345",,"2,755",,"1,717",,"1,853","2,657",0,,0,0,"11,928"
"Skate, big...................................",0,0,0,,0,,0,,0,,0,,0,0,0,,12,0,12
"Skate, unspecified......................",33,33,45,,96,,100,,122,,104,,406,139,51,,148,230,"1,506"
"Sole, Dover................................",1,0,158,,190,,228,,56,,48,,71,0,0,,0,105,857
"Sole, English..............................",110,108,359,,365,,598,,331,,0,,167,86,373,,0,0,"2,497"
"Sole, fantail................................",0,0,1,,0,,2,,2,,0,,0,0,0,,0,0,5
"Sole, petrale...............................",0,0,0,,0,,0,,0,,6,,12,43,16,,2,2,82
"Sole, rex....................................",0,0,0,,0,,0,,0,,0,,0,37,6,,4,1,49
"Sole, unspecified........................","5,284",278,704,,"3,204",,"7,176",,57,,288,,80,20,"5,584",,"7,881","6,298","36,854"
Stingray.....................................,0,0,0,,0,,0,,20,,48,,37,0,0,,0,0,105
"Surfperch, barred.......................",20,36,116,,19,,0,,0,,0,,242,222,144,,95,41,935
"Surfperch, black.........................",0,0,0,,0,,6,,2,,0,,0,0,1,,0,0,9
"Surfperch, rubberlip....................",0,1,0,,0,,0,,0,,0,,5,0,1,,1,1,9
"Surfperch, unspecified...............",0,23,50,,0,,0,,15,,7,,51,31,40,,68,5,289
Swordfish...................................,"7,373",0,0,,0,,0,,0,,172,,975,"3,107","15,907",,"33,563","27,149","88,246"
"Thornyhead, longspine...............",525,392,865,,598,,"1,062",,"1,024",,445,,554,540,762,,"4,109",750,"11,625"
"Thornyhead, shortspine.............","1,571",920,"5,137",,"3,272",,"6,128",,"3,418",,"4,699",,"5,635","4,711","9,574",,"5,801","3,583","54,448"
Thornyheads..............................,0,0,0,,0,,0,,0,,0,,0,0,0,,"1,385",0,"1,385"
Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
Triggerfish..................................,0,0,0,,0,,0,,0,,0,,0,0,0,,7,0,7
"Tuna, albacore...........................",10,0,0,,0,,0,,0,,0,,131,"1,206","1,694",,774,235,"4,050"
"Tuna, bluefin..............................",0,0,0,,0,,0,,0,,0,,0,18,304,,270,50,642
"Tuna, skipjack............................",0,0,0,,0,,0,,0,,0,,0,505,0,,0,0,505
"Tuna, unspecified.......................",0,13,0,,0,,0,,0,,0,,0,0,0,,0,0,13
Wahoo.......................................,0,0,0,,0,,200,,0,,0,,0,0,0,,0,0,200
"Whitefish, ocean........................",60,9,319,,184,,208,,161,,30,,294,198,191,,"1,148",260,"3,062"
"Whiting, Pacific..........................",0,1,982,,97,,111,,1,,1,,0,0,0,,0,0,"1,194"
Yellowtail....................................,0,0,85,,0,,65,,316,,857,,468,296,142,,"1,316",0,"3,545"
Crustaceans,,,,,,,,,,,,,,,,,,,
"Crab, Dungeness.......................",949,"1,092",319,,0,,0,,0,,0,,0,0,0,,0,8,"2,368"
"Crab, box...................................",82,0,100,,60,,0,,4,,1,,7,1,0,,0,0,255
"Crab, brown rock........................",0,0,0,,0,,0,,0,,0,,0,50,0,,187,"3,100","3,337"
"Crab, claws................................",63,94,35,,23,,109,,36,,104,,49,31,14,,28,19,606
"Crab, king..................................",7,5,110,,38,,4,,2,,0,,0,0,0,,0,0,166
"Crab, red rock............................",0,0,"3,999",,"12,511",,"14,221",,"15,553",,"18,321",,"22,991","19,230","15,049",,"17,210","16,564","155,648"
"Crab, rock unspecified...............","52,427","56,892","66,671",,"33,389",,"39,157",,"52,886",,"57,508",,"60,213","50,938","42,625",,"41,793","28,033","582,534"
"Crab, spider...............................","1,506","1,838","4,654",,"3,459",,"3,142",,"3,382",,"3,919",,"2,910","1,574",846,,"2,810","2,756","32,795"
"Crab, spider/sheep claws...........",24,61,6,,0,,0,,23,,37,,0,4,0,,20,0,175
"Crab, yellow rock.......................",0,0,"6,631",,"25,279",,"26,945",,"23,875",,"17,929",,"22,179","21,944","15,822",,"14,241","18,141","192,986"
"Crustacean, unspecified.............",0,0,0,,0,,0,,0,,0,,2,0,12,,73,45,132
"Lobster, California spiny.............","28,731","19,888","18,787",,0,,0,,0,,0,,0,0,"70,644",,"51,120","35,146","224,316"
"Prawn, ridgeback.......................","47,432","34,873","25,363",,"24,233",,"35,241",,11,,0,,30,37,"27,283",,"35,758","37,277","267,537"
"Prawn, spot................................",0,"7,793","8,879",,"8,778",,"11,785",,"7,897",,"6,890",,"8,359","7,506","7,569",,114,0,"75,569"
"Shrimp, ocean (pink).............",0,0,0,,0,,23,,0,,0,,0,0,0,,0,0,23
Echinoderms,,,,,,,,,,,,,,,,,,,
