Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern...........................",0,0,0,0,"1,813","44,973","106,838","43,948","21,673","3,013",0,0,"222,258"
"Barracuda, California......................",0,0,0,117,589,"7,077",383,511,"1,018",24,20,0,"9,740"
"Bass, giant sea..................................",32,65,38,262,82,383,483,363,496,21,29,14,"2,267"
"Bonito, Pacific..................................",0,0,"2,034",0,0,0,"1,670","38,256","2,783","3,536","81,910",651,"130,839"
Butterfish (Pacific pompano).........,189,874,178,262,300,0,2,0,2,283,74,25,"2,189"
Cabezon...........................................,956,684,4,0,"1,956",831,657,332,493,377,294,225,"6,808"
"Croaker, white..................................","2,833",425,947,"9,119","4,144",0,0,48,75,"3,958","3,732","7,698","32,978"
Dolphin (fish).....................................,0,57,289,0,0,0,0,0,0,0,0,0,346
Escolar...............................................,0,613,882,0,0,0,0,0,0,0,0,0,"1,495"
"Fish, unspecified...............................",2,0,0,0,0,0,32,0,75,0,0,0,109
"Flounder, unspecified......................",0,0,0,3,0,0,0,0,0,2,0,0,4
"Greenling, kelp.................................",0,0,0,0,38,9,0,0,0,0,0,0,46
"Guitarfish, shovelnose......................",198,26,56,511,71,101,9,190,642,"2,478",180,32,"4,494"
Hagfishes...........................................,"1,249","8,576","9,187","7,065","13,771","8,119","10,030","7,294","18,563","21,385","36,273","22,622","164,133"
Halfmoon..........................................,0,1,0,0,0,0,0,0,2,0,0,0,3
"Halibut, California............................","7,875","18,205","10,485","13,830","10,408","25,345","20,050","22,910","12,898","7,652","5,507","7,352","162,516"
"Jacks, unspecified...........................",0,0,0,0,0,0,0,0,10,0,0,0,10
Jacksmelt..........................................,0,1,0,0,0,8,0,0,0,2,0,0,10
Lingcod.............................................,0,0,0,0,500,262,200,173,137,148,173,0,"1,593"
"Lizardfish, California.........................",0,0,8,76,31,0,0,0,0,19,10,3,147
Louvar...............................................,0,0,0,0,0,0,0,20,60,20,14,0,114
"Mackerel, Pacific.............................",0,0,9,73,16,0,46,29,22,"167,479","129,442","1,836","298,951"
"Mackerel, jack.................................",0,0,0,0,7,8,"2,361",20,0,0,"1,903",0,"4,299"
"Mackerel, unspecified....................",0,1,3,164,67,201,6,6,0,0,0,0,447
Oilfish.................................................,0,35,0,0,0,0,0,0,0,0,0,0,35
Opah.................................................,0,"4,908","2,047",0,0,112,0,135,243,"4,338","1,966",557,"14,305"
Opaleye............................................,4,0,0,0,0,0,1,0,0,2,5,0,12
"Pomfret, Pacific................................",0,0,0,0,0,0,0,0,0,3,0,0,3
"Ray, Pacific electric.........................",0,0,0,40,135,225,100,135,0,0,0,180,815
"Ray, unspecified..............................",10,0,0,0,0,0,76,63,0,0,0,0,149
"Rockfish, Mexican............................",50,29,0,0,0,0,0,0,0,0,0,0,79
"Rockfish, aurora...............................",0,3,3,0,0,0,20,8,19,1,0,0,53
"Rockfish, bank..................................",12,5,0,0,0,0,0,0,0,0,0,0,17
"Rockfish, black-and-yellow...........",0,0,0,0,75,11,82,21,0,1,3,0,193
"Rockfish, blackgill.............................",233,70,297,237,113,0,11,41,19,0,0,1,"1,021"
"Rockfish, blue...................................",42,46,0,0,26,1,0,42,83,198,217,107,762
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, bocaccio..........................",38,25,0,0,90,230,74,125,145,527,140,87,"1,481"
"Rockfish, brown................................",87,90,0,0,418,10,0,0,23,34,2,0,664
"Rockfish, chilipepper.......................",0,4,0,0,29,37,0,0,24,6,22,0,123
"Rockfish, copper..............................",5,32,0,0,221,54,33,160,72,325,477,228,"1,607"
"Rockfish, flag....................................",14,27,0,0,29,12,25,41,29,23,14,11,225
"Rockfish, gopher..............................",186,0,0,0,116,4,55,19,0,1,47,8,436
"Rockfish, grass..................................",712,"1,365",0,0,"2,498","1,549","1,515","1,936","1,175",530,460,292,"12,033"
"Rockfish, greenblotched.................",73,125,0,0,0,0,0,0,0,0,0,128,326
"Rockfish, greenspotted...................",62,43,0,0,20,27,45,31,198,229,58,39,752
"Rockfish, greenstriped.....................",0,44,0,0,0,0,0,0,1,17,3,0,65
"Rockfish, group deep nearshore...",0,0,0,0,25,0,0,0,0,0,0,0,25
"Rockfish, group red..........................",150,63,0,0,89,444,598,294,741,383,487,650,"3,898"
"Rockfish, group shelf........................",0,0,0,0,20,0,0,0,0,0,0,0,20
"Rockfish, kelp....................................",9,50,0,0,3,19,3,2,7,14,124,0,230
"Rockfish, olive...................................",100,19,0,0,23,0,33,0,49,81,42,22,369
"Rockfish, rosy....................................",28,31,0,0,41,24,14,98,9,16,22,11,293
"Rockfish, speckled...........................",0,0,0,0,3,38,3,7,17,44,0,1,112
"Rockfish, splitnose............................",24,7,2,0,0,0,0,0,0,0,0,0,33
"Rockfish, squarespot........................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Rockfish, starry..................................",47,111,0,0,77,77,62,146,73,78,74,55,799
"Rockfish, swordspine........................",3,3,0,0,0,0,0,0,0,0,0,0,7
"Rockfish, treefish...............................",2,7,0,0,12,5,6,7,9,1,4,9,61
"Rockfish, unspecified.......................",0,5,0,0,1,31,39,0,40,23,23,76,238
"Rockfish, vermilion............................",108,281,0,0,377,"1,861",753,669,962,"1,339",284,371,"7,004"
"Rockfish, widow...............................",0,3,0,0,0,13,14,90,0,14,0,0,133
"Rockfish, yellowtail...........................",0,0,0,0,18,21,104,186,5,13,0,0,346
Sablefish............................................,825,439,"2,075","1,971","1,462",111,"1,806","2,914","2,674",550,0,0,"14,826"
Sanddab...........................................,423,401,254,168,142,9,1,14,18,266,17,57,"1,770"
"Sardine, Pacific................................","24,823","4,213",3,0,"1,231","19,042","59,289","18,451","39,410","1,069","113,342","38,986","319,859"
"Sardine, juvenile...............................",0,0,0,0,0,0,0,0,101,0,0,0,101
"Scorpionfish, California....................",203,43,0,0,21,9,1,2,18,24,16,20,356
"Seabass, white.................................","5,447","14,064","13,414",359,342,"165,352","182,891","67,101","21,696","14,440","13,182",472,"498,760"
