Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy , northern.......................",0,0,0,0,"27,413","84,516","114,600","123,530","88,345","5,254",0,0,"443,658"
"Barracuda, California...................",12,0,0,0,"1,101",231,536,210,0,0,17,0,"2,108"
"Bass, giant sea.............................",129,106,0,43,0,132,622,0,126,33,70,40,"1,301"
"Bonito, Pacific...............................",0,0,0,0,"40,670",0,0,57,0,0,0,0,"40,727"
Butterfish (Pacific pompano).....,"1,262",761,595,145,318,82,49,45,16,218,138,132,"3,761"
Cabezon..........................................,"1,185",648,0,0,688,"2,283","1,335","1,370",947,"2,375","1,326",833,"12,989"
"Croaker, white...............................",210,139,412,476,408,217,84,82,48,108,347,266,"2,797"
Dolphin (fish).................................,0,0,0,0,257,0,0,0,0,31,0,0,288
"Eel, California moray ....................",381,0,0,0,0,0,0,178,0,5,0,0,564
Escolar............................................,0,0,0,0,328,0,0,0,0,0,0,0,328
"Fish, unspecified..........................",0,0,0,0,0,2,0,0,0,0,0,0,2
"Flounder, s tarry ............................",0,0,0,0,0,6,10,0,0,0,0,0,16
"Greenling, kelp..............................",4,0,0,0,0,4,1,0,13,2,0,0,24
Grenadier........................................,70,69,"1,635",97,84,207,33,86,160,71,0,809,"3,321"
"Guitarfish, shovelnose...............",746,6,335,376,545,12,0,0,45,0,140,13,"2,218"
Hagfishes .......................................,0,0,0,771,0,"4,003","5,168",308,0,0,0,0,"10,250"
"Halibut, California.........................","8,498","6,542","7,212","5,630","9,299","13,906","10,353","12,624","8,195","5,199","3,005","4,130","94,593"
Jacksmelt........................................,0,0,0,0,2,0,0,0,0,0,3,0,5
Lingcod...........................................,4,0,0,0,420,742,627,487,437,964,"1,049",11,"4,739"
"Lizardfish, California....................","1,316","1,182","1,219",899,497,70,4,18,0,78,423,405,"6,111"
Louvar.............................................,0,0,0,0,0,73,16,0,0,83,0,10,182
"Mackerel, Pacific..........................",4,0,0,0,2,0,752,10,0,0,0,0,768
"Mackerel, jack...............................",0,0,0,15,0,11,47,2,0,0,0,0,75
"Mackerel, unspecified.................",0,0,0,0,0,0,5,0,0,0,0,0,5
Opah................................................,0,133,0,0,"4,501",0,78,0,0,"1,268","1,966",471,"8,417"
Opaleye..........................................,0,4,0,0,0,0,2,0,12,9,12,10,49
"Pomfret, Pacific............................",0,0,0,0,102,0,0,0,0,13,0,0,115
"Ray , Pacific electric....................",45,0,0,99,0,0,0,0,0,0,160,0,304
"Ray , bat..........................................",0,0,0,0,0,0,0,56,64,0,0,0,120
"Rockfish, China.............................",35,0,0,0,0,5,0,0,0,0,0,0,40
"Rockfish, Mexican........................",24,0,0,0,0,2,0,0,0,0,22,0,48
"Rockfish, Pacific ocean perch.",0,0,0,0,0,1,0,0,0,0,0,0,1
"Rockfish, aurora...........................",5,0,11,0,0,0,0,0,6,0,0,1,23
"Rockfish, bank..............................",29,0,0,0,0,11,0,0,0,0,0,334,374
"Rockfish, black-and-yellow.......",20,0,0,0,20,46,45,65,45,82,78,70,471
"Rockfish, blackgill........................","2,187",321,559,35,10,491,992,727,563,"1,484",865,"1,102","9,335"
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, blue...............................",16,27,0,0,108,28,2,40,84,52,22,7,387
"Rockfish, bocaccio......................",579,115,248,0,122,282,286,181,154,632,262,493,"3,354"
"Rockfish, brown............................",430,3,0,0,0,2,4,22,1,146,96,32,736
"Rockfish, chilipepper...................",88,14,0,0,2,2,1,1,2,117,260,165,651
"Rockfish, copper..........................","1,111",145,0,0,482,568,86,154,256,"1,092",948,"2,841","7,683"
"Rockfish, flag................................",37,55,0,0,12,5,41,7,24,26,31,11,251
"Rockfish, gopher..........................",195,73,0,0,176,43,27,55,16,155,32,44,816
"Rockfish, grass .............................",388,626,0,0,648,"1,586","2,814","1,397","1,624","1,711","1,175",763,"12,731"
"Rockfish, greenblotched............",12,46,0,0,0,0,0,0,0,0,71,0,129
"Rockfish, greenspotted..............",345,332,0,0,38,183,277,228,182,268,144,39,"2,037"
"Rockfish, greens triped................",2,11,0,0,0,0,1,3,2,5,9,1,34
"Rockfish, group bolina................",0,0,0,0,0,0,0,0,0,0,7,0,7
"Rockfish, group nearshore........",0,0,0,0,0,0,0,0,0,5,9,0,14
"Rockfish, group red.....................",671,560,260,0,124,274,392,224,256,455,245,127,"3,588"
"Rockfish, group shelf..................","1,436",0,0,0,0,0,0,0,0,0,18,65,"1,519"
"Rockfish, kelp................................",58,29,0,0,6,15,4,11,4,70,96,7,300
"Rockfish, oliv e..............................",154,65,0,0,33,22,3,75,61,101,57,67,637
"Rockfish, pinkrose.......................",0,0,0,0,0,0,0,0,0,0,6,0,6
"Rockfish, rosethorn.....................",0,3,0,0,0,0,0,0,0,0,0,0,3
"Rockfish, rosy ...............................",1,3,0,0,5,1,0,0,2,4,5,0,21
"Rockfish, speckled......................",17,0,0,0,5,0,3,47,0,48,166,62,348
"Rockfish, splitnose......................",6,6,20,0,0,2,0,0,0,0,7,21,62
"Rockfish, squarespot..................",9,0,0,0,0,0,0,0,0,0,4,0,13
"Rockfish, s tarry ............................",28,124,0,0,15,184,120,13,80,80,73,62,779
"Rockfish, treefish.........................",14,1,0,0,0,0,6,4,5,11,8,13,61
"Rockfish, unspecified.................",0,0,0,0,20,0,0,0,0,35,0,41,96
"Rockfish, v ermilion.......................","2,305",907,0,0,525,"1,775","1,399","1,145",750,"1,499","1,729","2,623","14,658"
"Rockfish, widow............................",8,0,68,0,0,0,2,0,1,1,91,85,257
"Rockfish, y ellowtail......................",0,0,0,0,0,28,13,63,0,116,0,82,302
Sablefish........................................,"24,710","22,962","42,527","32,308","20,857","23,035","22,407","20,008","32,809","38,169","48,322","36,800","364,913"
"Salmon, Chinook...........................",0,0,0,0,635,837,769,0,33,0,0,0,"2,273"
"Sanddab, Pacific..........................",0,146,0,0,0,0,26,43,0,0,0,0,215
