Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,"3,286",0,"2,225","55,249","28,152","16,549","33,154","7,001",519,0,,"146,135"
"Barracuda, California...................",0,0,0,0,80,773,334,148,5,0,40,0,,"1,380"
"Bass, giant sea.............................",178,102,38,83,0,552,210,72,115,0,51,269,,"1,669"
Blacksmith......................................,0,0,16,0,0,0,0,0,0,0,0,0,,16
"Bonito, Pacific...............................",8,0,0,0,0,0,0,"6,503",0,454,49,239,,"7,254"
Butterfish (Pacific pompano).....,124,128,888,"1,027",253,0,25,443,0,14,9,83,,"2,994"
Cabezon..........................................,662,"1,214",0,0,"1,488","1,362","2,452",857,930,603,385,877,,"10,826"
"Croaker, white................................",322,114,71,24,247,12,408,17,0,"1,921","3,640",299,,"7,075"
Dolphin (fish).................................,0,0,0,0,0,0,0,8,0,0,0,0,,8
"Eel, California moray....................",0,19,0,0,0,66,0,0,0,0,0,0,,85
"Eel, monkeyface (prickleback)..",0,0,0,0,0,0,4,0,0,0,0,0,,4
Escolar............................................,0,"1,204","1,088",0,0,0,0,0,0,0,0,0,,"2,292"
"Fish, unspecified..........................",33,0,0,210,200,0,0,"3,588",0,0,0,0,,"4,031"
"Flounder, arrowtooth....................",0,0,0,0,0,0,189,0,0,0,0,0,,189
"Flounder, starry.............................",0,0,0,6,0,0,0,0,0,0,0,0,,6
"Flounder, unspecified..................",0,0,0,0,0,0,0,0,0,3,0,0,,3
Flyingfish........................................,0,0,0,0,0,1,0,0,0,0,0,0,,1
"Greenling, kelp..............................",1,0,0,0,5,0,0,0,0,2,0,0,,8
Grenadier........................................,649,181,629,37,0,158,311,195,8,0,18,52,,"2,239"
"Guitarfish, shovelnose................",27,0,5,81,0,0,0,0,0,0,100,0,,213
Halfmoon.........................................,0,3,0,0,0,0,0,0,3,0,0,0,,6
"Halibut, California.........................","8,279","5,979","2,902","1,804","5,133","11,542","17,668","8,858","5,651","2,923","4,219","2,647",,"77,603"
Jacksmelt........................................,0,0,0,0,0,0,6,0,0,0,1,0,,7
Lingcod............................................,0,0,0,0,"1,367",734,"2,415",851,913,"1,161","2,229",16,,"9,686"
"Lizardfish, California....................","2,973","2,458","5,707","10,797","6,783",0,2,0,0,"8,419","7,128","5,424",,"49,691"
Louvar..............................................,52,0,0,0,0,0,0,0,0,0,23,30,,105
"Mackerel, Pacific..........................","9,384",0,10,79,"91,524","53,213","38,121","30,833","22,232","165,729",293,9,,"411,426"
"Mackerel, jack................................",0,0,0,0,0,0,"1,234",331,0,"6,059",0,0,,"7,624"
"Mackerel, unspecified.................",0,5,0,0,0,43,42,37,23,72,237,20,,480
Opah................................................,801,873,"2,061",0,0,0,0,0,0,194,747,828,,"5,504"
Opaleye...........................................,6,0,0,0,0,0,10,25,0,0,0,6,,47
"Ray, Pacific electric....................",0,0,0,0,0,120,0,0,0,0,80,0,,200
"Ray, bat...........................................",33,0,31,42,0,88,385,269,362,371,178,0,,"1,759"
"Ray, unspecified...........................",0,0,0,0,0,0,0,0,280,0,6,0,,286
"Rockfish, Mexican........................",0,0,0,0,0,0,0,0,0,0,0,108,,108
"Rockfish, aurora............................",0,0,0,0,0,1,0,0,0,0,0,0,,1
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, bank...............................",311,85,0,0,0,0,154,0,0,0,37,191,778
"Rockfish, black-and-yellow.......",31,71,0,0,42,26,129,39,83,6,2,9,437
"Rockfish, black..............................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Rockfish, blackgill........................","2,347",40,"1,358",475,"3,072","2,133","1,219",516,935,615,826,"1,160","14,697"
"Rockfish, blue................................",32,68,0,0,111,9,186,86,134,112,239,27,"1,003"
"Rockfish, bocaccio......................",486,127,0,0,360,129,486,234,287,580,498,678,"3,864"
"Rockfish, brown............................",39,8,0,1,2,87,120,0,0,8,91,191,547
"Rockfish, chilipepper...................",272,45,0,0,2,1,122,3,0,55,110,15,626
"Rockfish, copper...........................",676,185,0,0,245,486,"1,478",251,996,614,"1,169","1,450","7,552"
"Rockfish, darkblotched...............",0,0,0,0,0,0,0,0,0,0,255,0,255
"Rockfish, flag.................................",5,0,0,0,51,25,44,24,13,3,21,6,190
"Rockfish, gopher...........................",102,28,0,0,29,23,77,38,112,66,39,42,554
"Rockfish, grass.............................",212,"1,678",0,0,"2,103",662,"1,056",952,329,843,536,"1,313","9,682"
"Rockfish, greenspotted...............",40,32,0,0,175,141,309,124,219,91,314,77,"1,522"
"Rockfish, greenstriped................",0,0,0,0,0,8,0,1,0,0,0,0,9
"Rockfish, group bolina................",0,0,0,0,0,0,45,0,0,0,0,0,45
"Rockfish, group red......................",472,44,0,0,620,693,541,214,274,238,613,77,"3,786"
"Rockfish, group shelf..................",0,0,0,0,0,0,0,0,0,0,0,98,98
"Rockfish, kelp................................",14,0,0,0,22,0,75,0,46,40,12,184,393
"Rockfish, olive...............................",134,46,0,0,125,29,47,192,74,84,75,61,867
"Rockfish, rosy...............................",0,0,0,0,1,4,4,2,6,1,4,2,25
"Rockfish, speckled.......................",93,0,0,0,0,0,0,5,6,0,148,44,296
"Rockfish, splitnose......................",14,0,10,0,479,0,13,0,0,0,0,18,534
"Rockfish, squarespot..................",0,0,0,0,0,0,0,0,0,0,0,17,17
"Rockfish, starry.............................",2,15,0,0,30,11,13,42,55,11,44,16,237
"Rockfish, treefish.........................",7,2,0,0,3,148,32,109,60,33,5,22,421
"Rockfish, unspecified..................",0,0,0,0,49,4,15,0,6,21,0,0,95
"Rockfish, vermilion.......................","1,650",964,0,0,"2,005",295,"2,473",982,"1,460","2,317","1,939","2,133","16,217"
"Rockfish, widow............................",78,16,51,0,80,112,275,96,18,149,61,158,"1,095"
"Rockfish, yellowtail......................",38,0,0,0,3,9,78,145,60,104,12,60,509
Sablefish.........................................,"29,665","22,959","29,385","16,467","24,643","10,231","28,992","27,878","31,681","59,782","40,890","21,023","343,596"
"Salmon, Chinook...........................",0,0,0,0,0,0,0,"1,393",0,0,0,0,"1,393"
"Sanddab, Pacific..........................",0,0,0,0,0,0,8,0,0,0,0,0,8
Sanddab..........................................,115,122,108,106,6,6,23,24,58,43,86,96,791
"Sardine, Pacific.............................","159,671",0,0,0,"9,475",2,"19,901","5,504",449,"16,859",0,0,"211,861"
"Scorpionfish, California...............",0,3,7,0,13,41,10,25,18,2,0,0,119
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
