Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,"30,369","75,568","41,229",0,0,0,666,0,,"147,832"
"Barracuda, California...................",0,0,0,0,80,95,192,"6,810",636,0,0,0,,"7,812"
"Bass, giant sea.............................",157,396,99,8,7,705,686,0,28,0,0,14,,"2,100"
"Bonito, Pacific...............................",5,0,0,0,0,0,0,334,152,75,392,289,,"1,247"
Butterfish (Pacific pompano).....,17,75,223,133,13,2,8,2,0,99,65,550,,"1,187"
Cabezon..........................................,125,421,0,129,986,240,471,"1,682",867,227,93,441,,"5,682"
"Croaker, unspecifed.....................",0,0,0,0,0,0,0,0,0,0,0,11,,11
"Croaker, white................................",326,630,313,618,968,64,84,91,89,"1,189",556,"12,058",,"16,985"
"Eel, California moray....................",311,0,0,0,0,0,0,0,0,66,0,0,,377
Escolar............................................,0,0,0,0,0,0,0,0,34,0,0,0,,34
"Fish, unspecified..........................",33,0,0,7,245,0,0,0,0,6,14,0,,304
"Greenling, kelp..............................",2,0,0,0,0,0,2,10,0,0,0,0,,14
Grenadier........................................,337,624,830,87,71,90,78,4,147,0,0,106,,"2,373"
"Guitarfish, shovelnose................",32,96,5,35,163,39,0,0,13,12,27,17,,439
Hagfishes.......................................,"7,578","7,987","10,846","17,477","6,099","3,363","2,304","4,085","2,720",0,0,0,,"62,459"
"Halibut, California.........................","6,601","6,547","9,868","9,695","11,614","10,802","13,190","21,559","12,160","7,982","6,470","9,195",,"125,684"
Jacksmelt........................................,0,0,0,0,0,0,3,0,0,0,0,0,,3
Lingcod............................................,469,441,0,0,"1,712",947,"1,139","1,215",800,401,534,"1,088",,"8,745"
"Lizardfish, California....................",935,"1,533",344,"1,434","1,797",11,44,96,56,168,635,"8,369",,"15,422"
"Mackerel, Pacific..........................",1,76,5,0,"3,096","47,224","38,101","57,038","2,362","5,518","556,925","38,481",,"748,826"
"Mackerel, jack................................",0,0,0,0,"2,080",0,0,0,0,0,"38,703",1,,"40,785"
"Mackerel, unspecified.................",33,115,0,0,9,29,0,79,0,0,79,2,,346
Opah................................................,490,0,0,0,307,0,124,0,594,"2,249","1,541",874,,"6,179"
Opaleye...........................................,2,0,0,0,0,2,3,0,0,0,0,0,,7
Queenfish.......................................,0,0,0,0,0,0,0,0,0,0,26,0,,26
"Ratfish, spotted............................",0,0,0,0,0,0,0,0,4,0,0,0,,4
"Ray, Pacific electric....................",0,0,40,0,0,0,0,100,0,0,0,0,,140
"Ray, bat...........................................",35,72,0,31,16,71,133,345,"1,317",629,190,"1,110",,"3,949"
"Rockfish, China.............................",0,0,0,0,0,0,4,0,0,0,0,0,,4
"Rockfish, Mexican........................",0,0,0,0,0,0,0,0,0,0,0,2,,2
"Rockfish, Pacific ocean perch..",0,0,0,0,0,0,23,0,0,0,0,0,,23
"Rockfish, aurora............................",0,15,0,0,0,0,0,0,0,0,0,0,,15
"Rockfish, bank...............................",0,0,0,0,30,0,21,0,10,0,0,0,,60
"Rockfish, black-and-yellow.......",45,0,0,0,57,59,89,167,139,33,19,73,,681
"Rockfish, black..............................",0,0,0,0,5,0,0,2,0,0,0,0,,7
"Rockfish, blackgill........................","1,357",0,"1,105",416,359,48,229,0,682,336,181,125,,"4,837"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, blue................................",75,45,0,0,118,171,200,150,212,158,179,226,"1,534"
"Rockfish, bocaccio......................",260,231,0,0,349,419,794,156,222,120,146,285,"2,982"
"Rockfish, brown............................",2,0,0,0,104,29,11,78,50,17,83,12,385
"Rockfish, chilipepper...................",0,30,0,0,11,4,4,25,16,8,32,0,131
"Rockfish, copper...........................","1,211",341,0,0,"1,215",599,"1,407","1,690","1,428",622,540,"2,125","11,176"
"Rockfish, flag.................................",5,3,0,0,20,43,5,6,4,7,6,3,104
"Rockfish, gopher...........................",330,53,0,0,110,57,124,47,75,0,40,97,933
"Rockfish, grass.............................",576,387,0,0,"1,322",314,602,"2,425",840,334,336,584,"7,720"
"Rockfish, greenblotched.............",0,0,0,0,0,0,0,5,0,0,0,0,5
"Rockfish, greenspotted...............",36,39,0,0,196,173,122,74,127,48,30,47,891
"Rockfish, greenstriped................",3,1,0,0,0,4,0,1,0,0,0,0,8
"Rockfish, group deep nearshor",0,0,0,0,0,0,67,0,0,0,0,0,67
"Rockfish, group red......................",0,0,0,0,0,0,0,0,3,0,0,0,3
"Rockfish, group shelf..................",0,0,0,0,0,0,0,0,0,0,2,479,481
"Rockfish, kelp................................",54,11,0,0,91,35,33,144,44,19,13,63,506
"Rockfish, olive...............................",3,0,0,0,2,0,1,1,0,0,0,0,8
"Rockfish, rosy...............................",0,0,0,0,8,8,10,6,13,12,0,9,64
"Rockfish, speckled.......................",0,116,0,0,17,84,185,15,0,0,38,0,454
"Rockfish, splitnose......................",0,0,0,0,0,0,1,0,0,0,0,0,1
"Rockfish, squarespot..................",0,6,0,0,12,0,4,2,2,0,2,0,29
"Rockfish, starry.............................",8,8,0,0,55,29,67,66,25,45,6,21,329
"Rockfish, treefish.........................",18,14,0,0,48,14,39,56,77,21,18,28,331
"Rockfish, unspecified..................",9,7,0,0,27,26,49,60,54,8,14,21,276
"Rockfish, vermilion.......................","2,123","1,837",0,0,"4,189","2,778","5,378","1,386","1,338","1,379",863,"3,258","24,529"
"Rockfish, widow............................",6,0,0,0,15,7,76,54,11,6,0,8,185
"Rockfish, yellowtail......................",90,25,0,0,66,44,139,82,68,49,12,13,587
Sablefish.........................................,"37,951","27,837","21,969","22,803","45,832","30,826","30,565","43,728","44,884","20,011","22,075","28,178","376,659"
"Salmon, Chinook...........................",0,0,0,0,951,384,0,0,0,0,0,0,"1,336"
Sanddab..........................................,72,178,130,339,422,40,146,40,77,295,501,397,"2,637"
"Sardine, Pacific.............................",0,0,0,0,"2,925","11,176","17,723","37,440",0,"3,000","4,351","12,719","89,334"
"Scorpionfish, California...............",64,11,0,4,44,35,12,13,17,34,25,0,259
