"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern..........................",,"1,198,554","1,682,774","3,705,960","4,473,946","7,060,550","2,251,458","798,289","879,552","701,746","10,388","48,102","94,147","22,905,466"
"Barracuda, California......................",,12,4,150,0,"19,314","37,706","29,645","1,019",176,0,0,"1,455","89,481"
"Bass, giant sea..............................",,840,"1,066",665,594,194,"1,045","1,702",613,521,5,285,423,"7,952"
Blacksmith.....................................,,0,9,0,4,0,0,0,0,0,3,0,0,16
"Bonito, Pacific................................",,165,0,0,"5,635","36,588",30,113,"53,873","271,731","120,302",6,10,"488,454"
Butterfish (Pacific pompano)......,,583,818,"1,187",741,"1,281",226,358,"4,586",360,"2,175",184,159,"12,657"
Cabezon.........................................,,"6,505","5,397",21,0,"11,262","5,919","6,169","5,035","8,863","2,992","2,768","1,133","56,063"
Carp...............................................,,510,0,52,0,0,0,0,0,0,0,939,"5,775","7,276"
"Corvina, shortfin.............................",,0,0,61,0,0,0,0,0,0,0,0,0,61
"Croaker, unspecifed.......................",,503,27,69,0,0,0,894,401,249,121,0,0,"2,264"
"Croaker, white................................",,"8,293","1,640","4,468","4,937","11,613","8,599","3,390","8,181","1,530","3,545","4,419","4,395","65,008"
Dolphin (fish).............................,,70,0,371,"1,217",509,0,0,25,148,10,0,"1,822","4,172"
"Eel, California moray......................",,0,0,"1,664",0,0,0,0,0,41,17,0,0,"1,722"
"Eel, monkeyface (prickleback)...",,3,4,0,0,11,3,5,9,10,5,0,0,50
Eel..................................................,,0,0,0,0,0,0,0,0,0,0,0,75,75
Escolar...........................................,,418,0,135,228,134,0,0,0,0,0,0,60,975
"Fish, unspecified............................",,0,12,0,96,906,200,0,0,10,800,820,0,"2,844"
"Flounder, arrowtooth......................",,"10,178","13,771",25,"13,364","12,815","1,538","7,997","21,676","9,415","36,341","4,755",94,"131,969"
"Flounder, starry..............................",,"4,515","2,733","5,073","2,952","2,811","2,131","2,985","1,564","3,024",874,549,158,"29,367"
"Flounder, unspecified.....................",,79,37,160,0,193,72,56,16,0,0,0,11,624
"Goby, yellowfin...............................",,625,23,16,0,0,0,0,0,266,0,0,191,"1,121"
"Greenling, kelp...............................",,599,485,0,0,"1,036",446,706,12,9,0,2,0,"3,294"
"Greenling, rock...............................",,0,0,0,0,0,1,0,0,0,0,0,0,1
Grenadier.......................................,,"9,976","6,590","12,652","11,408","15,646","37,847","18,952","31,360","31,930","40,201","11,100","5,037","232,699"
"Guitarfish, shovelnose....................",,"2,018","1,526","1,565",830,393,214,75,188,443,"1,852",575,679,"10,358"
Hagfishes.......................................,,"21,772","29,926","122,864","113,284","124,421","163,057","145,894","349,395","211,152","216,368","162,689","38,900","1,699,723"
Halfmoon........................................,,0,70,0,0,0,0,0,0,0,1,10,0,81
"Halibut, California...........................",,"41,564","22,430","57,704","26,924","29,845","35,241","59,791","53,203","28,552","13,069","11,304","9,685","389,312"
"Halibut, Pacific...............................",,0,0,0,0,0,78,118,0,0,0,0,0,196
"Herring, Pacific - roe on kelp..........",,0,"7,898","10,828",0,0,0,0,0,0,0,0,0,"18,726"
"Herring, Pacific - roe......................",,"488,752","87,458",0,0,0,0,0,0,0,0,0,0,"576,210"
"Herring, Pacific...............................",,0,0,0,"69,519",0,0,0,"671,964",0,0,0,0,"741,483"
Jacksmelt.......................................,,160,222,"1,040",306,"1,696",510,"1,092","2,218","11,437",243,"1,398",340,"20,661"
"Kelpfish, giant................................",,0,0,0,0,0,0,0,0,0,0,2,0,2
Lingcod..........................................,,"7,556","4,427","2,206","4,811","26,448","21,851","26,589","19,422","26,071","15,410","19,473","1,914","176,177"
"Lizardfish, California.......................",,42,0,16,107,50,0,0,0,0,0,0,0,215
Louvar............................................,,44,0,0,0,0,0,0,33,72,559,102,136,946
"Mackerel, Pacific............................",,"1,628,939","172,766","624,825","217,709","269,460","416,716","429,267","3,699,413","610,989","747,254","1,911,789","333,389","11,062,517"
"Mackerel, jack................................",,"41,022","52,928","41,752","254,908","397,700","24,415","289,484","17,215",8,"34,787","155,966","77,739","1,387,925"
"Mackerel, unspecified....................",,150,555,61,0,153,10,23,60,139,5,6,0,"1,162"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Midshipman, plainfin......................",,17,77,11,0,97,237,0,0,0,0,0,0,439
Oilfish.............................................,,44,0,0,0,0,0,0,0,0,0,34,0,78
Opah..............................................,,"26,437",0,"3,231","2,560","2,104",0,0,"1,847","6,027","40,778","20,901","21,915","125,798"
Opaleye..........................................,,60,0,0,250,675,231,2,296,24,139,0,0,"1,678"
"Pomfret, Pacific..............................",,25,0,33,26,0,0,0,0,0,3,44,47,178
Queenfish.......................................,,0,0,0,0,0,0,0,30,0,0,0,0,30
"Ratfish, spotted..............................",,0,0,0,0,0,0,0,0,0,0,160,0,160
