Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Anchovy, northern.....................","2,850,305","5,005,882","8,118,025","5,224,008","1,226,342","74,149","33,352","23,830","91,500","10,082","114,117","400,554","23,172,146"
"Barracuda, California................",17,83,0,0,"1,173","5,512",541,148,19,0,849,0,"8,341"
"Bass, giant sea..........................",178,102,49,83,17,"1,040",704,72,115,0,51,269,"2,679"
"Bass, kelp....................................",0,0,0,0,0,1,0,0,0,4,0,0,5
Blacksmith...................................,0,1,16,0,0,0,0,0,0,0,0,0,17
"Bonito, Pacific............................",8,0,0,0,3,0,46,"6,767","63,394",475,49,239,"70,982"
"Bullhead, brown..........................",0,0,2,0,30,0,13,11,115,612,269,130,"1,182"
Butterfish (Pacific pompano)..,805,504,"1,376","1,247",921,177,95,"3,403","2,268",644,129,83,"11,652"
Cabezon.......................................,"4,433","3,108",0,0,"12,738","7,016","13,814","6,654","6,316","6,188","5,904","2,201","68,372"
"Cod, Pacific.................................",0,0,0,0,0,0,0,5,3,0,0,0,8
"Corvina, shortfin........................",0,0,0,0,16,0,0,0,0,0,0,0,16
"Croaker, white.............................",322,114,595,24,"1,057",65,798,"2,817","2,392","3,029","4,550",314,"16,077"
"Croaker, yellowfin......................",0,0,0,2,0,0,0,0,0,0,0,0,2
Dolphin (fish)..............................,30,"1,670","3,085","1,117",711,0,616,584,"5,318","8,005","8,981","7,040","37,157"
"Eel, California moray.................",6,19,0,"2,000","2,207","1,176",0,668,0,0,1,20,"6,097"
"Eel, monkeyface (prickleback)",22,0,45,18,25,35,56,18,20,0,11,0,251
Eel..................................................,0,0,0,0,0,0,0,52,0,0,0,0,52
Escolar.........................................,436,"1,933","1,862","2,033",192,0,193,409,153,445,"1,147","3,330","12,133"
"Fish, unspecified.......................",54,129,0,210,219,0,"2,304","5,962",280,5,142,0,"9,305"
"Flounder, arrowtooth.................","29,118","25,181","28,017","4,568","9,942","5,191","11,993","2,954","6,729","12,629","16,592","13,819","166,733"
"Flounder, starry..........................",519,884,"1,137",966,"1,063",852,"5,006","5,818","6,682","1,963",694,65,"25,649"
"Flounder, unspecified...............",0,0,0,0,0,14,0,0,0,25,7,0,46
Flyingfish.....................................,0,0,0,0,0,1,0,0,0,0,0,0,1
"Goby, bluebanded.....................",1,0,0,0,0,0,0,0,0,0,0,0,1
"Goby, yellowfin..........................",3,0,0,0,0,0,88,0,0,0,0,0,91
"Greenling, kelp...........................","1,067",496,0,0,"2,098",966,"1,855",812,892,797,749,541,"10,273"
"Greenling, rock...........................",0,0,0,0,3,0,11,15,111,82,199,77,498
Grenadier.....................................,"12,535","9,666","5,696","15,681","8,500","5,459","11,695","15,772","10,206","19,150","7,426","8,449","130,234"
"Grunion, California.....................",0,0,0,0,0,1,0,0,0,0,0,0,1
"Guitarfish, shovelnose.............",90,0,13,81,0,0,3,0,0,0,100,0,287
Hagfishes....................................,"157,101","57,774","69,118","98,356","118,790","118,958","161,547","202,334","180,935","134,958","111,480","76,699","1,488,050"
Halfmoon......................................,0,3,0,15,0,0,1,1,4,5,0,0,29
"Halibut, California......................","13,814","14,998","10,743","16,918","28,096","48,141","113,727","77,135","36,480","13,959","8,682","3,977","386,671"
