Finfish,,,,,,,,,,,,,,
Species,January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Anchovy, northern",600,0,"4,170,346","2,773,136","1,213,697","1,521,516",,"64,116","1,692,809","906,260","2,329,453","4,396,958","3,340,097","22,408,988"
"Barracuda, California",0,0,0,40,57,467,,156,15,8,44,0,0,786
"Bass, giant sea",441,416,209,550,355,"2,103",,"2,099",752,"1,808",58,96,187,"9,073"
"Bass, kelp",0,0,0,0,0,0,,16,9,0,11,0,0,37
Blacksmith,0,2,0,0,0,0,,0,0,2,0,0,0,4
"Bonito, Pacific","1,235",177,326,587,862,"1,464",,127,159,103,0,71,880,"5,993"
"Bullhead, brown",0,0,0,0,0,0,,26,28,7,20,8,5,94
Butterfish (Pacific,571,264,93,347,882,"1,514",,436,334,"1,259","1,873",6,56,"7,634"
pompano),,,,,,,,,,,,,,
Cabezon,"4,673","2,245",0,0,"6,049","6,197",,"5,336","7,434","4,513","6,226","6,973","1,639","51,285"
"Cod, Pacific",0,0,0,0,0,4,,0,0,0,0,0,0,4
"Croaker, unspecifed",0,0,0,0,151,"1,342",,72,560,822,422,132,0,"3,502"
"Croaker, white","1,286","3,336",859,"1,060","2,663","8,884",,"22,604",583,188,554,444,595,"43,055"
"Croaker, yellowfin",0,0,0,0,0,0,,58,3,6,120,41,57,285
Dolphin (fish),273,"1,559","1,041","2,756","3,449","1,527",,"1,196","1,950","3,771","8,120","7,717","10,763","44,122"
Eel,0,0,0,0,0,0,,1,4,0,0,0,0,5
"Eel, California moray",7,0,2,0,0,80,,26,0,0,0,0,0,115
"Eel, wolf (wolf-eel)",0,0,0,0,29,10,,0,7,0,10,0,0,56
Escolar,800,"1,441",902,"1,014","2,646",696,,"3,449","3,354","4,042","2,010","4,188","8,520","33,061"
"Fish, unspecified",440,239,783,914,638,391,,"3,214",914,"1,684","1,289","7,674",439,"18,619"
"Flounder, arrowtooth","1,707","2,404","2,462","3,280","1,080",578,,"2,773","3,934",773,"3,030","4,965",544,"27,530"
"Flounder, starry",435,"1,420","1,337","1,794",602,"2,384",,"1,238","2,040","1,749","3,845","2,078","1,018","19,938"
"Flounder, unspecified",0,0,0,9,9,16,2,,39,3,1,0,0,78
Flyingfish,0,0,0,625,"1,239",828,,"1,250","4,415",756,171,0,0,"9,283"
"Goby, yellowfin",22,2,7,30,0,0,,0,0,0,0,0,0,61
"Greenling, kelp",908,466,0,0,668,944,,821,931,582,329,438,148,"6,235"
"Greenling, rock",0,0,0,0,10,17,,103,69,130,149,143,4,624
Grenadier,"3,844","4,182","6,707","2,528",589,"1,263",,760,436,427,"3,817","3,411","2,362","30,325"
Grouper,10,0,0,0,0,0,,0,0,0,0,0,0,10
"Guitarfish, shovelnose",416,10,0,161,0,0,,15,0,0,0,3,24,629
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Hagfish, Pacific","118,469","62,811","152,116","83,539","63,074","71,638","125,331","167,193","95,356","113,500","94,459","47,158","1,194,644"
"Hagfish, unspecified","5,950","1,973","20,533","19,361","9,560",688,"2,712",100,"1,725","10,169","4,277",0,"77,048"
Halfmoon,0,16,0,0,0,1,1,0,0,0,0,0,18
"Halibut, California","31,482","38,636","49,346","65,147","72,098","101,415","94,007","117,709","58,418","45,488","28,023","13,237","715,005"
"Halibut, Pacific",0,0,0,0,0,"4,035","6,532",0,0,0,0,0,"10,567"
"Halibut, unspecified",0,0,0,0,0,21,156,108,0,91,21,0,398
"Herring, Pacific",0,0,0,39,23,1,22,47,0,3,2,0,137
"Herring, round",0,0,0,0,0,0,"2,960",6,"4,135","2,493",0,0,"9,594"
"Jacks, unspecified",0,0,0,0,0,0,0,0,42,0,0,0,42
Jacksmelt,0,0,0,"1,960","1,668","2,996","5,088","8,604",820,"1,418",8,6,"22,566"
Kelpfishes,0,0,0,0,5,0,0,0,0,22,0,0,27
"Lamprey, Pacific",0,0,0,0,21,0,0,0,0,0,0,0,21
Lingcod,"9,394","4,651","10,505","29,057","94,692","107,929","96,067","113,892","43,562","56,398","20,881","11,982","599,008"
"Lizardfish, California",151,"2,139",499,741,311,139,48,34,31,302,353,674,"5,422"
Louvar,0,0,0,0,0,0,0,0,0,0,0,59,59
"Mackerel, jack",0,1,12,96,153,379,221,"1,944","3,001","7,119","6,731",865,"20,523"
"Mackerel, Pacific","39,830","5,967",558,"2,119","2,401","265,268","5,652,326","599,356","1,032,419","440,450","240,130","33,091","8,313,915"
"Mackerel, unspecified",333,583,461,314,"1,015",862,299,323,67,3,356,0,"4,617"
"Midshipman, plainfin",4,14,4,249,73,23,53,1,0,0,6,0,427
"Mullet, striped",0,0,0,0,0,0,0,0,0,0,0,1,1
Oilfish,0,174,0,137,0,0,0,0,0,0,0,0,311
Opah,"67,292","43,542","35,118","29,979","75,723","28,704","40,245","36,321","68,658","72,506","43,546","132,291","673,924"
Opaleye,0,0,0,0,0,1,0,0,0,0,0,0,1
"Perch-like, unspecified",0,0,0,0,0,0,0,0,0,0,0,7,7
Pomfret,"2,296","1,923","3,095","1,401","4,111","1,268","5,739","5,140","5,666","1,407","3,210","6,263","41,517"
"Prickleback, monkeyface",0,11,0,15,30,24,11,2,12,10,4,37,156
(eel),,,,,,,,,,,,,
Queenfish,0,0,0,98,100,335,33,0,0,0,0,0,566
"Ratfish, spotted",1,0,"1,621",449,569,"1,813",700,9,0,0,18,0,"5,180"
"Ray, bat","2,448","1,503",360,982,"2,149","1,481",936,"1,511","1,060",495,344,335,"13,603"
"Ray, Pacific electric",0,0,0,0,9,2,7,0,0,0,0,0,18
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Ray, unspecified",0,0,0,0,0,0,0,0,0,0,0,32,32
