Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern.....................",4969596,1529363,2359781,2715866,5802530,8496778,69409,12466,225071,6146694,3127989,2653410,38108953
"Barracuda, California................",0,0,0,0,106,441,559,234,90,70,201,37,1737
"Bass, giant sea..........................",291,84,81,0,212,1146,2964,923,407,75,110,120,6413
Blacksmith...................................,3,12,0,0,0,0,0,0,0,0,0,0,15
"Bonito, Pacific............................",81,86,58,18,495,89,198076,973,76146,22484,2524,3349,304378
"Bullhead, brown..........................",23,35,32,4,16,0,0,0,0,0,0,0,110
Butterfish (Pacific pompano)..,232,252,325,58,431,117,570,1680,0,189,234,29,4116
Cabezon.......................................,7957,2670,0,0,12860,6923,12864,7105,10169,6012,7361,3035,76957
"Cod, Pacific.................................",4,0,0,52,6,126,177,115,12,4,0,0,496
"Croaker, unspecifed..................",0,0,0,0,0,0,1,0,0,0,0,0,1
"Croaker, white.............................",2199,1260,232,81,258,513,2312,4285,0,1298,467,272,13177
Dolphin (fish)..............................,873,4022,2444,6585,1908,721,1416,3197,5910,6711,8244,14784,56815
"Eel, California moray.................",47,0,0,0,0,2,11,0,0,102,841,43,1046
"Eel, monkeyface (prickleback)",0,25,110,9,105,3,16,0,19,22,76,117,502
"Eel, spotted cusk-.....................",12,0,0,0,0,0,0,0,0,0,0,0,12
"Eel, wolf (wolf-eel).....................",0,0,0,0,31,32,0,15,26,0,0,0,104
Eel..................................................,0,0,0,0,0,0,0,0,0,0,0,8,8
Escolar.........................................,5134,2900,960,640,1840,516,740,619,971,1333,2134,3549,21336
"Fish, unspecified.......................",25,994,98,159,774,2025,570,3029,0,236,243,481,8633
"Flounder, arrowtooth.................",20518,9539,55073,20172,11642,14865,9506,20057,16086,12110,6664,11710,207942
"Flounder, starry..........................",1150,1337,643,419,746,1321,3535,4181,1032,1155,1024,772,17315
"Flounder, unspecified...............",40,0,0,68,0,1,7,0,17,0,0,0,134
Flyingfish.....................................,0,0,0,0,2,0,0,0,0,0,0,0,2
"Greenling, kelp...........................",1696,1029,0,0,1833,941,1702,987,1948,1222,1737,691,13787
"Greenling, rock...........................",115,22,0,0,35,6,79,6,0,0,0,0,264
Grenadier.....................................,3317,4798,6918,10251,6531,17569,25541,23285,22206,14656,1640,5503,142213
"Guitarfish, shovelnose.............",302,17,66,34,204,8,16,0,0,265,38,118,1068
Hagfishes....................................,187361,117792,95380,80289,165778,93830,141494,138660,147532,170925,177527,121585,1638153
Halfmoon......................................,8,16,0,0,0,2,3,413,0,0,0,0,442
"Halibut, California......................",13999,19786,19203,6906,24673,70253,90132,83911,30527,23089,15805,10505,408789
"Halibut, Pacific...........................",0,0,0,0,0,17,138,0,0,0,0,0,155
"Herring, Pacific - roe................",91445,0,0,0,0,0,0,0,0,0,0,0,91445
"Jacks, unspecified....................",0,0,0,0,0,0,400,0,0,0,0,0,400
Jacksmelt.....................................,3756,3904,700,808,256,2460,3136,1695,2370,2938,1013,0,23037
Kelpfishes....................................,0,159,0,950,0,39,0,0,0,0,0,20,1168
Lingcod.........................................,1588,1889,2505,5893,31269,40440,53235,46550,42869,51549,44233,6120,328138
"Lizardfish, California.................",6303,1828,2638,8208,4948,0,42,0,0,1033,791,1010,26801
Louvar...........................................,668,0,0,0,483,434,90,0,0,565,280,0,2520
"Mackerel, Pacific.......................",299645,111817,490436,1618959,1006980,622716,457999,2273243,3392549,1576563,344882,146749,12342539
"Mackerel, bullet..........................",0,0,0,0,0,0,0,0,0,0,12,0,12
"Mackerel, jack.............................",155480,7612,37835,182191,1196205,929239,139844,62381,48196,20429,9452,42949,2831812
"Mackerel, unspecified..............",89,15,123,406,206,3415,494,175664,5902,3164,576,167,190219
"Marlin, striped.............................",0,0,0,0,0,0,0,110,0,140,0,0,250
"Midshipman, plainfin.................",0,0,6,58,75,8,124,19,0,0,0,0,290
"Mudsucker, longjaw..................",43,4,0,0,0,0,0,0,0,0,15,75,137
Oilfish...........................................,1423,1376,1967,1880,1502,1955,0,144,0,29,0,0,10276
Opah.............................................,41647,55588,34889,61798,29828,26289,20398,54643,80641,60213,80267,138071,684272
Opaleye........................................,0,2,0,0,18,12,7,3,0,0,0,0,42
"Pomfret, Pacific..........................",954,60,1872,3526,1398,1474,1632,1727,2073,1540,3842,1508,21606
Queenfish....................................,0,0,0,0,0,0,34,0,0,0,0,0,34
