Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Bass, rock............................",0,0,0,0,0,0,17,3,0,0,0,0,19
Butterfish (Pacific pompano),0,0,0,0,0,0,122,0,0,0,0,0,122
Cabezon...............................,0,86,0,0,57,7,1362,892,0,0,0,0,2404
"Croaker, white......................",81,0,0,0,0,0,100,0,657,0,0,197,1035
"Fish, unspecified..................",0,0,0,140,0,0,24,0,0,0,0,0,164
"Flounder, starry....................",169,0,286,0,0,0,0,0,0,18,9,0,482
"Flounder, unspecified...........",101,11,0,0,0,0,31,3,0,0,0,0,146
"Greenling, kelp.....................",13,35,0,0,8,14,24,15,0,0,0,0,109
Grenadiers...........................,65,0,0,0,0,0,0,0,0,0,0,0,65
"Halibut, California.................",289,0,28,0,228,1189,2472,1590,1682,1161,387,0,9026
"Halibut, unspecified..............",0,84,0,0,0,10,0,0,0,0,0,0,94
"Herring, Roe.........................",300745,17358,0,0,0,0,0,0,0,0,0,0,318103
Jacksmelt.............................,0,0,0,197,0,0,123,0,0,0,0,0,320
Lingcod................................,0,3,0,62,0,20,1082,858,1119,678,0,0,3822
"Rockfish, China....................",0,26,0,0,27,6,99,54,98,59,20,2,390
"Rockfish, bank.....................",0,0,0,0,0,0,0,0,0,0,1972,0,1972
"Rockfish, black-and-yellow...",0,9,0,0,19,1,144,172,172,162,29,0,707
"Rockfish, black.....................",0,7,0,0,4,4,21,42,68,170,177,0,492
"Rockfish, blue......................",0,0,0,0,0,0,1,33,0,11,9,34,87
"Rockfish, bocaccio...............",1455,886,205,174,0,0,1634,1371,3082,132,0,0,8939
"Rockfish, brown....................",0,0,0,0,0,0,10,0,0,0,7,0,17
"Rockfish, canary...................",374,284,42,0,0,0,928,580,608,0,0,0,2816
"Rockfish, chilipepper............",10791,11612,4211,1660,0,0,2042,2476,15175,0,8886,1478,58331
"Rockfish, copper..................",0,10,0,0,9,3,15,40,0,2,13,0,92
"Rockfish, darkblotched.........",0,0,1458,603,0,0,0,0,0,86,1512,0,3659
"Rockfish, gopher..................",12,43,0,0,16,57,91,58,136,284,6,0,704
"Rockfish, grass....................",0,15,0,0,32,0,84,84,90,100,32,0,437
"Rockfish, greenspotted.........",0,0,0,0,0,0,0,0,1,0,0,0,1
"Rockfish, greenstriped..........",0,0,0,0,0,0,52,0,7,0,0,0,59
"Rockfish, group bolina..........",87,445,0,0,14,214,135,432,473,221,36,8,2065
"Rockfish, group gopher........",0,76,0,0,51,85,16,0,43,181,209,100,762
"Rockfish, group red..............",36,16,0,0,0,0,39,84,2,0,0,0,177
"Rockfish, group rosefish.......",4134,2470,1877,2106,0,0,0,20,315,2200,4835,2949,20906
"Rockfish, group shelf............",301,132,337,0,0,0,107,236,46,0,0,0,1159
"Rockfish, group slope...........",9438,6443,2308,579,0,0,1078,3,170,2427,3410,112,25968
"Rockfish, kelp.......................",0,0,0,0,0,0,22,38,0,24,0,0,84
"Rockfish, quillback...............",0,0,0,0,0,1,1,0,0,7,0,0,10
"Rockfish, rosethorn..............",11,4,0,0,0,0,0,9,0,0,0,0,23
"Rockfish, splitnose...............",0,0,3739,0,0,0,300,134,65,0,0,0,4238
"Rockfish, unspecified...........",0,0,0,0,0,0,0,11,0,1481,0,0,1492
"Rockfish, vermilion...............",18,39,0,0,0,0,30,98,203,0,0,0,388
"Rockfish, widow...................",148,114,21,0,0,0,115,100,364,12,24388,0,25262
"Rockfish, yelloweye..............",8,9,0,0,0,0,21,45,42,0,0,0,125
"Rockfish, yellowtail...............",106,168,0,0,0,0,181,601,125,0,0,0,1182
Sablefish..............................,14401,895,1725,1170,0,0,1817,0,1293,898,2427,0,24626
"Salmon, Roe (Chinook and C",0,0,0,0,0,0,1,0,25,3,0,0,29
"Salmon, chinook..................",0,0,0,0,14376,42893,405766,89142,72299,11577,0,0,636054
Sanddab...............................,0,0,0,0,0,0,0,0,0,0,0,11,11
"Seabass, white.....................",0,20,0,0,0,0,0,0,0,0,0,0,20
"Shark, leopard......................",19,0,0,14,60,0,0,0,0,0,0,0,93
"Shark, soupfin......................",0,15,0,0,29,0,0,0,0,0,0,0,44
"Shark, unspecified................",21,10,0,53,0,0,0,0,0,0,0,0,84
"Smelt, night..........................",0,0,0,0,0,20,0,0,0,10,0,0,30
"Smelt, surf............................",0,0,0,0,0,0,0,0,45,0,0,0,45
"Sole, Dover..........................",13069,15375,28664,5114,0,0,2699,0,3891,0,0,0,68812
"Sole, English........................",7956,5168,5215,560,0,0,563,0,8022,5727,7548,4799,45558
"Sole, petrale.........................",6201,7906,5151,310,0,0,107,0,2149,4158,13960,4937,44879
"Sole, rex...............................",2151,1080,2025,595,0,0,251,0,1998,309,1001,147,9557
"Sole, rock.............................",0,0,80,0,0,0,33,0,0,0,0,0,113
"Sole, sand............................",4,79,0,0,0,0,45,3,12,0,0,0,143
"Sole, unspecified..................",25,0,0,0,0,0,0,0,0,0,0,0,25
"Surfperch, barred.................",0,0,0,1420,0,13,0,0,0,0,0,0,1433
