Species ,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Croaker, white ",0,0,0,0,0,198,0,21,20,0,0,0,239
"Hagfish, Pacific ",15350,11895,33257,33497,16240,21015,48514,50155,12967,45044,28525,0,316459
"Hagfish, unspecified ",0,0,2824,19264,9560,688,2496,0,0,0,0,0,34832
"Halibut, California ",0,0,0,0,253,1103,1372,1985,238,7,14,0,4972
Lingcod ,513,522,0,0,332,250,18,55,459,1409,2057,741,6355
"Mackerel, jack ",0,0,0,0,0,0,0,142,0,0,0,0,142
"Mackerel, unspecified ",0,0,0,0,0,0,0,74,0,0,0,0,74
"Rockfish, aurora ",0,0,0,0,0,0,0,6,3,0,0,0,9
"Rockfish, bank ",70,101,241,0,505,0,217,0,34,113,171,22,1474
"Rockfish, blackgill ",10,149,378,21,0,4,0,140,116,35,43,0,896
"Rockfish, bocaccio ",230,224,578,31,326,0,290,613,388,940,473,48,4141
"Rockfish, brown ",0,25,0,0,0,0,0,0,12,0,0,0,37
"Rockfish, canary ",0,7,0,0,62,40,15,0,8,32,25,0,188
"Rockfish, chilipepper ",370,329,743,72,700,0,310,440,668,1589,229,0,5450
"Rockfish, darkblotched ",0,0,0,0,0,0,0,4,0,0,0,0,4
"Rockfish, redbanded ",0,0,0,0,24,0,21,0,0,0,0,14,59
"Rockfish, speckled ",0,8,65,17,0,0,0,0,0,0,0,0,89
"Rockfish, unspecified ",0,0,0,0,0,0,0,21,0,0,194,0,215
"Rockfish, vermilion ",0,3,4,0,17,40,6,0,2,20,6,0,97
"Rockfish, widow ",0,0,0,6,0,0,0,38,7,0,0,0,51
"Rockfish, yellowtail ",0,391,486,431,2,0,0,720,2,0,9,4,2045
Sablefish ,6079,3305,9187,1901,2269,1231,1490,1560,116,2164,4685,314,34300
Salmon ,0,0,0,0,0,0,0,1606,0,0,0,0,1606
"Salmon, Chinook ",0,0,0,0,38625,167679,83527,269101,13814,71,0,0,572817
"Salmon, Roe (Chinook, Coho)",0,0,0,0,0,0,0,28,0,0,0,0,28
"Sardine, Pacific ",0,0,0,0,0,0,0,0,0,0,0,720,720
"Seabass, white ",0,0,0,0,11,0,0,12,0,0,0,0,23
"Shark, thresher ",0,0,0,0,0,0,0,0,0,0,32,0,32
"Tuna, albacore ",0,0,0,0,0,0,0,2387,4700,7675,,,14762
"Crab, Dungeness ",121472,88566,38014,15655,0,0,0,0,0,0,0,1474754,1738461
"Crab, rock unspecified ",0,0,516,560,826,0,479,0,0,0,0,0,2380
"Sea cucumber, giant red",0,0,0,0,0,0,280,261,0,0,0,0,541
"Sea urchin, purple ",0,0,0,0,0,0,0,406,0,2850,570,0,3826
"Sea urchin, red ",0,0,0,0,0,0,0,0,0,0,0,1040,1040
California Waters Total: ,144094,105524,86292,71455,69751,192248,139035,329775,33553,61947,37033,1477657,2748364
"Salmon, Chinook ",0,0,0,0,522,2101,0,218,0,0,0,0,2841
Other Waters Total: ,0,0,0,0,522,2101,0,218,0,0,0,0,2841
Grand Total: ,144094,105524,86292,71455,70273,194349,139035,329993,33553,61947,37033,1477657,2751205
