Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Anchovy, northern................",0,0,0,0,0,0,0,0,5075,0,0,0,5075
Cabezon...............................,366,1635,1665,1161,1165,953,1036,403,357,0,0,0,8741
"Cod, Pacific..........................",0,0,0,0,6,6,0,9,10,5,0,0,36
"Eel, wolf (wolf-eel)................",0,0,0,0,0,9,0,0,0,0,0,0,9
"Flounder, arrowtooth............",731,1275,1373,4246,3588,2971,1795,2103,2082,290,0,0,20454
"Flounder, starry....................",0,213,91,409,3574,18485,6427,6551,2799,2079,4360,74,45062
"Flounder, unspecified...........",0,0,0,0,0,0,0,0,874,0,0,0,874
"Greenling, kelp.....................",211,711,1353,765,775,371,479,181,6,0,0,0,4852
Grenadiers...........................,1313,2566,5415,2663,8112,15972,13760,37478,58038,114,0,0,145431
Hagfishes.............................,0,0,100,375,7600,26414,9678,0,0,0,0,0,44167
"Halibut, California.................",0,141,23,7,14,119,81,103,0,1249,5346,395,7478
"Halibut, Pacific.....................",0,0,0,0,8,0,0,0,0,0,0,0,8
"Halibut, unspecified..............",0,0,0,0,0,0,0,0,0,723,0,0,723
"Herring, Roe.........................",89959,53253,0,0,0,0,0,0,0,0,0,0,143212
Lingcod................................,0,0,0,5,9635,12935,8069,12929,11322,8344,0,0,63239
Louvar..................................,0,0,0,0,0,663,0,0,0,0,0,0,663
"Mackerel, Pacific..................",0,0,0,0,3,0,3,0,0,0,0,0,6
Oilfish...................................,0,0,0,0,520,0,0,0,0,0,0,0,520
"Rockfish, China....................",116,224,673,485,460,607,296,218,236,162,0,0,3476
"Rockfish, Pacific ocean perc",0,0,0,500,1202,458,0,32,0,0,0,0,2192
"Rockfish, black-and-yellow...",8,19,0,34,12,8,0,39,0,0,0,0,120
"Rockfish, black.....................",1450,8261,16302,18766,24565,31696,22396,32198,36307,14354,3098,471,209863
"Rockfish, blackgill................",0,16,8,0,71,0,0,0,396,0,0,0,491
"Rockfish, blue......................",826,1446,2631,585,969,1084,2927,1988,3398,1960,2057,140,20010
"Rockfish, bocaccio...............",0,0,8,36,37,49,107,56,80,34,0,0,407
"Rockfish, brown....................",0,233,134,291,601,625,26,44,110,64,0,0,2128
"Rockfish, canary...................",66,615,856,1494,2130,4106,3425,5168,2486,258,0,0,20603
"Rockfish, chilipepper............",0,286,131,7563,1992,274,104,352,56,41,0,0,10799
"Rockfish, copper..................",216,1860,3602,3516,1017,1471,1462,1046,457,354,0,0,15002
"Rockfish, darkblotched.........",276,692,472,7613,5819,10145,3501,2580,2006,548,0,58,33710
"Rockfish, gopher..................",6,50,8,1,357,16,22,4,0,0,0,0,463
"Rockfish, grass....................",0,41,134,241,218,154,91,5,25,0,0,0,911
"Rockfish, greenspotted.........",0,0,0,44,0,0,0,18,0,0,0,0,62
"Rockfish, greenstriped..........",0,0,0,0,8,158,0,0,0,0,0,0,166
"Rockfish, group black/blue...",0,0,0,176,0,0,0,0,0,0,0,0,176
"Rockfish, group bolina..........",0,165,88,96,24,0,20,0,0,0,0,0,393
"Rockfish, group nearshore...",79,82,0,22,20,131,5,0,582,517,1748,46,3232
"Rockfish, group red..............",0,0,0,0,0,0,0,0,11,5,0,0,16
"Rockfish, group shelf............",0,38,634,572,2431,4085,1606,2486,5843,192,23,2,17912
"Rockfish, group slope...........",3601,5088,4614,7115,14215,6158,7119,8292,6009,2525,606,118,65460
"Rockfish, group small...........",0,50,3,59,0,54,0,0,202,292,0,0,659
"Rockfish, kelp.......................",0,3,0,0,0,0,0,0,0,0,0,0,3
"Rockfish, olive......................",0,0,0,0,0,0,2,6,0,0,0,0,8
"Rockfish, quillback...............",104,1034,2772,3597,1475,2922,3545,1462,1202,1041,0,0,19154
"Rockfish, redbanded............",0,20,87,0,0,0,32,0,0,0,0,0,139
"Rockfish, rosethorn..............",0,5,11,12,0,0,2,0,0,0,0,0,30
