Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Cabezon..............................................,21,687,6,0,1598,738,1119,0,0,0,0,0,4168
"Cod, Pacific..........................................",0,0,0,166,0,0,162,309,575,54,2,0,1268
"Fish, unspecified..................................",0,0,65,10,42,3,0,0,0,2,0,0,122
"Flounder, arrowtooth............................",1284,13594,6175,3504,5461,6784,9608,7485,13807,5957,10005,0,83664
"Flounder, starry....................................",0,10,243,295,83,72,173,189,3032,348,147,0,4592
"Greenling, kelp.....................................",41,214,0,0,2092,591,0,0,0,0,0,0,2937
Grenadier.............................................,518,4284,7868,7153,11399,7629,5733,9886,8543,9390,1370,0,73773
"Halibut, California.................................",0,0,26,0,0,27,78,362,387,0,0,0,880
"Herring, Pacific - roe............................",2958,676,0,0,0,0,0,0,0,0,0,0,3634
Lingcod................................................,607,406,1266,1948,4167,3467,6335,5855,6419,4400,408,0,35277
Opaleye................................................,0,0,0,0,0,0,0,0,0,0,26,0,26
"Ray, bat...............................................",0,0,0,0,0,0,0,0,0,95,90,0,185
"Rockfish, China....................................",4,205,32,94,308,93,120,163,169,92,5,0,1284
"Rockfish, black-and-yellow...................",0,3,0,61,485,11,479,428,111,186,0,0,1763
"Rockfish, black.....................................",777,4649,3655,5553,17714,14139,19727,20383,18127,11454,5613,0,121791
"Rockfish, blackgill.................................",0,0,0,0,63,0,0,1855,0,488,0,0,2406
"Rockfish, blue......................................",123,729,382,795,1397,602,424,1281,1548,920,768,0,8969
"Rockfish, bocaccio...............................",0,0,0,0,0,37,0,0,0,96,0,0,133
"Rockfish, brown...................................",0,15,3,4,53,16,395,485,35,17,8,0,1031
"Rockfish, canary..................................",0,23,283,217,8,0,147,1,11,23,0,0,713
"Rockfish, chilipepper............................",0,54,68,349,18483,2200,275,247,0,969,0,0,22645
"Rockfish, copper..................................",0,353,182,256,507,113,184,327,586,412,109,0,3028
"Rockfish, darkblotched.........................",27,89,0,4,339,1193,1658,801,2231,477,414,53,7286
"Rockfish, gopher..................................",0,5,15,2,25,1,1,4,0,0,14,0,66
"Rockfish, grass....................................",0,16,0,0,13,27,95,0,0,0,0,0,151
"Rockfish, greenstriped.........................",0,0,0,0,0,0,0,0,0,135,0,0,135
"Rockfish, group gopher........................",0,0,0,0,0,0,13,0,0,0,0,0,13
"Rockfish, group nearshore...................",0,0,80,0,0,0,0,0,0,0,0,0,80
"Rockfish, group rosefish......................",0,0,0,0,0,0,0,0,0,195,0,0,195
"Rockfish, group shelf...........................",25,25,8,159,472,0,17,5,12,2,0,0,725
"Rockfish, group slope..........................",720,1520,1682,447,231,1077,6643,5504,15451,5887,4318,193,43673
"Rockfish, quillback...............................",0,294,80,162,487,274,321,623,896,655,186,0,3977
"Rockfish, redbanded............................",0,0,0,0,2,0,0,0,0,101,0,0,103
"Rockfish, rosy......................................",0,0,0,0,0,0,0,0,0,536,0,0,536
"Rockfish, unspecified...........................",0,0,0,0,63,109,0,0,0,0,0,0,172
"Rockfish, vermilion...............................",4,284,212,187,426,146,172,416,503,369,84,0,2803
"Rockfish, widow...................................",0,0,0,243,692,9,165,49,0,49,0,0,1207
"Rockfish, yelloweye.............................",0,0,0,0,0,0,0,0,0,7,0,0,7
"Rockfish, yellowtail...............................",590,587,0,75,32,0,276,441,125,116,65,0,2306
Sablefish..............................................,15491,59782,74681,66054,106072,119648,125808,125104,246793,183531,62664,8361,1193989
"Salmon, Chinook..................................",0,0,105,8001,7613,1207,45186,37522,75557,305,82,0,175576
Sanddab..............................................,0,5937,85928,77316,4345,23193,39266,24733,26898,3328,634,0,291578
"Sardine, Pacific....................................",0,0,0,0,0,0,0,0,2133,27583,0,0,29716
"Shark, leopard......................................",0,0,0,0,0,1137,463,13,0,291,15,0,1919
"Shark, shortfin mako............................",0,0,0,0,0,0,0,0,109,0,0,0,109
"Shark, soupfin......................................",0,0,0,18,0,0,0,0,28,0,25,0,71
"Shark, thresher....................................",0,0,0,0,0,0,0,0,16620,18836,0,0,35456
"Skate, unspecified................................",7419,12781,22052,31161,9797,2616,33974,27920,42663,9661,15051,0,215095
"Smelt, night..........................................",6690,17014,36993,58799,56484,30281,10710,4104,0,0,0,0,221075
"Smelt, surf............................................",0,0,0,769,10863,64950,46233,28699,18131,0,0,0,169645
"Sole, Dover..........................................",83876,227088,237651,201489,224163,280703,299301,355109,436588,275311,244795,28495,2894569
"Sole, English........................................",4185,3210,18807,38753,3101,2852,27353,16746,23501,7174,3386,803,149871
"Sole, petrale.........................................",78494,95567,22595,33617,282,8399,17140,6986,17619,11824,42332,18522,353377
"Sole, rex...............................................",10754,46707,24928,20182,21774,21854,30338,35030,36134,26030,18610,3592,295933
"Sole, sand............................................",0,0,676,653,0,670,636,1841,17003,591,75,0,22145
"Surfperch, barred.................................",0,0,89,314,0,0,0,0,0,0,0,0,403
"Surfperch, pile......................................",0,0,0,0,0,0,0,0,0,0,10,0,10
"Surfperch, redtail..................................",0,1579,1282,7601,43,0,5539,8734,3631,328,0,0,28737
"Surfperch, unspecified.........................",0,0,0,0,0,0,0,0,0,0,26,0,26
"Thornyhead, longspine.........................",28896,30048,57334,65634,109135,86423,91391,89657,96312,63090,15010,3139,736069
"Thornyhead, shortspine.......................",8249,15076,17982,14482,29717,19636,19204,23811,29216,20246,12637,196,210452
Thornyheads........................................,0,1229,0,10562,0,936,16,49,40,3,0,735,13570
"Tomcod, Pacific...................................",0,0,0,0,22,0,0,0,0,0,0,0,22
"Tuna, albacore.....................................",609,0,0,0,0,0,22437,139458,526824,226479,0,0,915807
Turbot...................................................,0,318,954,361,0,0,0,91,120,0,0,0,1844
"Whiting, Pacific.....................................",0,0,0,1195817,1917348,644264,79113,0,0,0,0,0,3836542
"Crab, Dungeness.................................",5111818,1131396,196099,166634,138116,25536,8698,0,0,0,59364,9834484,16672145
"Crab, rock unspecified.........................",0,689,335,0,0,33,0,0,0,0,0,1742,2799
"Crab, tanner.........................................",861,0,0,64784,82702,64626,0,0,0,0,0,0,212973
"Shrimp, coonstriped.............................",0,0,0,0,19268,14639,7784,6136,6320,7327,0,0,61473
"Shrimp, ocean (pink).......................",0,0,0,0,0,0,247673,615858,255337,114891,0,0,1233759
"Octopus, unspecified...........................",0,50,247,623,98,24,233,0,235,33,17,0,1560
Waters Area Total:,5365042,1677193,821068,2085307,2807582,1452983,1212815,1604699,1950378,1040293,498365,9900315,30416039
Lingcod................................................,0,0,0,0,0,0,0,0,0,67,0,0,67
"Salmon, Chinook..................................",0,0,0,12092,0,1199,0,0,0,1388,0,0,14679
"Tuna, albacore.....................................",0,0,0,0,0,0,8919,124573,30170,0,0,0,163662
"Crab, Dungeness.................................",500,0,0,0,0,0,0,0,0,0,0,0,500
Waters Area Total:,500,0,0,12092,0,1199,8919,124573,30170,1455,0,0,178908
Grand Total:,5365542,1677193,821068,2097399,2807582,1454182,1221734,1729272,1980548,1041748,498365,9900315,30594947
