Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
Cabezon...............................,720,1149,173,0,2676,4423,7398,5176,3079,0,0,0,24795
"Flounder, arrowtooth............",22,29,0,7,29,12,0,33,0,0,0,0,132
"Flounder, starry....................",0,0,9,6,0,0,0,0,0,0,0,0,15
"Greenling, kelp.....................",763,1367,224,0,1689,2199,2887,2367,0,0,0,0,11495
Grenadiers...........................,2081,1409,5624,2105,2013,2798,15250,24516,19099,0,0,0,74895
Hagfishes.............................,0,0,90,0,0,0,0,0,0,0,0,0,90
"Halibut, California.................",0,0,0,0,0,0,0,0,27,0,0,0,27
"Halibut, Pacific.....................",0,0,0,0,0,438,153,0,0,0,0,0,591
Lingcod................................,0,0,0,0,2810,2004,4020,3835,3344,3926,10,0,19949
"Mackerel, Pacific..................",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, China....................",87,88,200,19,379,172,517,751,382,757,288,28,3668
"Rockfish, black-and-yellow...",12,141,0,6,484,496,873,997,237,121,20,1,3386
"Rockfish, black.....................",16,95,745,23,388,364,486,503,270,1428,83,0,4400
"Rockfish, blackgill................",0,0,0,0,0,174,12163,13002,638,0,0,1337,27314
"Rockfish, blue......................",55,20,0,1,12,18,2,116,49,54,16,18,360
"Rockfish, bocaccio...............",0,739,181,187,739,276,1974,1328,1076,0,0,0,6500
"Rockfish, brown....................",0,0,0,0,1,0,7,0,20,1003,36,0,1067
"Rockfish, canary...................",18,285,83,268,815,586,915,590,660,0,0,0,4220
"Rockfish, chilipepper............",0,16157,19840,12864,32108,22762,32897,17888,46666,30623,8760,2085,242650
"Rockfish, copper..................",84,77,492,0,14,9,9,190,37,526,55,3,1495
"Rockfish, darkblotched.........",0,0,496,0,135,0,0,0,0,0,0,0,631
"Rockfish, gopher..................",186,276,2,44,753,676,1532,2060,1537,1944,715,50,9773
"Rockfish, grass....................",10,22,0,0,253,469,864,392,1038,234,0,0,3281
"Rockfish, group nearshore...",0,0,0,0,0,0,48,0,0,0,0,0,48
"Rockfish, group red..............",696,0,0,0,47,0,0,0,0,0,0,0,743
"Rockfish, group rosefish.......",1006,2704,10933,13908,1536,10472,3462,6919,8078,753,18,451,60240
"Rockfish, group shelf............",26,1,42,34,39,451,24,761,1070,0,0,0,2448
"Rockfish, group slope...........",954,9642,20836,23239,5448,11152,9345,38440,59003,31498,129,393,210079
"Rockfish, group small...........",0,0,0,0,0,0,0,0,3,0,0,0,3
"Rockfish, kelp.......................",0,0,0,0,6,0,1,0,2,4,0,0,13
"Rockfish, quillback...............",1,61,38,0,0,4,26,32,19,10,13,0,204
"Rockfish, redbanded............",0,3,0,0,0,0,0,0,0,0,0,0,3
"Rockfish, rosethorn..............",0,0,0,0,0,0,0,0,1,0,0,0,1
"Rockfish, splitnose...............",6,461,0,2750,671,137,2228,3414,1872,1639,0,0,13178
"Rockfish, unspecified...........",33,0,212,0,0,0,2304,16,21,0,0,0,2586
"Rockfish, vermilion...............",99,114,175,0,3,0,281,798,636,0,0,0,2106
"Rockfish, widow...................",6,34759,157,31,27507,317,137,493,1085,950,29,12,65483
"Rockfish, yelloweye..............",0,60,125,0,0,0,0,8,0,0,0,0,192
"Rockfish, yellowtail...............",17,3,93,0,0,0,0,34,51,0,0,0,197
Sablefish..............................,29391,34134,51888,66405,86360,64047,109350,148205,133308,71605,23346,7768,825806
"Salmon, chinook..................",0,0,0,0,52135,29721,121155,49461,121885,2595,0,0,376951
"Salmon, pink........................",0,0,0,0,0,38,49,0,0,0,0,0,87
Sanddab...............................,0,3,111,2433,0,0,0,19,35,51,0,0,2652
"Sardine, Pacific....................",0,0,0,0,0,0,0,119,0,0,0,0,119
"Sculpin, staghorn.................",2,0,0,0,0,0,0,3,0,0,0,0,5
"Shark, gray smoothhound....",0,0,0,0,0,0,0,259,0,0,0,0,259
"Shark, leopard......................",0,0,0,0,0,44,0,0,0,0,0,0,44
"Shark, soupfin......................",0,27,0,0,21,0,27,0,0,48,0,28,151
"Shark, unspecified................",0,0,0,0,0,0,0,0,0,0,21,0,21
"Skate, big.............................",0,0,0,0,0,0,0,1405,0,0,0,0,1405
"Skate, unspecified................",7018,6908,3842,12708,11509,13345,34298,36559,5438,1895,269,2157,135946
"Smelt, night..........................",0,186,2054,3054,4423,1435,0,10,0,0,0,0,11162
"Smelt, surf............................",0,0,315,0,2200,2208,90,10,0,2972,0,0,7795
"Sole, Dover..........................",57890,83134,97878,195973,195267,115224,249892,248261,166103,11908,0,3465,1424995
"Sole, English........................",100,3812,4407,9273,4119,4342,18619,22032,1929,12694,3232,4019,88578
"Sole, petrale.........................",16454,7095,4375,2779,3089,4468,2448,4201,4890,5921,2377,9866,67963
"Sole, rex...............................",6086,21160,6884,13101,9852,7771,14413,21663,11739,3893,2267,2149,120978
"Sole, rock.............................",0,0,0,133,0,0,0,0,0,0,0,0,133
"Sole, sand............................",0,0,0,0,0,0,0,4,0,0,0,0,4
"Surfperch, barred.................",0,0,72,0,0,0,0,0,0,0,0,0,72
"Surfperch, calico..................",0,0,0,2,0,0,0,0,0,0,0,0,2
"Surfperch, rainbow...............",0,0,0,12,0,0,0,0,0,0,0,0,12
"Surfperch, redtail..................",0,0,379,175,0,0,0,0,0,0,0,0,554
"Surfperch, unspecified..........",0,0,0,7,0,0,0,0,0,0,2,0,8
"Thornyhead, longspine.........",12716,29254,28876,35887,44024,17943,45387,46270,61129,1484,0,0,322970
"Thornyhead, shortspine........",7098,6441,8560,8428,13535,6372,13862,11079,18754,1021,0,0,95150
Thornyheads........................,0,0,1671,0,0,1,0,0,0,0,0,0,1672
