Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Cabezon..............................................,135,1238,0,0,5563,1804,3848,0,0,0,0,0,12587
"Fish, unspecified..................................",0,0,0,0,3,0,0,0,0,0,0,0,3
"Flounder, arrowtooth............................",48,1424,0,0,0,22,275,0,0,0,534,18,2321
"Flounder, unspecified...........................",0,0,0,0,0,0,0,0,0,0,0,2,2
"Greenling, kelp.....................................",50,235,0,0,2282,687,0,0,0,0,2,0,3255
Grenadier.............................................,3087,0,2864,9071,5946,211,5199,3029,8519,1492,0,0,39418
"Halibut, California.................................",0,0,0,0,0,0,416,447,15,0,0,0,878
Lingcod................................................,4,70,0,373,1705,960,1876,2403,2054,344,176,0,9965
"Mackerel, jack......................................",0,0,0,0,0,0,0,0,0,28,0,0,28
Opah....................................................,0,0,0,0,0,0,0,59,0,0,0,0,59
Opaleye................................................,0,0,0,0,0,0,0,0,0,858,0,0,858
"Rockfish, China....................................",15,117,0,0,69,81,123,413,334,109,195,2,1457
"Rockfish, aurora...................................",0,0,0,0,0,49,0,0,0,0,0,0,49
"Rockfish, bank.....................................",1368,0,0,0,0,0,0,0,0,0,0,0,1368
"Rockfish, black-and-yellow...................",0,272,0,0,445,115,513,821,298,162,471,14,3109
"Rockfish, black.....................................",0,47,0,0,63,69,254,362,105,26,57,0,984
"Rockfish, blackgill.................................",0,299,0,769,77,124,142,0,0,1377,2245,45,5078
"Rockfish, blue......................................",2,10,0,0,30,8,201,64,434,199,130,0,1076
"Rockfish, bocaccio...............................",0,0,0,0,0,0,0,0,44,0,0,0,44
"Rockfish, brown...................................",0,0,0,0,0,0,0,23,65,53,25,0,165
"Rockfish, canary..................................",0,0,0,0,0,0,0,18,2,0,0,0,20
"Rockfish, chilipepper............................",0,0,0,0,0,0,0,19,106,31,0,0,156
"Rockfish, copper..................................",0,0,0,0,0,28,0,20,66,0,23,0,137
"Rockfish, cowcod.................................",0,0,0,7,0,0,0,0,0,0,0,0,7
"Rockfish, darkblotched.........................",0,183,0,0,0,606,0,836,15,571,710,296,3217
"Rockfish, gopher..................................",29,338,0,0,184,200,563,1062,670,238,286,2,3572
"Rockfish, grass....................................",0,60,0,0,318,89,494,130,4,6,13,0,1114
"Rockfish, group gopher........................",0,0,0,0,0,8,143,0,0,0,0,0,151
"Rockfish, group red..............................",0,193,0,0,0,0,35,0,0,0,0,0,228
"Rockfish, group rosefish......................",0,831,0,366,1717,697,2316,2499,6115,5309,7317,3317,30484
"Rockfish, group shelf...........................",0,0,0,0,0,0,12,0,8,0,0,0,20
"Rockfish, group slope..........................",71,3355,0,250,555,4324,2508,240,5118,1132,2142,248,19943
"Rockfish, olive......................................",0,0,0,0,2,0,3,1,1,5,2,0,13
"Rockfish, quillback...............................",0,1,0,0,1,2,2,13,5,0,3,0,26
"Rockfish, redbanded............................",0,0,2,0,0,0,0,0,0,0,0,0,2
"Rockfish, splitnose...............................",2874,2558,179,279,0,75,0,0,1,0,0,1576,7542
"Rockfish, unspecified...........................",0,0,0,0,0,0,0,110,66,0,0,0,176
"Rockfish, vermilion...............................",42,92,0,0,127,131,194,515,350,85,143,0,1679
"Rockfish, yellowtail...............................",0,686,0,0,0,3,0,195,729,67,9,0,1688
Sablefish..............................................,40736,35750,46727,65291,96340,78211,113830,64006,130379,78865,75893,28285,854313
"Salmon, Chinook..................................",0,500,0,0,457378,440534,879889,976996,642711,20182,0,0,3418190
"Shark, spiny dogfish.............................",0,0,57,9,0,0,0,0,0,0,0,0,66
"Shark, unspecified...............................",0,0,0,0,0,0,2,0,0,0,0,0,2
"Skate, unspecified................................",0,0,260,217,263,0,1713,0,837,536,0,98,3924
"Smelt, night..........................................",0,74,247,687,435,420,928,1355,0,0,0,0,4146
"Smelt, surf............................................",0,0,0,0,0,0,0,0,1061,0,0,0,1061
"Sole, Dover..........................................",112580,89740,101938,144383,170022,178475,149803,147247,154685,260886,171909,56331,1737999
"Sole, English........................................",1231,2379,601,3,0,44,0,0,0,0,0,926,5184
"Sole, petrale.........................................",15992,28384,297,98,63,63,0,0,6,1722,7699,9061,63380
"Sole, rex...............................................",15817,20837,2557,3769,6394,4339,6815,4985,5365,12087,7669,4145,94779
"Sole, sand............................................",3,1,0,0,0,0,0,0,0,0,0,0,5
"Surfperch, redtail..................................",0,0,0,144,0,0,0,9,0,0,0,0,153
"Surfperch, unspecified.........................",1,1,0,0,0,0,0,0,0,0,0,0,2
"Thornyhead, longspine.........................",17867,3074,11631,45115,89921,49954,34922,24705,18695,44802,10780,970,352436
"Thornyhead, shortspine.......................",28956,6607,6708,25214,24291,12151,11499,9830,10801,14139,5559,1887,157642
Thornyheads........................................,14231,2648,17564,7017,8206,20,36,9878,3813,8572,104,0,72089
"Tuna, albacore.....................................",0,0,500,0,0,0,140,7200,5946,3179,0,0,16965
"Crab, Dungeness.................................",235060,73880,24055,9822,2083,378,2850,0,0,0,11944,307819,667891
"Crab, rock unspecified.........................",16,0,0,0,0,0,0,0,0,0,0,0,16
"Shrimp, coonstriped.............................",0,0,0,0,0,0,0,0,0,102,0,0,102
"Sea urchin, red.....................................",62351,264972,356190,103423,126352,48052,2482,219816,320755,222512,191107,92630,2010642
"Octopus, unspecified...........................",20,23,89,186,90,0,0,29,0,18,0,0,455
Waters Area Total:,552586,540878,572466,416493,1000924,822928,1224025,1479333,1320177,679693,497146,507671,9614320
Grand Total:,552586,540878,572466,416493,1000924,822928,1224025,1479333,1320177,679693,497146,507671,9614320
