Species ,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Barracuda, California ",0,0,0,0,0,0,0,7,0,0,0,0,7
Cabezon ,602,55,0,0,613,1350,978,1423,514,1086,656,35,7312
Dolphin (fish) ,0,0,0,0,0,0,0,16,0,0,0,0,16
"Flounder, arrowtooth ",0,0,23,0,0,0,0,24,76,39,0,0,162
"Flounder, starry ",0,0,0,0,0,0,7,0,0,0,1,0,7
"Flounder, unspecified ",0,0,0,0,0,0,0,3,0,0,0,0,3
"Greenling, kelp ",116,87,0,0,87,68,122,210,99,78,108,15,989
"Greenling, rock ",0,0,0,0,0,17,15,16,0,13,16,0,76
"Hagfish, unspecified ",5950,0,17709,0,0,0,0,0,0,0,0,0,23659
"Halibut, California ",0,0,0,0,0,0,60,103,107,0,0,0,270
"Halibut, Pacific ",0,0,0,0,0,269,0,0,0,0,0,0,269
Lingcod ,1277,485,5138,9276,21488,14509,22771,42169,13605,32639,5416,6327,175099
"Mackerel, jack ",0,0,9,0,0,3,12,0,0,0,0,1,25
"Mackerel, Pacific ",0,0,0,0,0,0,11,84,0,0,0,1,96
"Mackerel, unspecified ",0,0,0,0,0,13,40,12,0,0,0,0,65
"Ratfish, spotted ",1,0,0,0,0,0,0,4,0,0,0,0,5
"Rockfish, aurora ",150,0,18,4,45,37,109,223,1015,130,0,0,1731
"Rockfish, bank ",0,0,339,16481,0,0,0,0,1159,2060,0,3,20042
"Rockfish, black ",59,8,0,0,107,78,134,71,131,14,33,115,750
"Rockfish, black-and-yellow",28,0,0,0,163,266,299,539,131,251,405,48,2129
"Rockfish, blackgill ",687,0,481,944,807,1775,86,3092,7023,8515,11081,574,35065
"Rockfish, blue ",162,0,0,0,11,98,73,43,286,549,832,160,2216
"Rockfish, bocaccio ",76,0,35005,40131,99906,46461,53793,18679,8283,71754,22832,16797,413716
"Rockfish, canary ",569,41,5072,570,6272,8653,6989,10757,563,2171,1391,5224,48272
"Rockfish, chilipepper ",116,0,55948,23049,68147,65037,87840,166066,25930,63364,28943,29982,614422
"Rockfish, China ",58,2,0,0,109,259,324,261,82,136,34,75,1340
"Rockfish, copper ",952,29,0,0,766,1683,1573,781,946,1297,1208,341,9575
"Rockfish, cowcod ",0,0,0,0,7,15,16,32,15,20,24,14,143
"Rockfish, darkblotched ",20,0,543,1940,872,600,0,46,2950,1640,756,57,9424
"Rockfish, flag",0,0,1,0,0,0,0,3,0,0,0,0,4
"Rockfish, gopher",278,146,0,0,261,725,392,864,261,288,286,99,3599
"Rockfish, grass",0,0,0,0,169,76,85,545,174,264,277,79,1670
"Rockfish, greenblotched",0,0,0,0,0,0,0,0,0,9,0,0,9
"Rockfish, greenspotted",0,0,2,0,17,24,17,3,10,0,6,0,79
"Rockfish, greenstriped",0,0,0,0,1,0,300,0,0,0,128,0,429
"Rockfish, group black/blue",0,0,0,0,0,15,0,0,0,0,0,0,15
"Rockfish, group bolina",0,0,0,0,2,216,26,6,7,0,0,0,257
"Rockfish, group canary/vermillion",0,0,0,0,0,0,0,9,0,0,9,0,18
"Rockfish, group gopher",0,0,0,0,2,3,0,0,0,14,0,0,19
"Rockfish, group rosefish",0,0,0,0,0,0,0,0,0,0,0,1,1
