Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Anchovy, northern................",90544,152371,275330,1593621,4053620,190162,309783,902288,402821,73792,16077,3297,8063706
"Barracuda, California...........",83,46,18,4,78136,13437,16320,23689,9333,74,22,60,141222
"Bass, giant sea....................",364,36,251,76,109,283,648,279,0,57,39,368,2509
Blacksmith...........................,0,0,0,0,25,0,99,0,0,0,0,0,124
"Bonito, Pacific......................",0,0,0,0,0,426,36,0,0,0,0,0,462
Butterfish (Pacific pompano),329,208,279,2,0,40,3,0,0,0,0,0,861
Cabezon..............................,2,0,56,21,1088,129,144,53,0,0,0,0,1493
"Croaker, white......................",6232,4739,13290,12171,6305,5220,4210,3046,3788,12275,5822,9498,86595
Dolphin (fish)........................,0,0,0,0,0,0,8,12,101,2106,10,0,2237
"Eel, California moray............",36,0,0,0,7,15,0,0,0,0,0,0,57
Eel.......................................,0,0,0,0,0,7,0,0,0,0,0,54,61
Escolar.................................,0,0,0,0,0,0,0,0,0,59,0,0,59
"Fish, unspecified..................",0,10,0,1,381,0,0,0,0,0,0,0,392
"Flounder, unspecified...........",0,17,0,0,0,0,0,0,0,12,4,0,33
"Greenling, kelp.....................",0,0,0,0,0,6,0,0,0,0,0,0,6
Grenadiers...........................,0,0,10,0,0,0,0,0,0,0,0,0,10
"Grouper, broomtail...............",0,0,0,0,0,0,0,0,0,0,0,190,190
"Guitarfish, shovelnose.........",625,481,1021,582,1555,481,28,414,197,216,220,1309,7129
Halfmoon.............................,317,0,0,0,95,0,9,107,0,11,71,12,622
"Halibut, California.................",18727,15782,26828,14932,16687,9101,4061,2754,1844,3218,3233,6447,123614
"Halibut, unspecified..............",0,0,0,270,314,0,0,0,0,0,0,0,584
"Herring, Roe........................",25,0,0,0,0,0,0,0,0,0,0,0,25
"Herring, round......................",0,0,0,0,0,0,0,0,0,5286,0,0,5286
Jacksmelt............................,2472,529,694,6,0,0,0,3138,35,2034,3253,3882,16042
Lingcod................................,0,0,94,75,28,330,17,408,21,280,27,0,1280
"Lizardfish, California............",0,0,0,137,0,0,0,0,0,0,0,0,137
Louvar..................................,0,0,0,0,0,64,0,0,180,58,307,0,609
"Mackerel, Pacific..................",879761,210533,212024,31513,16098,36430,553689,4009647,4801150,2784619,989370,194039,14718872
"Mackerel, jack......................",418069,162075,590890,1321615,2132841,35129,99861,1156283,600731,827942,502704,140987,7989127
"Mackerel, unspecified..........",0,0,0,0,0,0,0,0,91,0,0,786,877
"Midshipman, plainfin............",0,0,0,0,0,0,0,0,2,0,0,0,2
Oilfish..................................,0,0,0,0,0,0,0,0,0,206,0,0,206
Opah....................................,1246,0,0,0,1125,31,0,807,1405,5845,7306,222,17987
Opaleye...............................,0,0,0,0,442,45,104,131,0,240,115,10,1087
"Ray, Pacific electric.............",0,0,0,10,0,0,0,0,0,0,0,0,10
"Ray, bat...............................",0,0,0,0,0,0,200,0,0,0,0,0,200
"Ray, unspecified..................",0,0,0,0,308,28,77,156,0,0,0,0,569
"Rockfish, aurora...................",0,47,0,38,81,0,0,0,0,32,12,46,256
"Rockfish, bank.....................",0,19,8,0,256,106,238,379,122,4,0,0,1132
"Rockfish, blackgill................",561,1214,200,0,1312,247,587,3030,2980,4939,2020,2586,19676
"Rockfish, blue......................",0,0,113,16,0,0,0,0,0,0,0,0,129
"Rockfish, bocaccio...............",0,1,443,225,385,349,369,259,667,1172,0,0,3870
"Rockfish, bronzespotted......",0,0,0,0,0,0,11,0,0,0,0,0,11
"Rockfish, brown...................",0,0,134,49,0,0,0,0,41,0,0,0,224
"Rockfish, chilipepper............",0,0,0,59,24,10,54,536,606,0,0,0,1289
"Rockfish, copper..................",0,0,207,87,218,61,41,62,134,0,0,167,977
"Rockfish, flag.......................",0,0,0,21,0,0,0,0,0,0,0,0,21
"Rockfish, gopher..................",0,0,0,0,25,0,0,0,0,0,0,0,25
"Rockfish, grass....................",0,0,0,36,239,0,0,0,0,0,0,0,275
"Rockfish, greenblotched......",0,0,0,0,92,92,197,587,53,0,0,0,1021
"Rockfish, greenspotted........",0,0,0,0,0,136,91,0,0,0,0,0,227
"Rockfish, greenstriped.........",0,0,0,0,0,0,47,215,48,0,0,0,310
"Rockfish, group gopher........",0,0,0,0,0,0,0,0,0,0,1,0,1
"Rockfish, group red..............",14,14,716,547,1282,903,739,736,476,688,6,0,6120
"Rockfish, group slope..........",0,0,0,0,0,0,0,0,0,12,0,0,12
"Rockfish, olive......................",0,0,225,0,0,116,236,43,59,0,0,0,679
"Rockfish, splitnose...............",51,100,0,0,126,103,107,114,0,50,53,29,733
"Rockfish, treefish.................",0,0,0,0,0,0,0,0,0,11,6,0,17
"Rockfish, unspecified...........",275,77,407,24,29,124,183,166,486,1237,44,0,3051
"Rockfish, widow...................",0,0,835,370,720,0,0,0,0,0,0,0,1925
"Rockfish, yelloweye.............",0,0,72,0,0,0,0,0,0,0,0,0,72
Sablefish..............................,11436,5319,7968,6112,9797,5076,7184,9152,11015,7675,6580,14569,101882
"Salmon, chinook..................",0,0,0,0,703,0,0,0,0,0,0,0,703
"Sanddab, Pacific..................",0,0,0,0,0,0,0,6,0,0,0,0,6
"Sanddab, longfin..................",0,0,0,0,44,0,0,0,0,0,0,0,44
Sanddab..............................,789,697,1142,1084,1290,1693,1417,1616,1466,1116,519,464,13293
"Sardine, Pacific....................",16418655,12260986,13579521,3810194,7559963,2330840,2693198,8489290,8288763,6958901,4121898,3095845,89608054
Sargo...................................,0,0,0,0,0,0,0,40,14,284,8,0,346
"Scorpionfish, California........",382,454,1899,506,1718,3894,7097,2034,1012,756,681,530,20963
"Sculpin, yellowchin...............",0,0,0,0,2,0,0,0,0,0,0,0,2
"Seabass, white....................",2605,22,1709,829,2900,60116,16526,1306,850,160,150,97,87269
"Shark, Pacific angel.............",27,105,210,123,38,0,58,0,207,15,136,172,1090
"Shark, bigeye thresher.........",0,0,0,0,0,0,0,546,297,0,0,0,843
"Shark, blue..........................",0,0,0,0,0,9,0,0,0,0,0,0,9
"Shark, brown smoothhound.",0,0,0,7,0,0,0,0,0,187,0,47,241
"Shark, gray smoothhound....",0,0,50,0,222,192,200,0,0,24,0,0,688
"Shark, leopard.....................",379,240,641,921,568,408,359,382,639,692,69,25,5322
"Shark, pelagic thresher........",1663,0,0,0,0,0,0,0,0,0,0,0,1663
"Shark, shortfin mako............",357,0,0,0,1014,3154,1179,1595,2965,3407,2439,265,16375
"Shark, soupfin......................",690,182,3934,888,1086,6623,2917,530,241,70,525,1238,18922
"Shark, spiny dogfish.............",1813,948,0,0,211,104,272,0,0,0,0,0,3348
"Shark, thresher....................",5907,2125,525,1556,64192,5303,3443,3948,2938,8963,23597,10695,133192
"Shark, unspecified...............",0,20,20,65,10,0,0,0,0,0,144,3,262
"Sheephead, California..........",987,299,3768,2039,6850,4512,3573,4305,4540,2343,2488,9,35713
Silversides...........................,0,0,0,0,0,1003,473,63,692,605,0,0,2836
"Skate, unspecified...............",573,728,1840,2114,1056,800,935,765,337,486,370,824,10827
"Smelt, surf...........................",0,0,0,0,0,0,0,0,583,0,0,0,583
"Smelt, whitebait...................",0,0,0,0,0,115,0,0,0,0,0,0,115
"Sole, Dover..........................",170,0,0,0,69,0,103,0,9,0,0,0,351
"Sole, English........................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Sole, petrale.........................",14,0,0,0,223,0,0,0,0,0,0,0,237
"Sole, rex..............................",0,0,55,0,47,5,0,0,0,0,4,0,111
"Sole, rock.............................",0,0,0,0,0,0,0,0,0,10,0,0,10
"Sole, unspecified.................",2379,2028,2117,1293,1210,1307,746,911,907,1026,276,1182,15381
Stingray...............................,90,49,47,0,0,0,0,0,0,0,0,0,186
"Surfperch, rubberlip.............",0,0,0,0,0,0,0,20,0,0,0,0,20
"Surfperch, unspecified.........",103,0,50,0,37,0,0,0,115,6,125,70,506
Swordfish.............................,5425,223,0,0,277,3327,11685,22432,27445,82841,75984,8097,237736
"Thornyhead, longspine.........",223,1145,1519,324,1470,1138,895,291,44,0,7,1166,8222
"Thornyhead, shortspine.......",1991,2230,1655,250,1942,1630,1711,5234,2659,759,841,3984,24885
Thornyheads........................,2867,1523,2071,1089,92,168,35,262,1000,1722,1932,249,13009
"Tomcod, Pacific...................",0,0,0,78,0,0,0,0,0,0,0,0,78
Topsmelt..............................,0,0,0,0,0,0,0,406,0,0,0,0,406
"Tuna, albacore.....................",0,0,0,0,0,6273,125519,3674,83369,199219,397694,292,816040
"Tuna, bigeye........................",0,689,0,0,0,0,0,0,0,639,216,0,1544
"Tuna, bluefin........................",358,0,0,0,0,11,142,0,1396,116976,1214,41523,161620
"Tuna, skipjack......................",0,0,0,0,0,0,0,8,349,477,34,0,868
"Tuna, unspecified................",0,0,0,0,0,0,0,0,699,75,89,0,863
"Tuna, yellowfin.....................",0,0,0,0,0,0,45,211086,661073,264550,451,0,1137205
Turbot..................................,0,0,0,89,0,0,1,0,0,0,0,0,90
Wahoo.................................,0,588,0,0,0,0,0,0,0,0,0,0,588
"Whitefish, ocean..................",38,17,926,159,2,0,165,0,199,148,685,0,2338
"Whiting, Pacific....................",0,0,0,7,4,0,43,101,223,17,18,0,413
Yellowtail.............................,1142,0,236,0,1794,10719,6567,7475,7894,16436,968,1366,54596
"Crab, Dungeness.................",0,0,14,0,0,0,0,0,0,0,0,0,14
"Crab, box.............................",0,0,356,0,238,611,187,368,0,0,0,130,1890
"Crab, claws..........................",48,174,30,44,26,18,0,31,20,62,92,194,739
"Crab, king............................",2,0,0,109,193,3,0,0,0,0,0,0,307
"Crab, red rock......................",0,0,0,0,0,0,0,1426,0,0,0,0,1426
"Crab, rock unspecified.........",6128,10424,12908,13709,12582,15385,14885,14790,7937,8099,6113,6847,129807
"Crab, sand...........................",0,0,0,0,2,14,6,0,27,0,0,0,50
"Crab, spider.........................",2403,2254,3324,1381,1876,2401,3038,3021,2821,2414,2675,3073,30679
"Crab, yellow rock.................",0,0,0,0,0,75,25,0,0,0,0,4,104
"Lobster, California spiny.......",28187,27920,10395,0,0,0,0,0,0,73291,44363,23802,207958
"Prawn, ridgeback.................",22061,9588,10694,4023,660,523,4990,0,0,0,387,120,53045
"Prawn, spot..........................",18,2550,4375,4418,7858,10159,7504,8350,8560,6649,0,0,60442
"Shrimp, ghost......................",0,0,0,10,0,0,0,0,6,3,12,0,30
"Shrimp, mantis.....................",598,1147,2196,2740,434,0,0,0,0,0,0,532,7645
"Shrimp, unspecified.............",125,2,0,0,0,0,0,0,0,0,0,0,127
"Sea cucumber, unspecified..",2233,3483,12392,14316,34169,42813,33255,15669,10126,1137,0,100,169692
"Urchin, purple sea................",0,0,517,1,1,0,0,0,0,20,0,132,671
"Urchin, red...........................",307862,303037,429662,344629,480088,280331,143952,276658,290970,592306,402437,367971,4219902
"Clam, California jackknife....",0,17,54,91,121,158,128,140,111,56,81,32,989
"Clam, gaper.........................",17,0,0,0,0,0,0,0,0,0,0,0,17
"Clam, northern razor............",0,0,0,0,0,0,0,0,3,0,0,0,3
Mussel.................................,0,200,156,7,95,425,16,731,0,0,7,400,2037
"Octopus, unspecified...........",105,262,137,156,210,184,14,92,22,7,18,16,1222
"Scallop, unspecified.............",0,0,457,0,0,0,0,0,0,0,0,0,457
Sea hare..............................,0,0,0,0,0,0,0,0,268,15,250,277,810
"Snail, sea.............................",141,3,0,0,584,249,0,0,0,0,49,438,1464
"Snail, top..............................",0,0,157,37,0,0,0,0,0,0,0,0,194
"Snails, moon........................",40,0,0,3,0,0,0,0,0,0,0,0,43
"Squid, market......................",12207749,9128052,3400383,583541,515904,932398,1602291,670403,640412,11492563,21373406,23761662,86308764
"Whelk, Kellet's.....................",1711,1502,1522,284,1081,869,744,625,534,1331,1821,3731,15755
"Algae, marine.......................",0,0,0,30,0,0,0,0,0,0,0,0,30
"Worms, marine....................",8,3,12,89,13,13,15,4,6,12,5,0,178
Waters Area Total:,30460227,22319531,18625786,7775849,15028918,4028659,5689732,15869122,15893133,23575020,28002579,27716162,214984716
"Bass, giant sea....................",0,0,0,0,0,0,0,0,97,0,0,0,97
"Bonito, Pacific......................",0,0,0,0,0,0,0,0,440,0,0,0,440
Dolphin (fish)........................,94,0,0,631,1664,0,0,530,0,18434,0,0,21353
Escolar.................................,0,130,0,274,1442,0,0,229,0,707,976,0,3758
"Halibut, California.................",0,0,0,0,0,0,0,0,66,0,0,0,66
"Halibut, unspecified..............",0,0,0,0,0,11,0,0,0,0,0,0,11
Louvar..................................,0,0,0,0,0,0,0,0,0,5240,0,0,5240
Oilfish..................................,579,0,0,0,0,0,0,333,0,0,0,0,912
Opah....................................,0,0,0,0,0,0,0,132,0,666,0,0,798
"Rockfish, aurora...................",0,0,6,58,0,0,0,0,0,0,0,0,64
"Rockfish, blackgill................",0,0,661,1015,0,484,0,0,0,0,0,0,2160
"Rockfish, group red..............",0,0,0,0,0,0,0,0,28,0,0,0,28
"Rockfish, splitnose...............",0,0,21,77,0,29,0,0,0,0,0,0,127
"Rockfish, unspecified...........",0,0,0,0,0,0,0,0,35,0,0,0,35
Sablefish..............................,0,0,27,16,0,53,0,20,0,0,0,0,116
"Sardine, Pacific....................",0,0,79755,0,0,0,0,0,0,0,0,0,79755
"Scorpionfish, California........",0,0,0,0,0,0,0,0,33,0,0,0,33
"Seabass, white....................",0,0,0,0,463,0,0,119,0,0,0,0,582
"Shark, Pacific angel.............",0,0,0,0,0,0,0,0,27,0,0,0,27
"Shark, bigeye thresher.........",1795,0,0,0,0,0,0,0,0,0,0,0,1795
"Shark, shortfin mako............",64,790,223,0,0,0,0,518,119,3673,576,0,5963
"Shark, soupfin......................",0,0,0,0,0,0,0,0,98,0,0,0,98
"Shark, thresher....................",0,0,0,0,0,0,0,700,158,0,0,0,858
"Sole, unspecified.................",0,0,0,0,0,0,0,18,0,0,0,0,18
Swordfish.............................,500310,337526,351618,382775,216090,0,0,11217,3407,183171,193458,353385,2532957
"Thornyhead, shortspine.......",0,0,0,0,0,15,0,0,0,0,0,0,15
"Tuna, albacore.....................",2762,5809,2649,4284,9739,0,0,79440,0,34269,0,0,138952
"Tuna, bigeye........................",4533,7696,18353,24151,8780,0,0,184,0,6063,546,212,70518
"Tuna, bluefin........................",480,1162,629,0,0,0,0,175,0,0,1911,779,5136
"Tuna, unspecified................",0,0,0,0,0,0,0,0,0,0,0,125,125
"Tuna, yellowfin.....................",318,0,0,21954,0,0,0,0,0,0,0,0,22272
"Whitefish, ocean..................",0,0,0,0,0,0,0,0,31,0,0,0,31
Yellowtail.............................,0,0,0,0,1040,0,0,5578,1157,0,0,0,7775
"Urchin, red...........................",84317,43454,27719,41184,23743,12173,10974,19327,5581,0,101978,36471,406921
"Squid, market......................",0,0,10967,0,0,0,0,2000,0,0,0,0,12967
Waters Area Total:,595253,396567,492628,476419,262961,12765,10974,120520,11277,252223,299445,390972,3322004
"Shark, shortfin mako............",0,0,0,0,0,0,0,0,0,0,30,0,30
"Shark, thresher....................",0,0,0,0,0,0,0,0,0,0,85,0,85
Swordfish.............................,0,0,0,0,0,0,0,0,0,0,270,0,270
"Tuna, albacore.....................",0,0,0,0,0,0,0,0,0,0,4340,0,4340
"Tuna, skipjack......................",0,102838,0,18188,0,0,0,0,0,0,0,0,121026
"Tuna, yellowfin.....................",0,37892,56026,115429,0,0,0,0,0,0,0,0,209347
Waters Area Total:,0,140730,56026,133617,0,0,0,0,0,0,4725,0,335098
Grand Total,31055479,22856828,19174440,8385885,15291879,4041424,5700706,15989642,15904410,23827243,28306749,28107134,218641818
