Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern........................",2322,0,2820,1554,3938,6972,0,3487,0,4681,0,1343,27117
"Barracuda, California...................",0,0,0,0,0,0,0,96,48,0,0,0,144
"Bass, giant sea.............................",53,0,0,0,212,872,1721,593,72,0,0,0,3523
"Bonito, Pacific...............................",12,46,0,0,0,0,29,7,59043,8585,0,0,67722
Butterfish (Pacific pompano).....,0,100,0,0,431,0,0,0,0,106,30,0,667
Cabezon..........................................,54,0,0,0,0,27,10,0,0,0,0,0,91
Dolphin (fish).................................,0,0,0,0,0,146,172,179,1035,36,6,0,1574
"Eel, wolf (wolf-eel)........................",0,0,0,0,5,0,0,0,0,0,0,0,5
Escolar............................................,0,0,0,0,0,172,0,0,27,0,0,0,199
"Fish, unspecified..........................",0,0,0,0,0,27,0,0,0,0,16,0,43
Grenadier........................................,233,195,125,2,0,0,0,0,0,0,0,0,555
"Guitarfish, shovelnose................",0,5,0,0,0,0,0,0,0,0,0,19,24
Hagfishes.......................................,18134,12584,0,9870,9383,6552,8373,1175,13286,12181,17364,13443,122345
Halfmoon.........................................,0,0,0,0,0,2,0,413,0,0,0,0,415
"Halibut, California.........................",94,347,210,363,754,1461,1069,226,292,232,123,90,5261
Lingcod............................................,0,0,0,0,69,66,0,17,0,42,31,0,225
"Lizardfish, California....................",0,75,0,148,143,0,0,0,0,458,80,0,904
"Mackerel, Pacific..........................",72263,111577,488597,1372691,590661,291399,320062,933640,1577935,520585,55330,44773,6379512
"Mackerel, bullet.............................",0,0,0,0,0,0,0,0,0,0,12,0,12
"Mackerel, jack................................",0,7403,28259,82857,124965,337385,124136,9629,25993,3279,0,943,744849
Opah................................................,147,0,0,0,0,2655,0,0,12864,0,145,733,16544
Opaleye...........................................,0,2,0,0,1,8,3,0,0,0,0,0,14
"Pomfret, Pacific.............................",0,0,0,0,0,0,0,0,71,0,0,0,71
"Ratfish, spotted............................",0,1,0,0,0,0,0,0,0,0,0,0,1
"Ray, bat...........................................",0,0,0,0,0,480,0,0,0,0,0,0,480
"Rockfish, aurora............................",28,79,107,25,364,65,386,427,104,58,416,218,2275
"Rockfish, bank...............................",5,118,32,16,18,23,0,178,0,3,0,0,392
"Rockfish, blackgill........................",923,108,957,594,1017,1075,1528,841,1047,1816,1195,971,12071
"Rockfish, blue................................",5,0,0,0,6,0,0,0,0,0,0,0,11
"Rockfish, bocaccio......................",56,572,0,0,796,153,138,183,107,128,42,9,2183
"Rockfish, brown............................",32,118,0,0,12,0,0,0,0,0,0,0,162
"Rockfish, chilipepper...................",0,0,0,0,4,0,0,20,6,4,1,11,44
"Rockfish, copper...........................",240,62,0,0,33,51,82,0,0,0,0,0,468
"Rockfish, flag.................................",11,14,0,0,33,0,0,4,1,6,12,2,82
"Rockfish, grass.............................",0,0,0,0,0,0,1,0,0,0,0,0,1
"Rockfish, greenblotched.............",0,0,0,0,8,8,0,0,0,0,0,0,16
"Rockfish, greenspotted...............",35,55,0,0,237,28,9,7,8,64,11,66,519
"Rockfish, greenstriped................",10,0,0,0,11,0,0,1,1,2,0,5,29
"Rockfish, group shelf..................",364,384,0,0,252,564,311,777,344,574,170,0,3740
"Rockfish, honeycomb..................",0,0,0,0,0,0,0,0,0,0,0,2,2
"Rockfish, kelp................................",0,8,0,0,0,0,0,0,0,0,0,0,8
"Rockfish, olive...............................",14,71,0,0,12,30,0,0,5,0,0,0,131
"Rockfish, rosy...............................",0,41,0,0,38,42,3,0,8,38,0,0,170
"Rockfish, speckled.......................",0,0,0,0,0,0,6,4,6,13,2,4,34
"Rockfish, splitnose......................",16,0,8,34,34,0,0,179,0,0,0,0,269
"Rockfish, squarespot..................",6,0,0,22,16,0,8,0,3,6,23,3,84
"Rockfish, starry.............................",13,87,0,0,201,118,7,0,5,26,0,4,460
"Rockfish, unspecified..................",0,6,0,0,0,0,0,0,0,0,0,0,6
"Rockfish, vermilion.......................",49,342,0,0,821,127,174,331,278,257,33,41,2452
"Rockfish, widow............................",11,65,0,0,5,31,14,0,7,19,1,0,152
"Rockfish, yellowtail......................",0,0,0,0,36,0,0,0,0,0,0,0,36
Sablefish.........................................,15369,7061,11615,7979,4978,5973,3867,3400,5046,3952,2880,1780,73897
"Sanddab, Pacific..........................",0,0,0,0,0,10,0,15,0,0,0,0,25
Sanddab..........................................,1238,798,2083,1412,1197,596,518,711,1117,522,5,172,10369
"Sardine, Pacific.............................",82770,488952,53518,1204757,17259,40556,0,5529,0,4921,0,471,1898733
Sargo...............................................,0,0,0,0,0,0,0,0,0,0,2,0,2
"Scorpionfish, California...............",58,325,0,0,659,741,1037,1254,542,102,0,31,4749
"Seabass, white.............................",0,0,491,0,193,14207,3828,569,245,0,80,0,19613
"Shark, bigeye thresher................",0,0,0,0,0,0,0,0,0,0,87,0,87
"Shark, gray smoothhound..........",0,8,0,21,0,0,0,0,0,0,0,0,29
"Shark, horn.....................................",0,2,0,0,0,0,0,0,0,0,0,0,2
"Shark, leopard...............................",0,179,45,33,71,182,130,0,0,0,0,0,640
"Shark, pelagic thresher...............",0,0,0,0,0,0,0,0,105,0,0,0,105
"Shark, shortfin mako....................",0,46,122,0,157,506,861,102,0,18,191,13,2016
"Shark, soupfin...............................",0,0,61,0,0,118,77,0,29,0,0,0,285
"Shark, thresher..............................",0,0,0,0,17,391,834,127,68,0,211,0,1648
"Shark, unspecified.......................",0,10,0,0,0,0,0,0,0,0,0,0,10
"Sheephead, California.................",839,1506,0,0,1219,3312,1104,986,808,0,1118,997,11889
"Skate, longnose............................",27,0,98,50,0,0,0,0,0,105,188,65,533
"Skate, unspecified.......................",160,29,96,26,7,0,0,0,0,0,0,0,318
"Smelt, night....................................",0,0,0,0,569,0,0,0,0,0,0,0,569
"Sole, Dover.....................................",34,47,156,10,201,169,417,250,161,73,30,34,1580
"Sole, petrale...................................",0,0,13,0,7,35,5,12,0,0,0,0,71
"Sole, rex..........................................",0,0,0,0,0,0,0,0,0,0,160,0,160
"Sole, unspecified..........................",346,250,1330,449,1049,34,0,196,269,1647,190,0,5760
Splittail............................................,0,0,0,0,0,0,0,0,0,8,0,0,8
Stingray...........................................,0,96,0,0,207,0,0,0,0,0,0,0,303
Swordfish........................................,2245,0,0,0,0,1895,413,739,686,6014,3155,10304,25451
"Thornyhead, longspine...............",709,733,794,979,445,394,495,317,740,369,245,145,6361
"Thornyhead, shortspine..............",3203,2775,4019,1493,2672,1796,2236,2133,2301,1819,2732,1629,28806
"Tomcod, Pacific............................",0,573,0,0,0,0,0,0,0,0,0,0,573
"Tuna, bigeye..................................",0,0,0,0,0,3617,0,0,17389,0,0,0,21006
"Tuna, bluefin..................................",39,0,0,0,87519,50,7682,79363,70,0,0,0,174723
"Tuna, skipjack...............................",0,0,0,0,0,0,0,0,61458,173070,224,192,234944
"Tuna, yellowfin..............................",0,0,0,0,0,372710,110458,57841,251487,459209,0,1081,1252785
"Turbot, hornyhead........................",0,0,55,0,0,0,0,0,0,0,0,0,55
"Whitefish, ocean...........................",7,647,0,0,164,78,9,0,0,2,0,0,907
"Whiting, Pacific.............................",0,23,28,7,0,0,3,0,0,3,0,0,63
Yellowtail........................................,244,403,631,330,934,3524,6956,6219,6269,207,0,89,25805
"Crab, box.........................................",301,0,422,10,715,0,120,0,0,0,241,0,1809
"Crab, brown rock...........................",617,659,279,450,479,620,998,2566,651,549,68,86,8022
"Crab, hermit....................................",0,3,0,0,0,0,0,0,0,0,0,0,3
"Crab, king........................................",0,0,0,0,0,0,0,0,0,0,38,0,38
"Crab, pelagic red..........................",20,0,0,0,0,0,0,0,0,0,0,0,20
"Crab, red rock................................",9045,5494,7622,8508,8747,7334,8709,1112,1300,1149,525,440,59985
"Crab, rock unspecified................",184,106,505,1185,618,2134,3846,300,210,175,958,845,11065
"Crab, spider....................................",2013,3247,3579,3816,2906,3917,3167,3860,906,887,1170,1023,30490
"Crab, spider/sheep claws..........",163,221,0,0,0,0,0,0,0,0,0,0,384
"Crab, yellow rock..........................",2774,3095,3963,6276,6122,7687,4136,7399,2582,1310,565,560,46469
"Lobster, California spiny.............",29261,22401,9413,0,0,0,0,0,0,66935,39022,47532,214564
"Prawn, ridgeback..........................",2379,3261,7671,3984,7166,0,0,0,0,1460,423,4104,30448
"Prawn, spot....................................",0,10455,13811,14878,12723,17693,10254,16238,14637,12971,0,0,123658
"Sea cucumber, giant red............",1061,0,0,261,0,135,720,1975,0,0,0,0,4152
"Sea cucumber, unspecified.......",0,0,0,10,0,0,0,2461,807,843,1400,0,5521
"Sea cucumber, warty...................",0,2465,5826,6347,5177,10565,7244,5236,556,0,0,0,43414
Sea stars........................................,0,2,2,0,48,14,20,32,31,19,13,22,203
"Sea urchin, purple........................",12,10,55,0,0,0,12,7,0,0,0,0,96
"Sea urchin, red..............................",156163,63181,115625,106502,87295,56307,72481,49006,67925,61478,85340,49153,970456
"Sea urchin, white..........................",0,0,0,3,7,0,4,0,8,0,0,0,21
"Limpet, keyhole.............................",0,67,0,0,0,0,0,0,0,0,0,0,67
"Octopus, unspecified..................",2,34,11,0,0,5,24,0,0,11,2,0,88
Sea hare.........................................,142,221,205,248,116,182,126,180,203,162,145,23,1951
"Snail, top.........................................",111,0,0,0,0,0,0,200,0,0,0,0,311
"Squid, market.................................",0,0,0,0,0,105761,272030,0,503668,0,590256,448590,1920305
"Whelk, Kellet's...............................",1085,2181,1711,150,91,181,1503,1642,824,848,1810,1921,13947
"Algae, marine.................................",0,0,0,4,0,8,0,0,0,0,0,0,12
Kelp..................................................,0,0,0,0,0,0,4,0,0,0,0,0,4
Waters Area Total:,407748,756027,766967,2838352,986244,1313971,984562,1204383,2635690,1354034,808515,633979,14690471
Dolphin (fish).................................,0,284,73,0,373,53,138,1146,875,3095,25,4457,10519
Escolar............................................,2736,1156,151,0,577,344,208,314,54,813,0,317,6670
"Fish, unspecified..........................",0,0,0,0,561,249,256,0,0,0,0,0,1066
Lingcod............................................,0,301,0,0,0,0,0,0,0,0,0,0,301
Louvar..............................................,0,0,0,0,0,0,50,0,0,0,0,0,50
Opah................................................,2396,1318,108,0,5576,6660,7740,24439,0,9770,318,19006,77331
"Pomfret, Pacific.............................",0,0,23,0,0,0,0,502,200,260,0,0,985
"Shark, shortfin mako....................",2269,2061,0,0,181,0,0,0,0,0,0,807,5318
"Shark, thresher..............................",195,524,0,0,0,0,0,0,0,0,0,0,719
Swordfish........................................,31323,84593,34692,0,352,182,655,862,0,118,7098,12502,172377
"Tuna, albacore..............................",508,0,468,0,0,0,624,0,0,0,0,0,1600
"Tuna, bigeye..................................",0,1791,1279,0,16405,1829,21882,41972,0,10942,0,12906,109006
"Tuna, skipjack...............................",0,0,0,0,40,0,475,523,791,510,0,0,2339
"Tuna, yellowfin..............................",0,1834,132,0,0,0,0,0,0,0,0,0,1966
Wahoo.............................................,0,0,0,0,255,41,137,827,0,176,0,0,1436
Waters Area Total:,39427,93862,36926,0,24320,9358,32165,70585,1920,25684,7441,49995,391683
Grand Total:,447175,849889,803893,2838352,1010564,1323329,1016727,1274968,2637610,1379718,815956,683974,15082154
