Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Anchovy, northern................",4065693,2764702,58984,8263489,9975211,386502,200,2050,3920,89302,1260,94810,25706123
"Barracuda, California............",0,0,0,0,0,0,0,13,4,54,54,0,125
"Bonito, Pacific......................",0,0,0,0,0,0,0,0,11666,0,0,0,11666
Butterfish (Pacific pompano),0,0,110,828,2192,1336,1190,175,892,2177,40,43,8983
Cabezon...............................,522,1441,18,0,2915,3048,4349,2869,1539,0,12,0,16713
"Cod, Pacific..........................",0,0,0,0,0,762,0,0,0,0,0,0,762
"Croaker, unspecifed.............",0,23,132,18,0,0,0,0,0,0,0,0,173
"Croaker, white......................",0,0,328,349,1070,1510,180,1063,1082,814,70,183,6649
"Eel, monkeyface..................",0,0,0,0,0,0,0,0,3,2,0,0,4
"Flounder, starry....................",290,91,78,170,855,476,627,644,346,143,46,189,3956
"Flounder, unspecified...........",0,41,248,472,1241,1761,1845,1241,857,296,178,126,8306
"Greenling, kelp.....................",120,343,12,0,384,200,288,325,0,0,0,0,1672
Grenadiers...........................,5713,3945,8094,16001,30049,26525,47343,12044,49244,11260,11701,12673,234592
"Halibut, California.................",814,639,925,556,5158,3386,15097,6070,4735,1671,4623,2156,45830
"Halibut, unspecified..............",0,0,0,0,0,0,0,0,0,169,0,0,169
"Herring, Pacific.....................",0,0,0,21,0,0,220,0,0,0,0,0,241
Jacksmelt.............................,0,0,1031,3241,2217,3005,1914,2425,4380,1073,2100,37074,58460
Lingcod................................,0,0,0,0,397,365,3476,2017,2783,1478,187,0,10702
Louvar..................................,0,0,0,0,0,0,0,0,0,0,66,0,66
"Mackerel, Pacific..................",0,0,0,0,50,1024,1046,120,42,300,376812,22,379415
"Mackerel, unspecified...........",0,0,0,0,0,0,175,0,0,0,4,0,179
Opah....................................,0,0,0,0,0,0,0,0,112,0,292,0,404
Queenfish.............................,0,2,0,0,0,145,0,0,0,0,0,0,147
"Ray, unspecified...................",0,0,0,0,0,49,0,0,0,0,0,0,49
"Rockfish, China....................",22,26,5,0,5,123,408,163,177,109,96,151,1284
"Rockfish, Pacific ocean perc",0,0,0,0,0,0,0,0,0,0,0,3,3
"Rockfish, bank.....................",80,0,113,252,699,7965,7908,14,74,48,291,6015,23459
"Rockfish, black-and-yellow...",93,604,1,0,1410,1386,1606,748,373,351,137,119,6827
"Rockfish, black.....................",30,180,5,0,41,92,137,246,73,206,19,33,1061
"Rockfish, blackgill................",3364,1540,3828,3727,792,9086,2852,257,3152,6501,4229,1087,40414
"Rockfish, blue......................",74,120,0,0,35,183,63,311,75,139,196,20,1216
"Rockfish, bocaccio...............",885,2261,911,634,441,1193,2181,1186,1983,1022,0,0,12698
"Rockfish, brown....................",113,857,16,0,907,1228,1077,939,790,601,287,1227,8042
"Rockfish, canary...................",14,129,0,3,0,41,111,162,305,0,0,0,765
"Rockfish, chilipepper............",13850,22174,8113,2114,16118,14556,12691,4133,2248,16185,12987,27846,153015
"Rockfish, copper (whitebelly)",0,0,0,0,53,0,0,0,0,0,0,0,53
"Rockfish, copper..................",13,76,9,0,132,197,71,117,137,393,27,66,1238
"Rockfish, darkblotched.........",214,13,0,0,0,40,0,0,0,0,0,18,285
"Rockfish, flag.......................",0,0,0,0,0,0,2,6,0,0,0,0,8
"Rockfish, gopher..................",1031,2107,50,0,2642,3781,3798,2211,2329,1789,1382,785,21906
"Rockfish, grass....................",24,87,0,0,541,955,710,531,201,645,136,17,3847
"Rockfish, greenblotched.......",0,0,0,0,0,0,0,0,21,0,0,0,21
"Rockfish, greenspotted.........",0,25,2,0,0,0,0,155,0,18,126,98,424
"Rockfish, greenstriped..........",0,40,2,0,0,0,10,0,0,12,0,0,64
"Rockfish, group black/blue...",0,42,0,0,0,0,0,0,0,0,0,0,42
"Rockfish, group bolina..........",40,122,0,0,0,0,0,10,341,206,320,5,1044
"Rockfish, group canary/verm",0,0,0,0,0,0,0,0,5,0,0,0,5
"Rockfish, group gopher........",126,106,0,0,13,40,315,797,361,90,28,105,1981
