Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern.............................",48641,62525,143942,2551793,3522965,876172,1127370,188490,4450,10362,38024,2850,8577584
"Barracuda, California.........................",0,0,0,0,85,0,0,0,0,0,0,0,85
"Bonito, Pacific...................................",0,0,0,0,0,0,0,0,0,0,0,7,7
Butterfish (Pacific pompano).........,5,0,73,0,2763,2365,2409,1968,1942,672,0,2,12199
Cabezon............................................,269,160,0,0,3446,2496,3694,2395,735,0,0,0,13194
"Croaker, unspecifed..........................",0,0,72,0,83,0,10,303,16,0,0,0,484
"Croaker, white...................................",623,410,510,681,4847,5364,4430,4520,2953,1170,1705,151,27364
"Eel, monkeyface (prickleback)......",0,0,0,0,0,0,0,4,0,0,0,0,4
"Eel, wolf (wolf-eel)........................",0,0,0,0,25,0,14,0,0,0,0,0,39
Eel.....................................................,0,0,0,0,2,0,0,0,0,0,0,0,2
"Flounder, starry.................................",796,503,706,606,2114,2632,5656,4577,987,119,484,1519,20699
"Flounder, unspecified........................",0,0,0,10,461,176,512,773,77,16,0,372,2398
"Greenling, kelp..................................",88,51,2,0,276,121,180,103,0,0,0,0,821
Grenadier..........................................,1952,3432,23390,39696,9051,13683,8951,14467,15211,30617,27998,10120,198568
"Halibut, California..............................",4430,1214,1906,1635,4902,9864,31879,27158,9497,1547,1915,4671,100618
"Herring, Pacific - roe..........................",0,0,0,0,80,0,0,0,0,0,0,0,80
"Herring, Pacific..................................",0,0,400,0,0,0,55372,0,0,0,0,0,55772
Jacksmelt..........................................,660,0,1274,970,1329,425,561,14908,375,261,900,1870,23533
Lingcod.............................................,778,699,405,731,4419,2467,3804,4449,4384,3182,882,45,26245
Louvar...............................................,0,0,0,0,0,0,0,0,0,97,0,0,97
"Mackerel, Pacific...............................",1079889,0,0,0,0,0,0,0,0,0,0,60,1079949
"Mackerel, jack...................................",0,0,0,0,0,0,20,0,0,0,0,0,20
Opah.................................................,0,0,0,0,0,0,0,0,0,120,83,0,203
"Rockfish, China.................................",5,12,0,0,3,10,8,16,3,6,7,0,68
"Rockfish, aurora................................",0,11,0,59,0,0,0,30,0,0,0,0,100
"Rockfish, bank..................................",1315,391,762,276,60,357,6527,5741,43,429,1036,1376,18313
"Rockfish, black-and-yellow................",107,264,0,0,876,449,1296,1024,401,247,114,33,4808
"Rockfish, black..................................",33,75,0,0,100,83,193,733,255,132,13,3,1620
"Rockfish, blackgill..............................",1794,4050,3093,2800,1241,959,1430,3507,2813,5149,602,1641,29078
"Rockfish, blue...................................",190,125,0,0,355,269,515,1025,799,601,495,201,4575
"Rockfish, bocaccio............................",282,203,0,122,162,214,74,369,625,1156,3288,465,6959
"Rockfish, brown.................................",287,123,0,0,179,206,246,675,95,109,69,0,1989
"Rockfish, canary................................",14,0,0,16,98,150,0,44,0,3,0,0,325
"Rockfish, chilipepper.........................",693,256,231,832,1401,142,967,1150,4916,1215,532,2179,14514
"Rockfish, copper...............................",0,9,20,95,165,34,138,59,22,119,16,1,678
"Rockfish, cowcod..............................",0,0,0,0,0,0,0,0,0,53,2,10,65
"Rockfish, darkblotched......................",3,3,152,73,3,4,216,546,40,91,0,0,1131
"Rockfish, flag....................................",0,0,0,4,5,16,10,0,4,0,4,0,43
"Rockfish, gopher...............................",205,284,0,0,585,351,540,679,584,492,276,65,4061
"Rockfish, grass.................................",126,58,0,0,796,397,1112,638,280,33,0,12,3450
"Rockfish, greenblotched....................",0,0,0,0,0,0,0,0,0,7,0,0,7
"Rockfish, greenspotted......................",0,0,0,7,0,4,93,200,82,68,14,1,469
"Rockfish, greenstriped.......................",0,0,0,0,0,0,0,0,10,39,61,4,114
"Rockfish, group bolina.......................",57,0,0,0,16,35,51,76,28,33,0,0,295
"Rockfish, group deep nearshore........",0,0,0,0,0,302,0,0,0,0,0,0,302
"Rockfish, group deepwater reds........",0,0,0,0,0,0,0,0,0,0,0,329,329
"Rockfish, group gopher.....................",175,271,0,0,184,193,359,106,62,48,0,2,1398
"Rockfish, group nearshore................",0,0,0,0,3,0,0,0,0,0,0,0,3
"Rockfish, group red...........................",78,39,0,101,149,140,34,205,68,46,0,0,860
"Rockfish, group rosefish....................",23291,18315,2795,3263,2343,662,13034,2807,4456,9173,22255,24028,126422
"Rockfish, group shelf.........................",0,0,12,7,21,0,0,0,0,0,0,0,40
"Rockfish, group slope........................",5273,1054,757,370,541,2695,653,2113,1871,0,540,685,16552
"Rockfish, group small........................",95,0,0,0,8,3,0,98,46,0,0,4,254
"Rockfish, kelp....................................",100,122,0,0,143,104,274,186,157,145,114,66,1412
"Rockfish, olive...................................",29,123,0,0,152,33,234,299,236,238,128,15,1488
"Rockfish, pink....................................",0,0,8,0,0,0,0,1,0,3,0,0,12
"Rockfish, redbanded.........................",6,34,2,0,0,0,0,0,0,0,28,3,73
"Rockfish, rosy...................................",0,19,0,0,248,0,0,0,0,0,0,0,267
"Rockfish, shortbelly...........................",0,0,0,0,0,0,0,0,0,18,9,50,77
"Rockfish, speckled............................",0,0,0,0,0,0,0,0,13,8,0,0,20
"Rockfish, splitnose............................",24,5,0,0,0,0,0,0,0,675,130,0,834
"Rockfish, starry.................................",2,0,0,0,3,3,0,34,53,2,0,0,95
"Rockfish, stripetail.............................",0,0,0,0,0,0,0,0,0,242,5,0,247
"Rockfish, treefish...............................",1,2,0,0,2,4,27,14,4,10,1,2,66
"Rockfish, unspecified........................",0,0,0,5,105,7,12,88,49,8,0,0,273
"Rockfish, vermilion............................",215,227,0,16,532,380,586,630,594,373,66,146,3765
"Rockfish, widow................................",107,0,6,12,23,17,0,2,0,0,99,0,266
"Rockfish, yelloweye...........................",0,0,0,15,23,0,0,5,0,0,0,0,43
"Rockfish, yellowtail............................",3,13,3,0,8,13,13,150,4,7,2,0,216
Sablefish...........................................,32720,41915,63070,87190,30100,13894,20911,50189,34203,53175,48002,33149,508517
"Salmon, Chinook...............................",0,0,0,1807,278780,295093,167533,14242,2870,190,0,0,760514
Salmon..............................................,0,0,0,0,0,0,0,20,0,0,0,0,20
Sanddab............................................,26593,4795,2449,5602,9986,3180,16372,51701,10611,2557,10059,15239,159143
"Sardine, Pacific.................................",4815517,247338,15160,0,37306,800,1052279,6252631,1459734,11113122,9053515,0,34047402
"Seabass, white..................................",86,13,16,0,0,0,0,22,0,0,0,43,180
"Shark, Pacific angel..........................",0,0,0,20,0,0,0,0,0,0,0,0,20
"Shark, leopard...................................",145,50,47,66,0,0,0,0,0,0,17,110,435
"Shark, pelagic thresher.....................",0,0,0,0,0,0,0,0,0,0,120,0,120
"Shark, shortfin mako.........................",0,0,0,0,0,0,0,0,0,1026,926,0,1952
"Shark, soupfin...................................",26,0,0,19,191,0,0,58,86,0,0,12,392
"Shark, spiny dogfish..........................",0,78,87,17304,10782,0,13835,0,0,25,0,61,42172
"Shark, thresher..................................",0,0,0,0,0,37,0,72,0,229,149,0,487
"Shark, unspecified.............................",15,165,20,16,20,20,20,20,25,0,62,182,564
"Sheephead, California.......................",0,0,0,0,55,6,5,52,0,0,0,0,118
Silversides.........................................,0,0,256,0,0,0,0,0,0,0,0,0,256
"Skate, unspecified.............................",1812,1782,2056,3432,1477,777,1095,0,299,267,214,250,13461
"Smelt, night.......................................",0,0,0,0,0,20,0,0,1660,0,0,0,1680
"Smelt, surf.........................................",0,0,192,0,0,133,0,0,0,0,0,0,325
"Smelts, true.......................................",0,0,229,0,0,0,0,0,0,0,0,0,229
"Sole, Dover.......................................",47413,51571,68868,87273,61763,21107,33425,55371,35986,64879,29032,23123,579811
"Sole, English.....................................",799,2038,5174,4462,4771,795,3272,5093,7641,7411,5755,5581,52791
"Sole, petrale......................................",1461,7517,15990,7479,12596,3940,12930,14332,11578,14289,4912,12286,119309
"Sole, rex............................................",1182,543,941,3316,2404,474,1000,3626,1872,5568,174,4157,25257
"Sole, rock..........................................",108,0,0,56,0,0,2,40,0,0,0,0,206
"Sole, sand.........................................",669,310,348,602,1268,1399,1811,1795,452,41,275,327,9298
"Sole, unspecified...............................",52,0,0,0,12,0,0,0,7,0,0,0,71
"Surfperch, barred..............................",30,13,2,0,0,0,0,0,0,151,0,0,195
"Surfperch, redtail...............................",0,0,1,0,0,0,0,0,5,0,0,0,6
"Surfperch, unspecified.......................",0,0,0,0,15,3,17,0,0,0,2,0,36
