Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Anchovy, northern................",0,0,0,0,0,7637,0,0,0,0,0,0,7637
"Barracuda, California............",26,8,0,0,0,0,0,18,49,15,0,0,115
"Bass, giant sea....................",18,54,9,0,68,0,0,0,0,20,0,0,169
"Bonito, Pacific......................",0,0,0,0,195,0,0,0,0,0,0,0,195
Butterfish (Pacific pompano),0,0,0,0,0,0,0,75,0,0,0,0,75
Cabezon...............................,6859,6781,171,0,13370,11089,14528,11758,8361,51,0,0,72968
"Croaker, white......................",482,0,74,454,329,0,0,0,0,0,0,0,1339
"Eel, California moray............",0,0,0,0,0,0,1,2,0,0,0,0,3
"Eel, monkeyface..................",0,0,0,0,0,22,30,30,31,5,0,0,119
"Eel, wolf (wolf-eel)................",0,0,0,9,0,0,0,0,0,0,0,0,9
Eel........................................,0,0,0,0,0,0,6,6,0,0,0,0,11
Escolar.................................,11,1,3,0,0,0,0,0,0,0,0,0,15
"Flounder, starry....................",58,11,71,18,22,0,0,92,72,62,151,5,562
"Flounder, unspecified...........",110,83,177,23,20,0,62,467,75,75,72,95,1257
"Greenling, kelp.....................",876,766,31,0,950,802,935,627,0,0,0,0,4989
Grenadiers...........................,0,0,0,0,0,0,3952,0,750,36,0,0,4738
"Guitarfish, shovelnose..........",155,106,47,11,0,0,0,8,0,26,0,31,383
"Halibut, California.................",9441,3563,5447,2398,2085,1538,3412,8295,5535,6043,6904,8181,62842
"Halibut, Pacific.....................",0,0,0,0,45,0,0,0,0,0,0,0,45
Lingcod................................,0,0,0,0,236,341,2868,2541,2666,4615,20,14,13300
Louvar..................................,0,0,0,0,0,0,0,0,572,311,452,0,1335
"Mackerel, Pacific..................",0,0,0,0,45,0,0,0,0,0,0,0,45
"Mackerel, unspecified...........",0,0,0,0,0,0,0,0,1,0,0,0,1
Opah....................................,1478,117,0,0,0,0,0,0,526,432,2529,0,5082
Pacific Pomfret.....................,0,0,0,0,0,0,0,0,7896,132,0,0,8028
"Rockfish, China....................",25,15,0,0,23,13,16,24,44,60,15,22,256
"Rockfish, bank.....................",0,3707,5028,1561,0,4083,11139,6272,5609,3605,1092,23519,65615
