Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Barracuda, California......................",0,268,0,0,0,0,0,96,226,56,5,0,651
Butterfish (Pacific pompano).........,32,49,0,40,30,0,0,0,0,192,47,560,949
Cabezon...........................................,807,1222,0,0,1352,1991,2241,1414,3947,4860,1243,501,19577
"Croaker, white..................................",1884,83,0,40,203,0,0,0,0,461,650,73,3395
"Eel, monkeyface (prickleback)......",0,2,0,0,3,3,0,9,6,8,0,0,30
"Fish, unspecified...............................",0,0,0,0,0,32,0,0,0,0,0,1,33
"Flounder, starry.................................",22,0,0,0,4,46,127,138,296,50,126,13,822
"Flounder, unspecified......................",0,0,0,0,0,0,0,30,130,53,30,13,256
"Greenling, kelp.................................",126,137,0,0,167,174,338,175,257,197,0,0,1571
Grenadier.........................................,315,66,1626,90,0,34,841,651,87,88,297,0,4095
"Guitarfish, shovelnose......................",1182,0,10,0,0,0,44,0,0,0,586,0,1822
Hagfishes...........................................,18137,43684,28478,26831,6323,23932,17422,30867,26619,34786,19961,19258,296299
"Halibut, California............................",1318,659,543,55,559,814,4551,2792,1433,1972,2788,3940,21423
Lingcod.............................................,0,0,0,0,2533,2206,3290,2511,2968,3544,2518,18,19587
"Lizardfish, California.........................",47,5,30,30,36,0,0,0,0,139,477,350,1114
Louvar...............................................,30,0,0,0,0,0,0,0,23,135,70,0,257
"Mackerel, unspecified....................",0,0,12,0,0,0,0,0,0,0,0,0,12
Opah.................................................,0,0,0,0,0,0,0,0,1244,706,2078,0,4027
"Pomfret, Pacific................................",0,0,0,0,0,0,0,0,26,49,0,0,75
"Ratfish, spotted................................",0,0,0,0,0,0,0,0,5,0,2,0,7
"Ray, unspecified..............................",0,0,0,0,81,0,0,0,0,0,0,0,81
"Rockfish, China.................................",1,2,0,0,10,8,11,31,24,58,28,10,183
"Rockfish, Pacific ocean perch.......",0,0,0,0,0,0,0,0,0,46,0,0,46
"Rockfish, aurora...............................",0,0,0,40,54,37,64,6,58,27,31,54,370
"Rockfish, bank..................................",0,0,0,0,0,0,0,0,0,15,15,0,30
"Rockfish, black-and-yellow...........",695,1043,0,0,815,2073,2035,2195,2191,1457,1224,337,14065
"Rockfish, black.................................",15,7,0,0,0,15,30,15,33,24,65,141,346
"Rockfish, blackgill.............................",944,2216,7163,7934,7055,4063,6505,6643,12084,20120,15507,10638,100872
"Rockfish, blue...................................",32,55,0,0,10,24,25,33,72,62,24,31,369
"Rockfish, bocaccio..........................",0,0,0,0,0,0,4,0,0,0,9,5,17
"Rockfish, brown................................",3253,2784,0,0,6475,6026,6591,5976,4514,5972,3840,5498,50930
"Rockfish, calico................................",0,0,0,0,0,0,0,0,0,0,0,1,1
"Rockfish, chilipepper.......................",0,0,0,0,0,0,0,0,2,0,0,0,2
"Rockfish, copper..............................",115,59,0,0,78,123,65,151,80,141,180,121,1112
"Rockfish, darkblotched...................",0,0,0,0,0,54,0,0,0,2,101,0,156
"Rockfish, gopher..............................",2558,2840,0,0,2024,4243,6693,5368,3975,4823,4602,2609,39736
"Rockfish, grass..................................",319,508,0,0,329,838,1956,1465,1331,1223,1132,263,9364
"Rockfish, group gopher...................",0,0,0,0,0,0,0,0,0,0,3,0,3
"Rockfish, group nearshore..............",0,0,0,0,0,0,5,9,4,0,0,0,18
"Rockfish, group red..........................",0,4,0,0,20,35,161,104,30,39,76,64,532
"Rockfish, group rosefish...................",0,0,0,2,0,6,0,0,0,32,0,0,40
"Rockfish, group shelf........................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, group slope......................",0,0,0,130,0,0,0,0,0,0,0,0,130
"Rockfish, kelp....................................",23,42,0,0,28,73,151,157,35,93,115,34,751
"Rockfish, olive...................................",0,6,0,0,0,11,11,18,23,8,15,9,102
"Rockfish, pinkrose.............................",0,0,0,0,0,0,0,0,1,0,0,0,1
