Species ,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern ",0,0,0,0,0,95,0,0,0,0,0,0,95
"Bonito, Pacific ",99,0,0,0,212,0,0,0,0,0,0,0,311
Cabezon ,2525,1424,0,0,3706,1884,1895,4251,2548,3387,3924,704,26248
"Fish, unspecified ",3,0,0,0,0,0,0,0,0,0,0,0,3
"Flounder, arrowtooth ",0,0,0,0,0,0,0,12,2,0,0,0,14
"Flounder, starry ",0,0,0,0,0,2,1,29,7,3,1,0,43
"Flounder, unspecified ",0,0,0,0,0,0,0,1,0,0,0,0,1
"Greenling, kelp ",233,144,0,0,221,206,167,424,226,111,145,30,1907
"Greenling, rock ",0,0,0,0,0,0,3,3,0,6,0,0,11
Grenadier ,396,208,50,38,0,421,227,283,89,78,957,298,3045
"Hagfish, Pacific ",47977,29404,35281,20099,24444,20615,21902,53141,45064,39402,37775,15400,390504
"Halibut, California ",1154,1316,1106,862,672,1747,2594,5932,3379,4018,3522,19,26320
Lingcod ,2261,2161,0,0,2178,3028,2221,3169,1527,2120,2097,694,21456
"Lizardfish, California ",0,0,0,0,0,8,0,0,0,0,0,0,8
"Mackerel, jack ",0,0,0,0,80,0,0,0,0,0,0,0,80
"Mackerel, Pacific ",0,0,0,0,3,35,0,0,0,0,0,8,46
"Mackerel, unspecified ",0,0,0,0,12,0,0,0,0,0,0,0,12
Opah ,0,0,0,0,0,0,0,0,1307,1293,272,0,2872
"Prickleback, monkeyface (eel)",0,3,0,0,0,9,7,2,8,0,0,0,28
"Ray, bat ",0,0,0,0,0,0,0,0,0,20,0,0,20
"Rockfish, aurora ",0,3,3,3,4,3,19,7,12,6,6,10,75
"Rockfish, black ",32,13,0,0,12,17,13,16,1,18,11,0,133
"Rockfish, black-and-yellow",1682,1063,0,0,2552,1837,2146,3909,2055,2163,2319,662,20387
"Rockfish, blackgill ",653,659,2044,316,0,3123,847,20,1763,1796,9,6,11236
"Rockfish, blue ",309,801,0,0,35,599,435,953,495,587,401,159,4775
"Rockfish, bocaccio ",723,302,65,0,240,540,197,274,199,270,199,39,3046
"Rockfish, brown ",2998,1189,0,0,2896,4204,2838,3171,1377,3666,1951,224,24515
"Rockfish, canary ",387,184,0,0,198,524,148,310,48,113,217,59,2189
"Rockfish, chilipepper ",0,93,0,0,0,0,3,0,0,0,0,0,96
"Rockfish, China",8,13,0,0,5,14,5,12,26,14,31,16,145
"Rockfish, copper",242,199,0,0,268,588,252,573,206,250,248,154,2979
"Rockfish, gopher",3917,2770,0,0,2809,5798,3824,5299,6013,3362,4370,2211,40373
"Rockfish, grass",636,194,0,0,1030,735,755,2173,1624,2385,2625,173,12330
"Rockfish, greenblotched",0,2,0,0,0,0,0,0,0,0,0,0,2
"Rockfish, greenspotted",0,1,0,0,0,0,0,4,7,0,11,0,23
"Rockfish, group bolina",0,0,0,0,0,46,0,75,0,0,15,0,136
"Rockfish, group gopher",0,0,0,0,0,0,0,87,0,0,0,0,87
"Rockfish, group red",3,0,0,0,0,4,0,0,0,0,0,0,8
"Rockfish, kelp",95,90,0,0,74,207,87,220,137,21,85,35,1050
"Rockfish, olive",33,27,0,0,12,26,16,204,21,1,2,38,380
"Rockfish, quillback",0,0,0,0,0,0,0,0,2,0,0,0,2
"Rockfish, rosy",0,0,0,0,2,0,6,12,1,0,1,4,25
"Rockfish, speckled",94,58,0,0,0,0,5,0,0,0,3,0,160
"Rockfish, starry",21,12,0,0,17,57,37,42,43,45,58,18,349
"Rockfish, treefish",519,261,0,0,267,777,458,762,518,495,413,180,4651
"Rockfish, vermilion",3893,2008,392,0,2828,3883,2377,2782,2118,1481,2118,856,24735
"Rockfish, widow",7,8,8,0,2,0,0,0,0,14,0,0,38
"Rockfish, yellowtail",27,28,23,0,3,103,230,92,144,60,90,15,814
Sablefish,10948,10928,15702,13543,26524,49334,30614,41104,32063,39529,28584,18591,317465
Salmon,0,0,0,0,2681,2691,273,0,0,0,0,0,5646
"Salmon, Chinook",0,0,0,0,210657,121271,6552,707,0,0,0,0,339187
"Salmon, Roe (Chinook, Coho)",0,0,0,0,0,316,0,0,0,0,0,0,316
"Sardine, Pacific",0,0,0,0,0,405,0,0,0,0,0,0,405
"Seabass, white",51,0,0,0,0,29,262,70,203,1207,289,28,2139
"Shark, leopard",7,0,0,0,0,0,0,0,0,0,0,0,7
"Shark, Pacific angel",12,15,0,0,0,14,13,17,50,27,13,0,161
"Shark, sevengill",0,32,0,0,0,89,0,0,0,0,28,0,149
"Shark, shortfin mako",0,0,0,0,0,0,0,0,513,0,1480,0,1993
"Shark, soupfin",0,72,0,0,23,22,0,26,43,313,116,0,614
"Shark, spiny dogfish ",0,0,0,0,0,0,70,19,0,0,0,0,89
"Shark, thresher ",0,0,0,0,0,0,0,0,132,347,2011,0,2490
"Shark, unspecified ",0,20,0,0,50,0,10,10,2,0,0,12,104
"Sheephead, California ",213,41,0,0,58,317,8,10,0,25,37,37,746
"Skate, California ",0,0,28,0,0,0,0,0,0,0,0,0,28
"Skate, longnose ",18,8,0,0,0,0,0,0,0,0,0,1,27
"Skate, unspecified ",0,5,0,0,60,0,0,0,0,0,0,0,65
"Sole, Dover ",12,0,0,1,0,0,0,0,0,0,4,0,17
"Sole, petrale ",0,0,0,0,0,13,131,25,6,9,0,0,183
"Sole, rex ",0,0,0,0,0,3,0,0,0,0,0,0,3
"Sole, rock ",5,0,0,0,2,7,0,3,0,0,3,2,22
"Sole, sand ",0,0,0,0,0,13,39,0,0,0,0,3,55
"Stickleback, threespine ",0,0,0,304,0,0,0,0,0,0,0,0,304
"Surfperch, barred ",933,574,665,918,0,0,0,10,0,140,542,551,4333
"Surfperch, calico ",1,0,0,0,0,0,0,0,0,0,0,0,1
"Surfperch, unspecified ",0,0,0,0,0,0,0,0,0,12,0,0,12
Swordfish ,0,0,0,0,0,0,0,0,88,910,2835,0,3833
"Thornyhead, longspine ",262,142,269,51,83,364,73,162,136,210,390,139,2281
"Thornyhead, shortspine ",1412,1874,5226,737,437,3281,345,1166,753,994,1860,941,19025
"Tuna, albacore ",0,0,0,0,0,0,0,3355,0,2466,0,0,5821
"Tuna, bluefin ",0,0,0,0,0,0,0,0,0,901,0,0,901
"Tuna, skipjack ",0,0,0,0,0,0,0,0,0,122,0,0,122
Turbot ,0,0,0,0,0,21,68,17,0,3,0,0,109
"Whitefish, ocean ",23,5,0,0,3,28,38,78,42,60,80,24,379
"Crab, brown rock ",0,0,1691,3507,2170,2358,1810,0,969,1991,0,0,14496
"Crab, Dungeness ",22805,22556,42878,24327,0,0,0,0,0,0,0,10312,122878
"Crab, red rock ",407,1370,3569,3316,467,778,3287,4787,2231,1075,2532,1940,25759
"Crab, rock unspecified ",0,0,1360,94,0,0,0,0,0,0,0,0,1454
"Crab, spider ",88,54,53,588,683,425,465,576,218,47,0,17,3213
"Crab, spider/sheep claws",0,30,0,0,0,0,0,0,0,0,0,0,30
"Crab, tanner ",32,24,0,0,0,0,0,0,0,0,0,0,56
"Crab, yellow rock ",0,139,107,752,978,1246,537,665,717,565,508,747,6961
"Crustacean, unspecified",0,0,0,0,0,0,32,0,0,0,0,0,32
"Lobster, California spiny",2692,0,2,0,0,0,0,0,0,0,0,100,2794
"Prawn, ridgeback ",0,0,0,0,0,0,0,0,0,2928,1532,0,4460
"Prawn, spot ",3161,92,924,236,0,0,0,568,632,1136,1931,1216,9894
"Shrimp, ocean (pink) ",0,0,0,0,0,0,0,71572,0,0,0,0,71572
"Octopus, unspecified ",47,0,0,0,0,0,0,0,0,0,10,20,77
"Squid, market ",0,0,0,0,0,79005,0,12,0,0,0,0,79017
"Whelk, Kellet's ",0,0,0,69,0,0,514,309,216,139,427,0,1674
California Waters Total: ,114057,82619,111445,69759,289656,313163,88855,213513,109981,122337,109085,56692,1681161
"Tuna, albacore ",0,0,0,0,0,0,0,2133,0,11824,0,0,13957
Other Waters Total: ,0,0,0,0,0,0,0,2133,0,11824,0,0,13957
Grand Total: ,114057,82619,111445,69759,289656,313163,88855,215646,109981,134161,109085,56692,1695118
