Species,January,February,March,April,May,June ,July,August ,September,October,November ,December,Landings
Carp.....................................,0,0,0,0,0,0,0,20,0,0,0,0,20
"Mudsucker, longjaw..............",0,0,0,0,0,0,0,0,0,0,29,0,29
"Shad, threadfin.....................",6557,536,292,160,958,30,18,772,4065,7327,11898,11286,43899
"Crayfish, unspecified............",3440,2241,1865,1897,4552,5451,6347,24277,26697,6433,1316,1694,86210
"Shrimp, bay..........................",1192,918,0,0,0,0,687,980,1534,1548,1535,1115,9509
Waters Area Total:,11189,3695,2157,2057,5510,5481,7052,26049,32296,15308,14778,14095,139667
Carp.....................................,0,0,0,0,0,0,0,194,0,0,0,0,194
"Goby, yellowfin.....................",0,0,0,0,0,0,0,0,0,175,110,0,285
Hitch.....................................,0,0,0,0,0,0,0,20,0,0,0,0,20
"Shad, threadfin.....................",0,0,0,0,40,415,240,205,3460,6140,1390,0,11890
"Crayfish, unspecified............",0,0,0,0,0,0,0,6229,7570,0,0,0,13799
Waters Area Total:,0,0,0,0,40,415,240,6648,11030,6315,1500,0,26188
Grand Total,11189,3695,2157,2057,5550,5896,7292,32697,43326,21623,16278,14095,165855
