Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Goby, yellowfin.............................",0,0,0,0,0,0,0,0,0,0,118,189,307
"Mudsucker, longjaw.....................",0,0,0,0,0,0,0,0,0,0,91,0,91
"Shad, threadfin..............................",0,0,0,0,614,86,1953,7000,8305,5065,1765,0,24788
"Crayfish, red swamp....................",0,0,0,0,0,0,0,850,1189,120,0,0,2159
"Crayfish, unspecified..................",251,437,431,880,5592,6565,8298,3550,10229,8925,2238,956,48352
Waters Area Total:,251,437,431,880,6206,6651,10251,11400,19723,14110,4212,1145,75697
"Crayfish, red swamp....................",0,0,0,0,0,0,0,0,0,80,0,0,80
"Crayfish, unspecified..................",0,0,0,0,0,0,0,0,0,1280,0,0,1280
Waters Area Total:,0,0,0,0,0,0,0,0,0,1360,0,0,1360
Grand Total:,251,437,431,880,6206,6651,10251,11400,19723,15470,4212,1145,77057
