Species January,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shad, threadfin ",0,0,0,1660,955,360,725,1721,2768,3404,2453,132,14178
"Crayfish, red swamp ",0,0,0,0,0,0,0,50,180,0,0,0,230
"Crayfish, signal ",0,0,0,0,0,150,1907,2916,1214,10060,1886,1006,19139
"Crayfish, unspecified ",952,677,907,477,1303,4911,0,0,0,4250,0,0,13477
California Waters Total ,952,677,907,2137,2258,5421,2632,4687,4162,17714,4339,1138,47024
"Crayfish, red swamp ",0,0,0,0,0,0,198,0,0,0,0,0,198
"Crayfish, signal ",0,0,0,0,0,0,16198,7456,1980,3200,760,0,29594
"Crayfish, unspecified ",0,0,0,0,0,0,1855,1232,0,0,0,0,3087
"Crustacean, unspecified ",0,0,0,0,0,0,557,0,0,0,0,0,557
Water Area Total: ,0,0,0,0,0,0,18808,8688,1980,3200,760,0,33436
Grand Total: ,952,677,907,2137,2258,5421,21440,13375,6142,20914,5099,1138,80460
