Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Anchovy, northern................",2250,0,0,0,0,0,1125,0,0,0,0,0,3375
"Barracuda, California............",0,0,0,60,1458,1653,214,1630,5,39,0,4,5063
"Bass, giant sea....................",79,49,0,85,13,0,92,8,0,117,0,61,505
"Bonito, Pacific......................",0,0,0,0,132,23,21,0,9,0,0,0,185
Cabezon...............................,8,88,149,890,664,632,161,15,96,0,0,0,2702
"Croaker, white......................",0,0,0,0,0,0,0,0,1710,0,0,0,1710
Dolphin (fish)........................,0,0,0,0,0,0,23,87,140,45,0,0,295
"Eel, California moray............",0,0,0,0,0,13,0,0,0,0,0,0,13
Escolar.................................,0,84,0,330,0,0,0,0,0,0,62,16,492
"Flounder, unspecified...........",0,1,0,0,0,0,0,0,0,0,0,0,1
"Guitarfish, shovelnose..........",0,0,0,0,0,0,0,32,0,0,0,0,32
"Halibut, California.................",6073,12466,10815,5972,8300,2794,2072,454,137,125,220,755,50183
Lingcod................................,0,0,0,0,0,48,7,0,41,0,0,0,96
Louvar..................................,30,0,0,0,0,0,46,147,1637,378,618,29,2885
"Mackerel, Pacific..................",381,1429,72,483,750,204,525,530,1565,0,0,282,6221
"Mackerel, jack......................",0,0,0,0,154,4,0,0,0,70,0,0,228
"Needlefish, California...........",0,0,0,0,0,0,0,2,0,0,0,0,2
Opah....................................,10453,180,0,0,795,253,192,1361,2176,11355,22916,22322,72003
Queenfish.............................,0,0,0,0,0,8,0,0,0,0,0,0,8
"Rockfish, China....................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, aurora...................",0,0,19,0,0,0,0,0,0,0,0,0,19
"Rockfish, black.....................",0,0,81,0,0,0,0,0,0,0,0,0,81
"Rockfish, blackgill................",13,0,14,0,0,4,0,7,0,0,0,1382,1420
"Rockfish, bocaccio...............",0,0,89,83,73,309,155,128,248,15,0,0,1101
"Rockfish, bronzespotted.......",0,0,0,0,14,0,0,30,0,0,0,0,44
"Rockfish, brown....................",18,0,0,14,56,0,0,0,0,0,0,4,92
"Rockfish, chilipepper............",0,0,272,0,0,63,53,0,17,0,0,0,405
"Rockfish, copper..................",0,0,2,0,2,0,0,21,3,14,0,0,42
"Rockfish, flag.......................",0,0,0,9,10,0,6,0,0,0,0,0,25
"Rockfish, greenblotched.......",0,0,0,10,0,19,8,9,6,0,0,0,52
"Rockfish, greenspotted.........",0,0,43,7,39,0,26,2,0,0,0,0,117
"Rockfish, greenstriped..........",0,0,11,0,12,0,2,0,0,0,0,0,25
"Rockfish, group nearshore...",0,0,7,12,0,16,6,5,9,26,0,0,81
"Rockfish, group red..............",0,0,121,0,18,39,86,0,232,0,0,0,496
"Rockfish, group rosefish.......",0,0,12,0,0,0,0,0,0,0,0,0,12
"Rockfish, group shelf............",0,0,351,6,118,129,87,135,122,16,0,0,964
"Rockfish, group slope...........",0,0,0,0,0,0,0,50,0,0,0,0,50
"Rockfish, kelp.......................",0,0,0,10,0,0,0,0,0,0,0,0,10
"Rockfish, olive......................",0,0,0,0,13,0,0,0,0,0,0,0,13
"Rockfish, pinkrose................",0,0,0,0,3,0,0,0,0,0,0,0,3
"Rockfish, redbanded............",0,0,0,0,0,0,0,0,47,0,0,0,47
"Rockfish, rosethorn..............",0,0,0,0,0,0,0,0,3,0,0,0,3
"Rockfish, speckled...............",0,0,0,0,0,0,0,0,22,0,0,0,22
"Rockfish, splitnose...............",0,0,4,0,0,0,0,0,0,0,0,0,4
"Rockfish, starry....................",0,0,0,7,0,0,0,20,0,0,0,0,27
"Rockfish, treefish.................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, unspecified...........",19,84,157,2,71,41,216,233,0,0,0,0,822
"Rockfish, vermilion...............",0,0,259,210,140,260,307,207,133,79,0,0,1595
"Rockfish, widow...................",0,0,0,5,0,0,0,0,0,0,0,0,5
Sablefish..............................,0,1302,6210,8650,5423,11415,6488,969,11971,21691,12276,1893,88289
"Sanddab, Pacific..................",0,0,20,0,12,0,0,0,0,0,0,0,32
Sanddab...............................,36,0,0,0,0,0,0,0,0,0,0,0,36
"Sardine, Pacific....................",0,0,0,0,450,0,0,0,0,0,0,0,450
"Scorpionfish, California........",647,480,1148,612,1175,437,87,11,241,1397,2159,2071,10464
"Seabass, white.....................",43,126,271,52,488,3131,1515,550,21,54,0,84,6336
"Shark, bigeye thresher.........",251,0,0,0,0,0,0,0,0,0,0,0,251
"Shark, brown smoothhound..",0,0,0,0,0,0,0,0,0,0,0,18,18
"Shark, leopard......................",310,49,102,58,57,13,44,23,0,15,50,36,756
"Shark, pelagic thresher........",0,0,0,0,0,0,113,125,440,155,109,0,942
"Shark, shortfin mako............",1564,659,0,297,915,1922,5197,8022,4802,2696,7553,5824,39451
"Shark, soupfin......................",442,43,99,156,2991,3906,3640,1991,110,0,0,418,13796
"Shark, thresher.....................",38517,264,0,20,40721,348,967,1943,20719,4616,12239,49622,169976
"Sheephead, California..........",5465,3912,4506,2710,6216,3405,2709,1763,947,2422,800,0,34853
"Skate, unspecified................",71,52,19,0,0,0,0,0,0,0,0,0,142
"Sole, petrale.........................",0,0,0,0,13,0,0,9,0,0,0,3,25
"Sole, sand............................",2,11,3,11,3,6,9,11,0,0,0,0,56
"Sole, unspecified..................",1,65,2,0,16,0,48,0,0,0,0,0,132
"Surfperch, black...................",248,88,31,93,0,165,40,146,126,219,19,0,1175
Swordfish.............................,24041,40452,0,13203,2551,1069,6579,5567,14855,40899,80210,34048,263474
"Thornyhead, longspine.........",0,865,1803,5,3,21,0,0,0,24,18,0,2739
"Thornyhead, shortspine........",0,47,1677,3811,3035,3292,2655,1280,1259,3729,3434,531,24750
Thornyheads........................,0,25,364,477,791,0,41,63,81,298,1173,445,3758
"Tomcod, Pacific...................",0,0,0,0,0,0,107,0,0,0,0,0,107
"Tuna, albacore.....................",1281,0,0,3469,0,13405,240718,15696,32445,44508,74855,2348,428723
"Tuna, bigeye........................",0,1335,0,1508,935,0,0,0,0,0,0,0,3778
"Tuna, bluefin........................",1618,549,0,0,0,232,3025,20182,1608,37,3905,144,31300
"Tuna, skipjack......................",0,0,0,0,0,0,223,0,536,398,378,0,1535
"Tuna, yellowfin.....................",289,0,0,1644,0,0,1013,29133,1848,2674,2742,139,39482
"Whitefish, ocean..................",170,191,8,43,116,252,85,0,0,0,0,2,867
Yellowtail..............................,0,0,340,0,487,1708,6720,4304,453,600,122,2,14737
"Crab, rock unspecified..........",24195,20035,30163,25030,25630,18179,18993,21806,9316,6847,13956,14724,228873
"Crab, sand...........................",0,0,0,0,0,680,0,0,0,0,0,0,680
"Crab, spider.........................",835,309,528,5,2364,144,0,0,0,0,121,42,4349
