Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern........................",0,0,0,0,0,0,0,10,0,0,0,0,10
"Barracuda, California...................",0,0,0,0,0,0,0,0,12,0,0,0,12
"Bonito, Pacific...............................",0,0,0,0,0,0,0,0,0,0,0,18,18
Cabezon..........................................,95,24,0,0,291,128,122,53,63,45,81,60,961
"Croaker, white................................",0,28,65,2,0,5,0,3,0,0,0,0,103
Dolphin (fish).................................,0,0,0,0,0,0,0,0,96,0,228,85,409
"Eel, monkeyface (prickleback)..",0,75,40,67,69,65,29,59,28,0,13,0,445
Escolar............................................,0,0,0,0,0,0,0,0,0,0,499,0,499
"Fish, unspecified..........................",0,0,0,0,49,0,0,0,330,12,25,0,416
"Flounder, arrowtooth....................",2,0,43,13,18,12,747,0,109,1,0,0,945
"Flounder, starry.............................",1318,866,1545,373,217,515,1058,1630,464,437,0,0,8423
"Goby, yellowfin.............................",0,0,12,0,0,0,0,0,0,0,0,0,12
"Greenling, kelp..............................",79,16,0,0,94,101,223,85,176,130,245,92,1241
"Halibut, California.........................",20562,9711,20641,6037,11043,23387,58480,33905,6085,5475,510,14,195849
"Herring, Pacific - roe on kelp....",61748,16737,0,0,0,0,0,0,0,0,0,0,78485
"Herring, Pacific - roe...................",2543781,2049301,7098,0,0,0,0,0,0,16,0,0,4600196
"Herring, Pacific..............................",162,300,0,0,0,0,0,0,0,0,0,0,462
Jacksmelt........................................,14,0,0,0,0,0,5,0,0,0,0,0,19
Lingcod............................................,27,11,195,1432,1937,1043,2289,1809,3156,2693,1161,28,15781
Louvar..............................................,0,0,0,0,0,0,0,0,0,282,0,0,282
"Midshipman, plainfin....................",0,0,0,0,0,29,0,0,0,0,0,0,29
"Mudsucker, longjaw.....................",20,0,0,0,0,0,0,0,0,2,3,6,31
Oilfish..............................................,0,0,0,0,0,0,0,0,0,0,516,390,906
Opah................................................,0,0,0,0,0,0,0,0,0,0,22124,412,22536
"Pomfret, Pacific.............................",0,0,0,0,0,0,0,0,0,0,523,0,523
"Rockfish, China.............................",15,5,0,0,4,68,204,69,31,86,10,0,492
"Rockfish, Pacific ocean perch..",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, aurora............................",0,0,7,19,29,2,28,7,43,19,34,0,188
"Rockfish, bank...............................",0,53,0,0,0,0,0,0,0,0,0,0,53
"Rockfish, black-and-yellow.......",0,0,0,0,0,10,14,10,0,0,0,0,34
"Rockfish, black..............................",410,298,0,0,325,483,1051,788,577,428,679,392,5430
"Rockfish, blackgill........................",0,0,0,15,22,0,6,214,10,35,20,0,322
"Rockfish, blue................................",58,91,0,0,69,73,167,296,180,314,269,129,1647
"Rockfish, bocaccio......................",0,0,76,1929,1584,203,282,206,2249,576,0,0,7105
"Rockfish, brown............................",696,203,159,0,1002,1080,1568,1361,1666,1049,895,756,10435
"Rockfish, canary...........................",0,0,9,4,18,34,41,49,16,20,0,0,191
"Rockfish, chilipepper...................",473,127,3263,14399,16556,22056,21865,7365,26378,19525,0,0,132007
"Rockfish, copper...........................",47,17,0,0,48,57,238,109,107,63,47,55,787
"Rockfish, cowcod.........................",0,0,0,1,9,19,28,33,36,141,0,0,267
"Rockfish, darkblotched...............",0,0,0,0,0,0,37,0,0,0,0,0,37
"Rockfish, gopher...........................",44,56,0,0,201,246,894,282,116,284,554,230,2907
"Rockfish, grass.............................",0,0,0,0,0,2,42,15,18,2,45,0,124
"Rockfish, greenblotched.............",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, greenspotted...............",2,0,26,0,1,8,277,0,40,39,0,0,393
"Rockfish, greenstriped................",0,0,0,0,0,1,0,3,0,2,0,0,6
"Rockfish, group bolina................",6,0,0,0,0,0,0,28,0,0,0,0,34
"Rockfish, group canary/vermili.",3,0,0,0,0,0,0,0,0,0,0,0,3
"Rockfish, group shelf..................",0,0,4,3,0,0,0,0,0,0,0,0,7
"Rockfish, group slope.................",0,0,724,1946,287,0,839,269,0,0,0,0,4065
"Rockfish, group small..................",0,0,0,38,0,0,0,0,0,0,0,0,38
"Rockfish, kelp................................",0,0,0,0,0,0,0,13,7,9,10,14,53
"Rockfish, olive...............................",23,32,0,0,28,74,87,107,205,100,96,40,791
"Rockfish, quillback.......................",0,2,0,0,0,1,3,0,1,0,0,0,8
"Rockfish, redbanded....................",0,1,0,0,0,0,0,2,0,1,0,0,4
"Rockfish, rosy...............................",0,0,0,0,3,0,34,64,27,43,0,0,172
"Rockfish, shortbelly.....................",0,0,0,0,0,0,0,0,0,20,0,0,20
"Rockfish, speckled.......................",0,0,0,0,0,0,0,0,0,4,0,0,4
"Rockfish, splitnose......................",50,55,452,379,22,2,80,140,185,0,130,0,1495
"Rockfish, starry.............................",0,0,0,0,7,1,4,0,3,7,0,0,22
"Rockfish, stripetail.......................",0,0,0,0,0,0,0,0,0,8,0,0,8
"Rockfish, unspecified..................",0,0,0,0,31,0,0,0,281,0,0,0,312
"Rockfish, vermilion.......................",116,22,0,1,64,104,282,179,171,315,158,64,1476
"Rockfish, widow............................",0,0,0,0,5,1,18,4,0,994,0,0,1022
"Rockfish, yelloweye.....................",0,0,0,0,0,0,5,0,0,8,0,0,13
"Rockfish, yellowtail......................",3,6,0,0,243,895,220,76,26,1352,10,2,2833
Sablefish.........................................,1627,1259,2087,5254,10182,12014,23168,49202,18849,34343,6588,10299,174872
"Salmon, Chinook...........................",0,0,0,0,529853,366021,75877,67846,33695,18082,0,0,1091374
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,2,10,6,219,210,151,0,0,598
"Sanddab, Pacific..........................",0,0,0,0,0,0,0,0,0,3372,0,0,3372
Sanddab..........................................,6,22,3253,11195,17878,16666,18714,28998,16989,10749,230,0,124700
"Sardine, Pacific.............................",200,1280,0,0,0,0,2813,0,0,0,0,0,4293
"Sculpin, staghorn.........................",139,82,124,128,79,56,196,333,779,934,727,299,3876
"Seabass, white.............................",0,55,6,0,69,296,833,580,173,91,0,0,2101
"Seaperch, striped.........................",477,994,1026,628,0,0,0,0,0,53,1271,1432,5881
"Shad, American.............................",0,0,0,0,0,0,10,0,55,0,0,0,65
"Shark, leopard...............................",263,371,596,11,8,0,77,15,66,27,60,129,1623
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,0,0,276,276
"Shark, soupfin...............................",0,33,0,0,0,0,370,51,0,3,0,0,457
"Shark, spiny dogfish....................",0,0,0,0,34,0,0,0,0,0,0,0,34
"Shark, thresher..............................",0,0,0,0,0,0,0,12,0,0,0,0,12
"Shark, unspecified.......................",239,18,42,0,13,0,69,0,0,0,32,313,726
