Species ,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern ",0,0,0,1075,1090,177,0,50243,66614,1226326,412969,0,1758494
"Bass, giant sea ",0,0,17,0,0,0,0,0,0,0,0,0,17
"Bullhead, brown ",0,0,0,0,0,0,26,28,7,20,8,5,94
Cabezon ,13,0,0,0,14,18,37,27,34,16,53,6,218
"Croaker, white ",15,21,40,13,18,0,68,542,63,60,0,0,838
Eel ,0,0,0,0,0,0,1,4,0,0,0,0,5
"Eel, California moray ",0,0,2,0,0,0,0,0,0,0,0,0,2
"Eel, wolf (wolf-eel) ",0,0,0,0,29,10,0,7,0,10,0,0,56
"Fish, unspecified ",0,0,0,0,0,1,0,0,0,0,0,0,1
"Flounder, arrowtooth ",0,0,309,66,1,169,81,525,14,106,0,0,1271
"Flounder, starry ",435,1420,1337,1794,591,2364,1153,1906,1682,3753,2077,1016,19527
"Goby, yellowfin ",22,2,7,30,0,0,0,0,0,0,0,0,61
"Greenling, kelp ",116,60,0,0,65,119,33,0,0,0,0,0,393
"Greenling, rock ",0,0,0,0,10,0,86,45,128,130,127,4,530
Grenadier ,0,0,0,0,13,0,0,0,0,0,0,0,13
"Guitarfish, shovelnose ",0,0,0,0,0,0,15,0,0,0,3,0,18
"Halibut, California ",12128,20361,25808,29782,35812,55253,51895,63928,35701,29142,16080,4359,380250
"Halibut, unspecified ",0,0,0,0,0,0,0,103,0,91,0,0,194
"Herring, Pacific ",0,0,0,0,0,1,0,0,0,0,0,0,1
"Jacks, unspecified ",0,0,0,0,0,0,0,0,42,0,0,0,42
Jacksmelt ,0,0,0,0,0,0,0,0,0,0,0,6,6
Lingcod ,164,145,460,249,2786,5041,3083,6634,4848,3510,1400,134,28454
"Mackerel, jack ",0,0,3,0,0,0,2,36,0,0,0,0,41
"Mackerel, Pacific ",0,0,0,0,0,139,20,0,0,0,0,0,159
"Mackerel, unspecified ",0,0,225,0,3,0,0,18,0,0,0,0,246
"Midshipman, plainfin ",0,0,1,55,2,23,23,1,0,0,4,0,109
Opah ,0,0,0,0,0,0,0,0,0,0,222,0,222
"Perch-like, unspecified ",0,0,0,0,0,0,0,0,0,0,0,7,7
"Prickleback, monkeyface (eel)",0,8,0,15,30,15,0,0,0,10,0,37,115
"Ratfish, spotted",0,0,1621,449,569,1768,694,3,0,0,18,0,5122
"Ray, bat",0,0,0,0,0,30,0,0,0,0,0,0,30
"Ray, Pacific electric",0,0,0,0,0,2,0,0,0,0,0,0,2
"Rockfish, bank",0,0,2526,0,0,1289,880,329,0,0,16,0,5040
"Rockfish, black",14,52,0,0,62,105,104,170,62,98,32,2,699
"Rockfish, black-and-yellow",0,0,0,0,0,0,0,0,8,0,0,0,8
"Rockfish, blackgill",0,0,107,0,2,32,64,21,58,1636,0,2,1922
"Rockfish, blue",277,120,0,0,193,1639,913,998,728,763,677,91,6398
"Rockfish, bocaccio",0,0,35538,35131,38795,27629,15051,26785,32773,17307,18990,5,248004
"Rockfish, brown",743,415,0,0,1195,1456,884,1110,628,1066,477,156,8131
"Rockfish, canary",72,94,53,52,467,1716,463,2672,401,269,261,25,6544
"Rockfish, chilipepper",0,0,16325,13989,33088,19975,14680,17424,9833,13356,18878,0,157548
"Rockfish, China",6,0,0,0,6,3,6,2,4,7,3,0,37
"Rockfish, copper",70,52,0,0,57,24,33,94,61,64,60,6,522
"Rockfish, cowcod",0,0,236,271,385,205,118,91,29,21,180,0,1536
"Rockfish, darkblotched",0,0,0,0,0,2,13,0,0,0,2,0,17
"Rockfish, flag",0,0,0,0,0,0,1,0,0,0,0,2,3
"Rockfish, gopher",118,51,0,0,144,299,132,59,161,112,117,13,1206
"Rockfish, greenspotted",0,0,0,24,123,57,3,83,0,0,32,2,324
"Rockfish, greenstriped",0,0,0,177,543,324,528,691,374,406,18,0,3061
"Rockfish, group bolina",93,90,0,8,169,418,1112,615,541,287,406,70,3809
"Rockfish, group canary/vermilion",0,0,0,0,0,0,9,0,0,0,0,0,9
"Rockfish, group deep nearshore",0,0,0,0,0,120,0,0,0,0,0,0,120
"Rockfish, group gopher",0,0,0,0,0,0,0,0,0,50,0,0,50
"Rockfish, group shelf",0,0,519,35,0,229,212,140,0,90,65,0,1290
"Rockfish, group slope",0,0,15,0,0,0,0,0,0,0,0,0,15
"Rockfish, olive",0,0,0,0,49,229,117,225,230,167,245,0,1261
"Rockfish, quillback",2,0,0,0,3,23,0,0,0,1,2,0,31
"Rockfish, redbanded",0,0,8,0,0,2,8,11,0,0,0,0,29
"Rockfish, rosethorn",0,0,0,0,0,0,1,0,0,0,0,0,1
"Rockfish, rosy",2,0,0,0,8,6,0,5,24,23,11,4,83
"Rockfish, shortbelly",0,0,2,130,300,492,41,46,4,11,5596,0,6622
"Rockfish, speckled",0,0,0,0,0,0,0,0,0,0,40,0,40
"Rockfish, splitnose",0,0,11974,6,23,912,2617,2136,0,2,148,0,17818
"Rockfish, starry",10,0,0,0,6,2,11,7,0,4,6,4,49
"Rockfish, stripetail",0,0,0,404,153,272,61,15,95,411,0,0,1411
"Rockfish, unspecified",0,0,0,0,0,26,0,0,0,430,416,0,872
"Rockfish, vermilion",58,77,0,0,433,706,379,580,317,290,184,43,3066
"Rockfish, widow",5,0,117,339,2176,1156,129,197,81,138,3097,20,7454
"Rockfish, yelloweye",0,0,1,0,1,0,1,0,0,0,0,0,3
"Rockfish, yellowtail",86,18,0,2,130,1062,96,376,221,234,2085,32,4343
Sablefish,4776,4161,11518,18064,17827,7707,34945,44887,40748,64649,13151,3917,266348
Salmon,0,0,0,0,0,51,0,0,154,0,0,0,205
"Salmon, Chinook",0,0,0,5,168541,360955,180702,241783,57860,9977,0,0,1019824
"Salmon, Roe (Chinook, Coho)",0,0,0,0,0,4,8,118,269,103,0,0,502
Sanddab,0,0,0,0,0,0,0,0,0,0,0,1,1
"Sanddab, Pacific",3,0,1,0,117,5895,2912,14695,8338,786,599,0,33346
"Sardine, Pacific",0,0,0,0,0,0,0,7146,0,0,0,0,7146
"Sculpin, staghorn",5,2,12,0,25,4,0,0,0,0,0,0,48
"Seabass, white",177,152,74,33,671,13,145,3738,1056,5844,664,14,12580
"Seaperch, striped",68,18,56,194,0,0,0,0,0,10,0,50,396
"Shad, American",0,0,16,0,2,27,3,4,0,0,38,0,90
"Shark, blue",0,0,0,0,0,0,0,0,7,0,6,0,13
"Shark, brown smoothhound",0,0,0,0,0,0,0,0,58,0,25,0,83
"Shark, leopard",215,491,0,246,131,0,889,8,3,90,82,10,2165
"Shark, salmon",0,0,0,0,0,0,357,0,0,0,0,0,357
"Shark, shortfin mako",0,0,0,0,0,0,0,0,0,0,836,0,836
"Shark, soupfin",0,0,66,273,88,85,0,0,29,578,344,129,1591
"Shark, spiny dogfish",0,0,1008,318,2275,358,0,0,0,0,1128,9,5096
"Shark, thresher",0,0,0,0,0,0,0,0,0,0,3451,0,3451
"Shark, unspecified",232,5,573,63,45,125,1,0,0,0,0,0,1044
"Shark, white",0,0,0,0,0,0,0,0,0,50,0,0,50
"Skate, big",0,0,0,0,287,678,0,0,0,0,0,0,965
"Skate, California",0,0,0,0,0,178,5,22,0,0,0,0,205
"Skate, longnose",0,0,1336,774,1556,3031,1181,1645,1122,345,348,0,11338
"Skate, unspecified",0,88,212,0,0,88,158,12,0,0,6,0,564
"Smelts, true",0,0,0,91,0,0,0,0,0,0,0,0,91
"Sole, curlfin",0,0,74,293,0,239,146,13,4,38,4,0,811
"Sole, Dover",0,0,292,203,27,22,1385,210,0,0,49,0,2188
"Sole, English",46,3,154,187,921,1039,899,378,456,211,200,0,4494
"Sole, petrale",99,3,10074,11270,18816,28285,40439,71356,42241,19823,13090,0,255496
