Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Anchovy, northern................",1034393,907399,195987,2151977,786323,171363,494929,1735852,672658,275677,102221,89642,8618421
"Barracuda, California............",0,6,214,442,1429,752,6556,1597,39,375,0,14,11424
"Bass, giant sea....................",186,59,76,382,82,356,159,201,93,0,0,266,1859
"Bonito, Pacific......................",0,0,0,0,0,11,37,9,0,0,0,0,57
Butterfish (Pacific pompano),154,698,1432,337,53,74,0,0,0,536,496,613,4392
Cabezon...............................,837,1573,1633,1965,5140,2715,4523,4517,3964,0,0,0,26867
"Croaker, white......................",7652,4213,4113,548,7417,356,17,0,0,2732,2460,5999,35506
Dolphin (fish)........................,0,0,0,0,0,0,0,0,0,39,0,0,39
"Eel, California moray............",0,0,0,0,49,0,0,0,0,0,0,5,53
"Eel, monkeyface..................",0,0,0,0,0,0,0,0,3,0,0,2,5
Eel........................................,0,0,0,0,2,3,3,0,0,0,0,0,7
"Fish, unspecified..................",0,9,1,0,0,12,3,0,0,0,0,0,25
"Flounder, unspecified...........",35,109,0,0,0,4,7,0,0,0,0,0,154
"Greenling, kelp.....................",0,0,0,0,0,0,10,0,0,0,0,0,10
"Guitarfish, shovelnose..........",826,317,2151,1712,1049,242,384,395,502,1279,1833,2015,12704
Halfmoon..............................,5,11,61,0,4,5,81,28,0,0,0,0,195
"Halibut, California.................",14227,25414,37502,25664,38977,46324,30542,18129,11617,9435,8875,16243,282948
"Halibut, unspecified..............",0,0,14,0,0,0,0,0,0,0,0,0,14
Lingcod................................,0,50,8,0,511,248,552,740,905,296,0,0,3309
"Lizardfish, California.............",0,0,2,0,25,0,0,0,0,0,0,0,27
Louvar..................................,0,0,0,0,0,0,0,0,0,69,0,0,69
"Mackerel, Pacific..................",0,4,11,3,11,0,4257,155435,0,0,0,0,159720
"Mackerel, jack......................",0,0,0,102,0,0,20,0,0,0,0,0,122
"Mackerel, unspecified...........",0,0,0,0,0,0,0,50,0,0,0,0,50
"Midshipman, plainfin............",0,44,157,285,120,0,0,0,0,0,0,0,606
Opah....................................,0,0,0,0,0,0,0,165,0,482,155,0,802
Opaleye................................,0,0,0,0,0,0,5,0,0,0,2,0,7
"Ray, Pacific electric..............",0,0,0,0,0,0,0,0,180,0,0,0,180
"Ray, bat................................",0,0,0,0,0,0,0,15,0,0,0,0,15
"Ray, unspecified...................",0,0,0,0,6,10,0,0,0,0,0,0,16
"Rockfish, black-and-yellow...",0,0,0,0,2,15,9,64,0,50,21,40,200
"Rockfish, black.....................",0,0,0,0,0,0,7,0,0,0,0,0,7
"Rockfish, blackgill................",7959,0,3352,0,3785,1494,1040,2145,2713,2819,2179,3608,31094
"Rockfish, blue......................",0,0,16,13,8,5,14,33,24,18,37,9,176
"Rockfish, bocaccio...............",0,0,33,81,665,174,386,106,234,18,0,0,1697
"Rockfish, brown....................",0,53,0,30,2,0,1,156,0,0,4,0,246
"Rockfish, canary...................",0,0,0,0,113,0,0,0,0,0,0,0,113
"Rockfish, chameleon............",0,0,0,0,0,0,0,0,13,0,16,0,29
"Rockfish, chilipepper............",0,0,0,0,0,0,0,234,0,0,0,0,234
"Rockfish, copper..................",0,714,534,1035,1184,116,28,859,624,1105,620,108,6927
"Rockfish, gopher..................",575,583,582,633,96,211,487,261,516,434,390,74,4840
"Rockfish, grass....................",595,1027,1476,2557,3461,2303,2866,2466,2538,1828,1683,555,23355
"Rockfish, group bolina..........",0,16,28,56,70,256,351,247,4,0,142,6,1175
"Rockfish, group gopher........",0,0,0,0,102,103,120,22,96,0,0,0,443
"Rockfish, group nearshore...",0,0,86,0,1026,185,184,33,621,119,0,0,2254
"Rockfish, group red..............",127,0,85,368,1002,333,493,305,430,0,0,0,3142
"Rockfish, group rosefish.......",0,0,0,0,0,50,0,20,0,0,0,0,70
"Rockfish, group shelf............",0,0,0,0,755,61,414,92,495,0,0,0,1817
"Rockfish, group small...........",0,0,0,23,0,0,0,0,0,0,0,0,23
"Rockfish, kelp.......................",0,8,0,3,120,16,24,131,23,8,2,0,335
"Rockfish, olive......................",0,0,0,3,15,40,42,24,41,16,0,0,180
"Rockfish, rosethorn..............",0,0,0,0,20,0,0,0,0,0,0,0,20
"Rockfish, rosy......................",0,0,0,0,0,0,0,20,0,0,0,0,20
"Rockfish, shortbelly..............",0,0,634,0,0,0,0,0,0,0,0,0,634
"Rockfish, splitnose...............",0,0,46,53,772,56,179,24,0,0,0,2,1132
"Rockfish, starry....................",0,0,0,0,0,1,6,17,6,1,0,0,30
"Rockfish, treefish.................",30,19,143,215,68,40,47,53,96,124,168,0,1002
"Rockfish, unspecified...........",185,95,1488,164,845,1602,570,943,384,86,22,128,6513
"Rockfish, vermilion...............",0,0,70,19,111,107,79,170,88,24,0,0,667
"Rockfish, widow...................",0,0,0,0,0,0,1,0,0,0,0,0,1
Sablefish..............................,4096,3775,6788,2610,3488,5056,6028,6731,6496,3195,2164,2775,53201
"Salmon, chinook..................",0,0,0,0,1381,0,364,0,0,0,0,0,1744
"Sanddab, Pacific..................",0,0,0,0,52,0,0,0,0,0,0,0,52
Sanddab...............................,112,484,279,51,125,32,20,637,44,0,50,150,1984
"Sardine, Pacific....................",1269927,1821506,285899,675320,0,467074,1319174,953774,496935,971656,536046,80698,8878009
"Scorpionfish, California........",1382,2394,2826,1395,337,64,25,167,766,644,317,872,11190
"Seabass, white.....................",1601,1538,5843,1461,2112,31175,18019,3492,2797,2561,276,1150,72026
"Shark, Pacific angel.............",4412,1735,2416,2374,2491,1821,1101,1691,640,380,505,2908,22472
"Shark, brown smoothhound..",531,1311,485,153,32,73,153,28,10,898,637,612,4923
"Shark, gray smoothhound....",0,0,117,0,0,0,0,0,0,0,0,0,117
"Shark, horn..........................",0,0,0,7,0,0,0,0,0,0,0,0,7
"Shark, leopard......................",463,412,359,664,744,655,633,460,150,86,106,242,4974
"Shark, sevengill....................",0,0,22,3,0,0,0,15,27,8,0,0,75
"Shark, shortfin mako............",0,0,0,0,103,865,316,454,312,583,35,0,2668
"Shark, sixgill.........................",0,0,0,0,0,7,0,0,0,0,0,0,7
"Shark, soupfin......................",804,587,414,806,1438,4351,1284,1244,268,95,184,1102,12577
"Shark, thresher.....................",539,416,301,917,4534,11947,5107,9996,4179,4568,15582,2829,60913
"Shark, unspecified................",7,34,65,31,21,18,80,13,0,0,0,17,285
"Shark, white.........................",0,0,0,0,23,63,0,0,0,0,0,0,86
"Sheephead, California..........",1882,2480,5162,2432,10470,8447,6296,12480,13341,5828,7052,0,75869
"Skate, unspecified................",283,483,506,835,1052,678,597,1009,179,403,76,173,6273
"Smelts, true..........................",0,0,0,0,0,6,0,3,0,0,0,0,9
"Sole, Dover..........................",0,0,26,131,38,0,3,0,0,0,97,0,295
"Sole, English........................",247,797,40,20,0,0,0,2894,0,84,53,1132,5267
"Sole, petrale.........................",61,239,669,556,310,347,601,4614,0,230,416,2740,10783
"Sole, rex...............................",0,0,70,0,1,126,0,0,0,0,0,62,259
"Sole, rock.............................",0,9,32,0,10,0,0,1,0,0,0,0,52
"Sole, unspecified..................",1315,2015,2200,1241,1359,1535,390,980,504,1417,1285,1720,15961
"Surfperch, barred.................",0,0,20,0,0,0,0,0,0,0,0,9,29
"Surfperch, unspecified..........",0,0,0,0,0,0,5,0,0,0,0,0,5
Swordfish.............................,182,0,0,0,0,0,0,0,0,6549,1612,0,8343
"Thornyhead, longspine.........",4813,2661,7098,4718,10376,2031,4864,2864,3286,4100,2417,1480,50708
"Thornyhead, shortspine........",174,124,546,770,2629,2053,1311,860,6258,4190,816,2381,22112
Thornyheads........................,2413,2132,932,55,2171,2787,2353,2164,1299,6250,5769,5706,34031
"Tuna, albacore.....................",0,0,0,0,0,244,9729,2318,4904,10719,2233,0,30147
"Tuna, bluefin........................",0,0,0,0,0,0,0,0,89,891,0,0,980
"Tuna, yellowfin.....................",0,0,0,0,0,0,0,164,294,38,0,0,496
Turbot..................................,0,0,0,0,0,173,0,0,0,0,0,0,173
"Whitefish, ocean..................",417,721,584,348,901,232,848,1337,852,936,759,35,7970
"Whiting, Pacific....................",0,20,0,0,3,0,0,0,0,0,0,0,23
Yellowtail..............................,11,0,14,21,0,188,93,369,483,698,0,0,1876
"Crab, box.............................",15,59,86,81,80,11,42,30,0,0,0,0,404
"Crab, claws..........................",133,19,50,323,189,93,339,148,158,102,58,210,1821
"Crab, king.............................",0,0,127,140,200,441,582,768,289,399,122,0,3068
"Crab, red rock......................",0,0,0,63,0,0,0,0,0,0,0,0,63
"Crab, rock unspecified..........",32205,40787,52712,57045,74204,65068,71975,68046,62082,43001,41823,53901,662849
