Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern......................",118547,176286,143685,180533,923044,422981,738843,717647,449746,246,3346,0,3874904
"Barracuda, California.................",0,0,0,0,14,393,381,163,46,0,0,0,997
"Bass, giant sea..........................",83,144,179,287,79,456,1064,310,265,5,224,98,3194
"Bonito, Pacific............................",47,0,0,0,35896,30,0,646,223,56,0,0,36898
Butterfish (Pacific pompano).,583,818,1187,704,1263,165,0,0,10,766,183,159,5838
Cabezon....................................,865,653,0,0,1197,737,687,438,262,427,359,129,5753
"Croaker, white............................",6995,397,231,2640,8916,506,317,98,142,1227,1291,2796,25556
"Eel, California moray..................",0,0,1664,0,0,0,0,0,0,17,0,0,1681
Eel.............................................,0,0,0,0,0,0,0,0,0,0,0,75,75
"Flounder, unspecified.................",0,0,0,0,0,5,4,0,0,0,0,0,9
"Goby, yellowfin..........................",596,0,0,0,0,0,0,0,266,0,0,0,862
"Greenling, kelp...........................",0,0,0,0,0,0,0,0,0,0,2,0,2
"Guitarfish, shovelnose...............",1289,480,517,286,0,4,0,4,132,1246,48,641,4647
Hagfishes...................................,14163,26802,67640,0,0,52,0,0,350,0,0,519,109526
"Halibut, California.......................",8882,9036,15598,9242,18696,21382,20929,20259,12719,7439,6905,4693,155779
Jacksmelt...................................,0,0,0,0,0,0,0,0,0,73,48,0,121
"Kelpfish, giant............................",0,0,0,0,0,0,0,0,0,0,2,0,2
Lingcod......................................,0,0,0,0,306,451,109,78,93,96,356,6,1495
"Lizardfish, California..................",42,0,16,107,50,0,0,0,0,0,0,0,215
Louvar........................................,44,0,0,0,0,0,0,0,0,80,12,99,235
"Mackerel, Pacific........................",1321,7248,152,248,2362,0,0,10,0,15,8005,734,20096
"Mackerel, jack............................",3126,0,0,0,11183,2,4055,3259,0,0,11141,2541,35307
"Mackerel, unspecified................",0,0,61,0,0,9,20,15,0,0,6,0,111
Oilfish.........................................,0,0,0,0,0,0,0,0,0,0,34,0,34
Opah..........................................,547,0,0,19,8,0,0,0,1789,1765,1281,706,6114
Opaleye.....................................,0,0,0,0,0,0,2,9,0,0,0,0,11
"Pomfret, Pacific..........................",0,0,0,0,0,0,0,0,0,0,30,0,30
"Ray, Pacific electric...................",125,0,0,0,0,0,90,90,0,0,135,0,440
"Ray, bat.....................................",0,0,0,42,12,0,0,0,74,0,0,5294,5422
"Ray, unspecified........................",0,0,0,330,71,0,112,0,0,0,0,0,513
"Rockfish, Mexican......................",43,23,0,0,98,93,18,0,0,28,21,0,324
"Rockfish, aurora.........................",2,0,8,1,5,3,30,0,0,35,2,0,85
"Rockfish, bank...........................",51,14,0,0,0,9,10,2,15,7,5,5,118
"Rockfish, black-and-yellow.........",6,2,0,0,0,0,0,0,2,0,0,0,10
"Rockfish, blackgill......................",975,1109,1344,1126,1045,756,1014,1150,397,1385,671,429,11402
"Rockfish, blue............................",28,2,0,4,1,0,15,34,27,16,0,44,169
"Rockfish, bocaccio.....................",461,220,0,0,50,18,390,97,45,134,75,361,1853
"Rockfish, bronzespotted.............",0,17,0,0,23,7,0,0,0,0,6,0,53
"Rockfish, brown.........................",17,6,0,0,24,6,14,302,97,51,14,0,530
"Rockfish, chilipepper..................",117,2,0,0,0,21,3,0,1,1,53,43,241
"Rockfish, copper........................",280,8,0,0,23,125,51,414,23,77,34,88,1122
"Rockfish, flag.............................",9,54,0,0,50,25,31,34,6,15,18,18,261
"Rockfish, gopher........................",11,0,0,0,3,2,14,39,31,60,2,81,242
"Rockfish, grass..........................",1297,685,0,0,2793,525,1541,2016,351,1277,1341,431,12255
"Rockfish, greenblotched.............",69,138,0,0,240,145,18,17,0,55,237,23,942
"Rockfish, greenspotted..............",4,9,0,0,187,62,146,79,104,144,50,21,806
"Rockfish, greenstriped...............",1,0,0,0,0,0,0,0,0,1,2,0,3
"Rockfish, group bolina................",0,0,0,0,0,5,0,0,0,0,0,0,5
"Rockfish, group gopher..............",0,5,0,0,0,1,0,0,0,0,0,0,6
"Rockfish, group red....................",26,0,0,0,0,0,21,0,225,224,425,454,1376
"Rockfish, group shelf.................",240,0,0,0,0,0,0,0,0,0,0,0,240
"Rockfish, kelp............................",13,0,0,0,4,0,0,32,27,1,26,30,133
"Rockfish, olive............................",81,1,0,0,0,0,9,7,4,3,3,27,134
"Rockfish, redbanded..................",0,0,0,0,0,0,0,0,0,0,0,2,2
"Rockfish, rosy............................",1,7,0,0,32,12,10,24,11,45,33,35,209
"Rockfish, speckled.....................",0,0,0,0,0,0,15,8,0,0,4,0,27
"Rockfish, splitnose.....................",9,33,0,10,36,18,7,5,0,5,9,3,133
"Rockfish, starry..........................",35,45,0,0,462,39,65,59,26,89,54,36,909
"Rockfish, stripetail......................",1,0,0,0,0,2,1,0,0,2,0,0,5
"Rockfish, swordspine.................",1,0,0,0,0,0,2,0,0,4,2,0,8
"Rockfish, treefish.......................",11,0,0,0,2,20,5,0,6,0,1,2,48
"Rockfish, unspecified.................",4,0,0,0,0,73,0,285,0,0,74,51,486
"Rockfish, vermilion.....................",306,358,0,0,138,277,405,518,320,1357,182,1255,5115
"Rockfish, widow.........................",0,0,0,0,0,0,0,31,0,0,0,6,37
"Rockfish, yellowtail.....................",0,0,0,0,0,0,0,26,0,5,0,29,60
Sablefish....................................,3210,1313,1685,1079,1017,1238,1724,2111,1209,1607,1676,1349,19216
"Salmon, Chinook........................",0,0,0,0,278,0,0,0,14,0,0,0,292
Salmon......................................,0,0,0,0,12,0,0,0,0,0,0,0,12
Sanddab....................................,10,10,299,98,179,6,1,45,27,61,116,302,1154
"Sardine, Pacific..........................",177578,145766,99265,488081,880668,637447,714566,543684,2652189,369301,318337,44637,7071519
"Scorpionfish, California..............",107,72,0,0,218,111,116,52,82,49,119,256,1182
"Seabass, white..........................",2697,3443,556,435,455,140857,61592,18920,23242,3389,14378,5395,275359
"Shad, threadfin...........................",0,0,2,0,0,0,0,0,0,0,0,0,2
"Shark, Pacific angel...................",498,550,984,1639,902,642,776,1399,425,100,107,255,8277
"Shark, bigeye thresher...............",160,0,0,0,0,0,0,40,0,0,0,0,200
"Shark, brown smoothhound.......",106,214,107,104,43,0,10,145,47,9,27,110,921
"Shark, gray smoothhound..........",17,0,18,0,32,0,5,0,7,0,0,29,108
"Shark, horn................................",0,26,0,0,0,0,0,61,0,0,0,0,87
"Shark, leopard............................",62,347,519,447,355,708,536,243,258,232,519,114,4340
"Shark, pelagic thresher..............",0,0,0,0,22,0,0,0,0,0,0,0,22
"Shark, salmon............................",0,0,0,0,0,0,0,0,0,0,0,81,81
"Shark, sevengill.........................",0,0,25,0,0,22,0,0,23,0,0,0,70
"Shark, shortfin mako..................",52,0,0,0,88,3369,3145,454,1043,2236,2325,699,13410
"Shark, sixgill...............................",0,0,36,6,15,10,0,9,0,0,0,0,76
"Shark, smooth hammerhead......",0,0,0,0,0,0,8,0,0,0,0,0,8
"Shark, soupfin............................",17,1155,448,362,569,785,440,374,82,278,202,601,5313
"Shark, spiny dogfish...................",0,0,0,0,0,4,0,5,0,0,0,50,59
"Shark, thresher..........................",2405,144,70,70,613,13799,5697,6441,8703,24552,6288,6267,75049
"Shark, unspecified.....................",0,0,0,0,10,0,0,68,102,26,0,0,206
"Shark, white...............................",0,0,0,0,0,0,0,268,0,300,0,0,568
"Sheephead, California................",1034,566,0,0,1345,2755,1717,1853,2657,0,0,0,11928
"Skate, big...................................",0,0,0,0,0,0,0,0,0,0,12,0,12
"Skate, unspecified......................",33,33,45,96,100,122,104,406,139,51,148,230,1506
"Sole, Dover................................",1,0,158,190,228,56,48,71,0,0,0,105,857
"Sole, English..............................",110,108,359,365,598,331,0,167,86,373,0,0,2497
"Sole, fantail................................",0,0,1,0,2,2,0,0,0,0,0,0,5
"Sole, petrale...............................",0,0,0,0,0,0,6,12,43,16,2,2,82
"Sole, rex....................................",0,0,0,0,0,0,0,0,37,6,4,1,49
"Sole, unspecified........................",5284,278,704,3204,7176,57,288,80,20,5584,7881,6298,36854
Stingray.....................................,0,0,0,0,0,20,48,37,0,0,0,0,105
"Surfperch, barred.......................",20,36,116,19,0,0,0,242,222,144,95,41,935
"Surfperch, black.........................",0,0,0,0,6,2,0,0,0,1,0,0,9
"Surfperch, rubberlip....................",0,1,0,0,0,0,0,5,0,1,1,1,9
"Surfperch, unspecified...............",0,23,50,0,0,15,7,51,31,40,68,5,289
Swordfish...................................,7373,0,0,0,0,0,172,975,3107,15907,33563,27149,88246
"Thornyhead, longspine...............",525,392,865,598,1062,1024,445,554,540,762,4109,750,11625
"Thornyhead, shortspine.............",1571,920,5137,3272,6128,3418,4699,5635,4711,9574,5801,3583,54448
Thornyheads..............................,0,0,0,0,0,0,0,0,0,0,1385,0,1385
Triggerfish..................................,0,0,0,0,0,0,0,0,0,0,7,0,7
"Tuna, albacore...........................",10,0,0,0,0,0,0,131,1206,1694,774,235,4050
"Tuna, bluefin..............................",0,0,0,0,0,0,0,0,18,304,270,50,642
"Tuna, skipjack............................",0,0,0,0,0,0,0,0,505,0,0,0,505
"Tuna, unspecified.......................",0,13,0,0,0,0,0,0,0,0,0,0,13
Wahoo.......................................,0,0,0,0,200,0,0,0,0,0,0,0,200
