Species ,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern ",0,0,0,15270,10100,21100,7390,16200,9500,8300,10630,141570,240060
"Barracuda, California ",0,0,0,8,57,336,71,8,3,44,0,0,526
"Bass, giant sea",28,48,0,46,82,127,646,540,21,58,31,17,1643
"Bonito, Pacific ",1053,177,326,0,0,38,0,23,3,0,0,631,2252
Butterfish (Pacific pompano),29,264,93,57,48,5,0,0,0,1,6,56,559
Cabezon ,666,543,0,0,246,572,215,547,77,592,680,23,4161
"Croaker, unspecified ",0,0,0,0,0,0,13,0,0,0,51,0,64
"Croaker, white ",948,2827,485,397,410,152,5,16,105,494,444,595,6878
"Croaker, yellowfin ",0,0,0,0,0,0,0,3,6,120,41,57,227
"Eel, California moray ",0,0,0,0,0,80,21,0,0,0,0,0,101
"Fish, unspecified ",0,0,36,0,0,0,1,0,0,0,1807,0,1844
Grenadier ,738,303,1098,407,113,23,0,0,4,128,462,374,3649
"Guitarfish, shovelnose ",16,10,0,71,0,0,0,0,0,0,0,9,106
"Hagfish, Pacific ",0,2093,0,0,0,0,0,7,0,0,0,0,2100
"Hagfish, unspecified ",0,0,0,0,0,0,0,25,0,0,0,0,25
"Halibut, California ",10208,11248,16443,21932,15357,21234,16765,21575,8250,8102,7533,6622,165268
"Halibut, unspecified ",0,0,0,0,0,0,10,5,0,0,15,0,30
Kelpfishes ,0,0,0,0,5,0,0,0,0,20,0,0,25
Lingcod ,774,569,0,0,563,1803,448,1429,660,795,593,888,8523
"Lizardfish, California ",151,1989,383,741,311,131,48,34,31,302,353,674,5148
"Mackerel, jack ",0,0,0,0,0,0,0,0,0,110,786,39,935
"Mackerel, Pacific ",9408,2598,0,4,0,250,199,280,205,133564,213955,423,360886
"Mackerel, unspecified ",20,2,2,51,181,49,0,0,50,3,56,0,414
"Midshipman, plainfin ",4,14,3,194,71,0,28,0,0,0,0,0,314
"Mullet, striped ",0,0,0,0,0,0,0,0,0,0,0,1,1
Opah ,57,105,0,0,0,0,0,0,0,0,0,0,162
Pomfret ,0,0,1080,0,0,0,0,0,0,0,0,0,1080
"Ratfish, spotted ",0,0,0,0,0,0,6,0,0,0,0,0,6
"Ray, bat ",202,480,35,113,217,441,216,1251,855,447,144,284,4685
"Ray, Pacific electric",0,0,0,0,9,0,7,0,0,0,0,0,16
"Ray, unspecified",0,0,0,0,0,0,0,0,0,0,0,32,32
"Rockfish, aurora",0,4,31,14,3,0,0,0,0,20,0,14,86
"Rockfish, bank",12,51,41,0,0,3,145,44,158,85,27,0,568
"Rockfish, black",0,0,0,0,0,0,0,0,6,0,0,0,6
"Rockfish, black-and-yellow",122,0,0,0,43,62,34,91,50,0,15,18,435
"Rockfish, blackgill",118,0,655,788,56,145,0,98,19,10,0,24,1912
"Rockfish, blue",303,260,0,0,114,284,304,180,59,99,79,129,1809
"Rockfish, bocaccio",702,454,0,0,428,1506,690,799,862,974,970,687,8071
"Rockfish, brown",22,4,0,0,71,73,28,148,66,6,3,4,423
"Rockfish, canary",124,384,0,0,79,194,190,173,314,25,106,18,1606
"Rockfish, chilipepper",44,3,0,0,0,36,75,11,67,70,30,74,410
"Rockfish, copper",1225,546,0,16,1271,1778,1520,1565,1640,920,592,650,11724
"Rockfish, flag",11,7,0,1,3,17,17,4,9,11,13,6,99
"Rockfish, gopher",55,0,0,0,53,56,97,279,157,93,58,55,903
"Rockfish, grass",558,360,0,0,525,1082,736,1051,165,1344,1072,28,6921
"Rockfish, greenblotched",0,0,0,0,3,0,19,0,0,9,19,0,51
"Rockfish, greenspotted",265,181,0,6,50,620,633,760,613,614,966,633,5339
"Rockfish, greenstriped",4,11,0,0,0,23,19,9,26,28,25,10,154
"Rockfish, group canary/vermilion",0,0,0,0,0,0,2,3,0,4,0,0,9
"Rockfish, group red",0,74,0,0,0,0,0,0,0,0,0,0,74
"Rockfish, group shelf",0,0,0,0,0,33,28,27,0,0,0,0,88
"Rockfish, kelp",77,0,0,0,53,52,37,137,61,20,10,4,451
"Rockfish, olive",1,59,0,0,0,60,31,2,27,0,0,27,207
"Rockfish, redbanded",0,0,0,0,0,0,0,50,0,0,0,0,50
"Rockfish, rosy",7,0,0,0,0,0,0,0,0,4,4,0,15
"Rockfish, shortbelly",0,0,0,0,0,60,0,0,0,0,0,0,60
